group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin
All,All,2550,2307,0.7696390670001505,0.7533200651188295,0.7850108683565393,0.9893731826724435,0.8123847571251183,0.7931542806287761,0.8320814874579563,0.05221015899693725,0.8569570871261378,0.8538901815528224
family,MatrixFactorizationInput,1500,1416,0.8519313759695006,0.8374148565792263,0.8652468337664802,0.9647799813889996,0.8971990523044042,0.8735410059148273,0.9214978278127994,0.0530341522205391,0.8813559322033898,0.4536759601839448
family,MatrixSensing,750,591,0.5116048348530396,0.4566523848024963,0.5626681660897993,0.8257125238727465,0.574074416301774,0.5408868211375378,0.6092983274377488,0.12573918958407065,0.7258883248730964,0.49877532141910796
family,SmallMLPDigits,300,300,0.9989302103356703,0.9986559159243357,0.9991485518691093,0.9990098756031978,1.0075473754056459,0.9972434280209018,1.0179577876000085,0.01906767596118885,1.0,0.8991028871257379
algo,Adam,1275,1057,0.6532660153523672,0.6205924575106294,0.6836750344701916,0.9800554315024037,0.6699767662769694,0.6408555704368932,0.7004212619154354,0.11970506575425596,0.7332071901608326,0.8534800523929006
algo,Muon,1275,1250,0.9152831057670235,0.9058946294301546,0.9237723972187315,0.996696436606075,0.9561811930449493,0.9380302278390941,0.9746833809812949,0.03548424737001725,0.9616,0.9350452571576571
MatrixFactorizationInput:Adam,MatrixFactorizationInput:Adam,750,666,0.7319788159623393,0.6968492992714859,0.7636046048950756,0.8231681827731795,0.7311181350109891,0.6942609962542822,0.7699319567509839,0.10453126341097524,0.7477477477477478,0.41994551448766565
MatrixFactorizationInput:Muon,MatrixFactorizationInput:Muon,750,750,0.9975975495067546,0.9972269185951312,0.9979186960713248,0.9976404274924637,1.0760516453416682,1.0664245232580039,1.0857656760415473,0.03731790995006637,1.0,0.964085309054714
MatrixSensing:Adam,MatrixSensing:Adam,375,241,0.43397633405393105,0.3477080447868442,0.5129584512100782,0.8644747990264653,0.4115233373370312,0.3690194030281791,0.4589229069889205,0.2940091628011133,0.5269709543568465,0.4960349993670129
MatrixSensing:Muon,MatrixSensing:Muon,375,350,0.5701055865286153,0.4973117179692075,0.634928375512002,0.7451803753750009,0.7219673016861666,0.6827854062579607,0.7633976648104833,0.04537263492071337,0.8628571428571429,0.7027013341533371
SmallMLPDigits:Adam,SmallMLPDigits:Adam,150,150,0.9953491266278502,0.9935624171358581,0.9966407820453423,0.996805213681499,0.9948000230984662,0.9753802914071991,1.0146063998575936,0.03189414705547546,1.0,0.8985654495784051
SmallMLPDigits:Muon,SmallMLPDigits:Muon,150,150,0.999630205786924,0.9994877210175777,0.9997330652742352,0.9997273049870243,1.0204580720906609,1.0148448764324196,1.0261023148244004,0.010084267691764164,1.0,1.0335930348406484
