metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
delta_loss,All,1275,251,1024,0.15313218823393163,0.1395413948105481,0.16804667249563496,-0.011765971009812904,-0.015782482469212152,-0.007749459550413655,False,False
delta_loss,MatrixFactorizationInput,750,201,549,0.1558519798731932,0.13533317429632746,0.17948178454167374,-7.261226563256882e-06,-8.856410290489407e-06,-5.666042836024357e-06,False,False
delta_loss,MatrixSensing,375,50,325,0.21797501637126449,0.19337679530569366,0.24570221927063904,-0.006336892933323606,-0.017898021999837973,0.005224236133190761,False,False
delta_loss,SmallMLPDigits,150,0,150,0.058007845680143215,0.053802834728557555,0.06254150320197306,-0.0841322151172844,-0.09751071443810866,-0.07075371579646014,False,False
update_grad_inner,All,1275,102,1173,0.11256182515614901,0.10437000266530141,0.12139660974345985,-0.033427240717397014,-0.0374345233646131,-0.02941995807018093,False,False
update_grad_inner,MatrixFactorizationInput,750,102,648,0.10192825530282082,0.09057109263240297,0.1147095494502193,-2.0750076663602007e-05,-2.4495269380376853e-05,-1.700488394682716e-05,False,False
update_grad_inner,MatrixSensing,375,0,375,0.1808063542882304,0.16836013504789343,0.19417267479443096,-0.07709001054844647,-0.08668074990165123,-0.06749927119524171,False,False
update_grad_inner,SmallMLPDigits,150,0,150,0.056535000317296455,0.052706324515779335,0.06064179754973851,-0.0913027693434404,-0.10669012445688435,-0.07591541422999644,False,False
update_grad_cosine,All,1275,518,757,0.7469665685951288,0.7185077154482571,0.776552627901408,-0.11886404598695023,-0.13519087735518318,-0.10253721461871727,False,False
update_grad_cosine,MatrixFactorizationInput,750,118,632,0.5420961112777368,0.5138583478721341,0.5718856083185966,-0.2896024108150697,-0.307491956810143,-0.2717128648199964,False,False
update_grad_cosine,MatrixSensing,375,375,0,1.335109103451141,1.3143325001129367,1.3562141375678858,0.20448517531318616,0.19440116261856183,0.2145691880078105,True,True
update_grad_cosine,SmallMLPDigits,150,25,125,0.8687334600463471,0.8467246982248532,0.8913142916302217,-0.07354527509669405,-0.08543062043780354,-0.061659929755584555,False,False
update_grad_per_update_norm,All,1275,339,936,0.35242485676325486,0.3286902075222539,0.37787337992474745,-0.023879649588807613,-0.027467529269025508,-0.02029176990858972,False,False
update_grad_per_update_norm,MatrixFactorizationInput,750,120,630,0.24013319467250133,0.21756426902757064,0.2650432970512911,-7.802066214150383e-05,-8.76072988806554e-05,-6.843402540235226e-05,False,False
update_grad_per_update_norm,MatrixSensing,375,219,156,0.8336658453288476,0.7748027849761698,0.8970008305910229,-0.03827436452744172,-0.04743703086573485,-0.02911169818914859,False,False
update_grad_per_update_norm,SmallMLPDigits,150,0,150,0.27882037378339974,0.2563106278392887,0.3033069736205382,-0.10690100687555291,-0.11892798112976752,-0.09487403262133831,False,False
relative_update_fro_norm,All,1275,70,1205,0.40690687942912274,0.39480429500303155,0.4193804642512191,-0.1347087169991904,-0.15709606327750503,-0.11232137072087578,False,False
relative_update_fro_norm,MatrixFactorizationInput,750,0,750,0.4207699742189879,0.41072885912182605,0.431056565109134,-0.01801779407671576,-0.01929505679270054,-0.01674053136073098,False,False
relative_update_fro_norm,MatrixSensing,375,36,339,0.35335141870468634,0.32848766773254956,0.38009714630222197,-0.3477614546710351,-0.41205702702618163,-0.28346588231588854,False,False
relative_update_fro_norm,SmallMLPDigits,150,34,116,0.48974157092938325,0.4310811035371522,0.5563844119548823,-0.18553148743195194,-0.2610024156087406,-0.11006055925516325,False,False
