problem_family,setting,kappa,lr,seed_count,mean_delta_nrG,delta_nrG_ci95_low,delta_nrG_ci95_high,nrG_muon_higher_seed_count,mean_delta_stA,delta_stA_ci95_low,delta_stA_ci95_high,stA_muon_higher_seed_count,stA_ci95_excludes_zero,mean_delta_loss,delta_loss_ci95_low,delta_loss_ci95_high,mean_delta_recovery,delta_recovery_ci95_low,delta_recovery_ci95_high,centroid_distance_std,nearest_centroid_balanced_accuracy,delta_stA_95ci
MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,5,0.7412451368117188,0.4314914363997249,1.0509988372237127,5,1.3136136744222369,1.1640824930478195,1.4631448557966542,5,True,8.28798947742568e-05,7.32383078089897e-05,9.252148173952389e-05,0.2599876305210165,0.23465745154684792,0.28531780949518504,2.260815222224867,0.9363636363636363,"[1.164, 1.463]"
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,5,0.40281933738548403,0.2730335297829062,0.5326051449880619,5,1.1428777672820467,0.945707213733114,1.3400483208309795,5,True,5.410497073313832e-05,4.439792692526028e-05,6.381201454101636e-05,0.1993614072335687,0.15540758215893935,0.24331523230819807,1.8396962342127643,0.8818181818181818,"[0.9457, 1.34]"
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,5,0.6250304161930615,0.4125244286235056,0.8375364037626175,5,0.9859289390717562,0.7207751995450222,1.25108267859849,5,True,2.0394893820583596e-05,1.6234129535424624e-05,2.4555658105742568e-05,0.04884462979879058,0.03964777510764752,0.05804148448993365,2.0347216741737597,0.8727272727272728,"[0.7208, 1.251]"
MatrixFactorizationInput,MF input kappa=1e+02 lr=1e-02,100.0,0.01,5,0.27411055943018453,0.11526008018920472,0.4329610386711643,5,1.4437332884305376,1.174934505561561,1.7125320712995142,5,True,7.307327232620179e-05,6.57268811605659e-05,8.041966349183767e-05,0.3191965652572478,0.2908883084784596,0.34750482203603605,2.004944987819642,0.9363636363636363,"[1.175, 1.713]"
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-02,100.0,0.03,5,0.090399784475276,-0.05742745568337451,0.2382270246339265,4,0.9310053705647533,0.7845217405162221,1.0774890006132845,5,True,4.7921327559307624e-05,3.471987419368831e-05,6.112278092492694e-05,0.24994169865474877,0.16065793074378756,0.33922546656570995,1.3431016698468032,0.8090909090909091,"[0.7845, 1.077]"
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-03,100.0,0.003,5,0.316137860927039,0.15412538556811847,0.4781503362859595,5,1.228445170021713,0.988024608635919,1.4688657314075069,5,True,2.0541335866002743e-05,1.6403657181868788e-05,2.46790145501367e-05,0.06616219466315908,0.053643820136874264,0.0786805691894439,1.9981816905214065,0.8909090909090909,"[0.988, 1.469]"
MatrixFactorizationInput,MF input kappa=1e+03 lr=1e-02,1000.0,0.01,5,0.12677048194691856,0.029347523619120214,0.2241934402747169,5,1.1776544528339319,0.9437824390343533,1.4115264666335106,5,True,7.076625428896301e-05,6.288444136936275e-05,7.864806720856327e-05,0.3397686268919886,0.3064456411483877,0.37309161263558954,1.7650593848741867,0.8999999999999999,"[0.9438, 1.412]"
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-02,1000.0,0.03,5,-0.022094509795970947,-0.08717594906518736,0.04298692947324546,2,0.6875413941610368,0.5267681657074866,0.8483146226145869,5,True,4.929356168615086e-05,4.350480915125456e-05,5.5082314221047164e-05,0.28257920113490453,0.23011410668852958,0.33504429558127946,1.031282307314291,0.8,"[0.5268, 0.8483]"
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-03,1000.0,0.003,5,0.17557241779357258,0.07112227594664541,0.2800225596404997,5,1.2021488853984228,0.8721267857445749,1.5321709850522707,5,True,2.062623014626367e-05,1.6418909185656328e-05,2.483355110687101e-05,0.07181168362086623,0.05729291250059172,0.08633045474114075,1.9230934084365914,0.8636363636363636,"[0.8721, 1.532]"
MatrixFactorizationInput,MF input kappa=1e+04 lr=1e-02,10000.0,0.01,5,0.04001516843273434,-0.03386288841494191,0.11389322528041058,3,0.9912464300396557,0.8264552237311309,1.1560376363481806,5,True,7.023083373739992e-05,6.236635253366295e-05,7.809531494113688e-05,0.3479003681983676,0.3136405809609064,0.3821601554358288,1.3934647360203747,0.8454545454545455,"[0.8265, 1.156]"
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-02,10000.0,0.03,5,-0.026849484154893362,-0.06349815091526229,0.009799182605475562,1,0.5209726862225387,0.3686328066295912,0.6733125658154862,5,True,4.889531082562037e-05,4.253092919710472e-05,5.525969245413602e-05,0.28917685728434,0.23576857699964432,0.3425851375690357,0.8321950015410358,0.7909090909090909,"[0.3686, 0.6733]"
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-03,10000.0,0.003,5,0.10069736525596344,0.04315694017157825,0.15823779034034863,5,1.1422454623396037,0.8428626332461859,1.4416282914330214,5,True,2.0565838810718672e-05,1.6847346538748868e-05,2.4284331082688476e-05,0.07328119930862377,0.060312515139477225,0.08624988347777031,1.8461694239583744,0.8636363636363636,"[0.8429, 1.442]"
MatrixFactorizationInput,MF input kappa=1e+05 lr=1e-02,100000.0,0.01,5,-0.006561985421163118,-0.061417919349260906,0.04829394850693467,3,0.8755692545613206,0.745480356468943,1.0056581526536983,5,True,6.97133174126023e-05,6.255901525689782e-05,7.686761956830677e-05,0.3482342283307537,0.31829114463502955,0.3781773120264778,1.2166097214218423,0.8454545454545455,"[0.7455, 1.006]"
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,5,-0.06858593927647252,-0.14234853033273456,0.005176651779789515,0,0.4062485405196298,0.2911767390503204,0.5213203419889392,5,True,5.011651654591772e-05,4.4095960304054575e-05,5.613707278778086e-05,0.29990926334696455,0.25072013829974693,0.34909838839418217,0.8323081916749407,0.8454545454545455,"[0.2912, 0.5213]"
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-03,100000.0,0.003,5,0.05762431779396913,0.028065356695096622,0.08718327889284164,5,1.0983472222977144,0.8651148698922904,1.3315795747031385,5,True,2.030780040894447e-05,1.6952856833299556e-05,2.3662743984589384e-05,0.07281382161305945,0.06112024976394599,0.08450739346217291,1.711602162050519,0.8363636363636364,"[0.8651, 1.332]"
MatrixSensing,Matrix sensing kappa=1e+01 lr=1e-02,10.0,0.01,5,-2.808323390893872,-3.0821331336618423,-2.534513648125902,0,0.0,0.0,0.0,0,False,0.0022649641878084467,0.001956796225415107,0.0025731321502017864,-0.028181659622121054,-0.03269325994232039,-0.023670059301921717,1.582839798540248,0.9,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-02,10.0,0.03,5,0.2745488688975207,-0.10394080048869114,0.6530385382837326,3,0.0,0.0,0.0,0,False,-0.025814756333245415,-0.02661162307140428,-0.02501788959508655,-0.2760910181905337,-0.28155898513994904,-0.2706230512411184,0.11729149698917915,0.55,"[0, 0]"
