run_id,problem_family,setting,kappa,lr,algo,seed,steps,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,nrG_mean_abs_speed,nrG_std_speed,nrG_mean_rel_speed,nrG_path_length,stA_mean_abs_speed,stA_std_speed,stA_mean_rel_speed,stA_path_length,condition_score_mean_abs_speed,condition_score_std_speed,condition_score_mean_rel_speed,condition_score_path_length,delta_gd_pred_mean_abs_speed,delta_gd_pred_std_speed,delta_gd_pred_mean_rel_speed,delta_gd_pred_path_length,delta_spec_pred_mean_abs_speed,delta_spec_pred_std_speed,delta_spec_pred_mean_rel_speed,delta_spec_pred_path_length,loss_mean_abs_speed,loss_std_speed,loss_mean_rel_speed,loss_path_length,relative_update_fro_norm_mean_abs_speed,relative_update_fro_norm_std_speed,relative_update_fro_norm_mean_rel_speed,relative_update_fro_norm_path_length,mean_relative_layer_update_norm_mean_abs_speed,mean_relative_layer_update_norm_std_speed,mean_relative_layer_update_norm_mean_rel_speed,mean_relative_layer_update_norm_path_length,rank_plane_mean_speed,rank_plane_path_length,rank_plane_net_distance,rank_plane_tortuosity,norm_rank_plane_mean_speed,norm_rank_plane_path_length,norm_condition_mean_speed,norm_condition_path_length,per_update_rank_plane_mean_speed,per_update_condition_mean_speed,update_normalized_rank_plane_mean_speed,update_normalized_condition_mean_speed
0,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,0,10,0.010775560167882375,0.03506966117613078,0.1316512270601084,0.18540665800828815,0.07546013733725454,1.316512270601084,0.2385172266259831,0.22518093529195782,0.040498921307872825,2.385172266259831,0.0699269799349055,0.07953527486850558,0.1240750661452441,0.699269799349055,1.4148353862924652e-09,1.3987494683788307e-09,0.27956744596897065,1.4148353862924652e-08,1.0787509991102905e-09,9.461944050247543e-10,0.29512187480739,1.0787509991102905e-08,1.2856154335797474e-05,1.287410083822153e-05,0.06861714948175092,0.00012856154335797473,0.00033022961686810805,0.0006811789238683311,0.027862470010025158,0.0029720665518129727,0.0041426951914609505,0.0033780992948491645,0.09488467844914213,0.03728425672314856,0.3023925655906773,3.023925655906773,2.3585278046595133,1.2821242344197503,0.5163260024797844,5.163260024797844,0.5699063359372423,5.699063359372423,47.18068059593604,51.915348086872925,47.91639547600924,52.88878972954971
1,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,1,10,0.010944974830843057,0.03425765149771172,0.15872425781587907,0.2044490332750081,0.0760284661737621,1.5872425781587907,0.17880148127148726,0.10686806213258614,0.030040635123626862,1.7880148127148727,0.05813040576446281,0.06951046956202078,0.08323168812573738,0.5813040576446281,2.019430260785396e-09,1.9950644930826377e-09,0.46380525599710837,2.0194302607853957e-08,1.6346471302815272e-09,1.6398296636409672e-09,0.49087315148801647,1.6346471302815272e-08,1.643223442686968e-05,1.6886926543575612e-05,0.08561134725309735,0.00016432234426869678,0.0002705274419956449,0.00045207352936349666,0.02335367553840796,0.002434746977960804,0.004035744869082336,0.002551053980021969,0.09554513285445335,0.03632170382174102,0.2548242333632851,2.548242333632851,2.1014537406031764,1.2126092925088294,0.46718142743598606,4.6718142743598605,0.47376401192514805,4.7376401192514805,41.68693999739812,42.59808081115558,42.684559321183976,43.285984595421446
2,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,2,10,0.010305718224700965,0.0350873834181719,0.1987738843627965,0.2221465198839197,0.08870374784314522,1.987738843627965,0.12155964252296547,0.09385098178291396,0.019605000918814456,1.2155964252296547,0.06235881091705943,0.06564406328606179,0.09290347939808796,0.6235881091705943,2.4663319020007806e-09,2.9696163948227105e-09,0.6839232222883409,2.4663319020007805e-08,1.833343222257261e-09,2.164509309955493e-09,0.7528853635095445,1.833343222257261e-08,2.0703286167798095e-05,2.36810509218801e-05,0.1177054547457124,0.00020703286167798095,0.000339534947992336,0.0006732505931345098,0.030286720275145125,0.003055814531931024,0.004134126594533636,0.0032131149216282073,0.0943140785841632,0.03720713935080272,0.2511203771773728,2.5112037717737277,1.3067722822476389,1.9216842948753667,0.49732827652790856,4.973282765279086,0.5082256015664817,5.082256015664816,48.33265570458648,49.454058764616896,48.2575076946992,49.31491337967651
3,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,3,10,0.010322283919933433,0.037057866959807145,0.15203037451773563,0.17525717002581634,0.07690964131122213,1.5203037451773562,0.20517927283673226,0.051103973960908156,0.03500175052615466,2.0517927283673227,0.05095147488977544,0.051790197376189256,0.08318236363233641,0.5095147488977544,1.2637166924508007e-09,1.1199065332915847e-09,0.4211732682591697,1.2637166924508006e-08,1.0879685373608445e-09,8.005413095016639e-10,0.4106146867369871,1.0879685373608445e-08,1.7267869635773118e-05,2.144765253409686e-05,0.0937416433982359,0.0001726786963577312,0.0004869436431769676,0.0008671427574226189,0.043644058773994354,0.0043824927885927085,0.004081612123701194,0.003436909855397694,0.09084003305682052,0.03673450911331075,0.26942292130289724,2.6942292130289722,2.2354466671011464,1.205230817035219,0.48001807381868405,4.800180738186841,0.41525557648937744,4.1525557648937745,46.886589460861344,39.22776401166599,46.50308764436501,40.22904036649046
4,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,4,10,0.01059321928338937,0.03706793694663873,0.12468071857220502,0.1190635892182327,0.06922459969483073,1.2468071857220502,0.20840662675009095,0.17770279392161387,0.03530400703253111,2.0840662675009094,0.07277370514620189,0.07464954514040921,0.1035456121181342,0.727737051462019,1.3254352014142837e-09,1.105433482686085e-09,0.5135054616234278,1.3254352014142837e-08,1.1518756132375732e-09,9.336617640758854e-10,0.5220445756944467,1.1518756132375732e-08,1.6029276194223927e-05,2.194870538728642e-05,0.09038098269255533,0.00016029276194223926,0.0004581209366718342,0.0007132007241223346,0.04129375449489322,0.0041230884300465075,0.0036762084426632483,0.0024111009567981505,0.08570094469430498,0.03308587598396923,0.2616070305478712,2.616070305478712,1.7822995011030014,1.4678062266525462,0.45127794671215266,4.5127794671215264,0.5931072054170963,5.931072054170962,43.00868738072385,55.10066392131819,42.60064241469788,55.98932577060066
5,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,0,10,0.0033476380271493305,0.010066952032332533,0.1294714496963113,0.1551593270339705,0.06423576324078228,1.294714496963113,0.030266563073368235,0.0328473074381273,0.00450555988668377,0.30266563073368236,0.03351234658444973,0.04275912751953427,0.06633999002878024,0.3351234658444973,6.02333842616172e-10,7.06067249768609e-10,0.26326326507804826,6.023338426161719e-09,2.577874151378024e-10,2.782698486986771e-10,0.1943189114912655,2.577874151378024e-09,1.2897764592563415e-05,1.575408527770003e-05,0.06294045585493059,0.00012897764592563414,3.5061659643454736e-06,2.659503615385673e-06,0.0010490931869479294,3.155549367910926e-05,7.708884279260042e-05,4.678128533611783e-05,0.007752050537748009,0.0006937995851334037,0.1372982608571814,1.3729826085718138,0.5505660529890057,2.4937654639582925,0.29036789976461863,2.9036789976461863,0.27312631931740416,2.7312631931740414,86.88915818795068,81.73725476431125,86.73814116392997,81.58776937719993
6,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,1,10,0.0033419077688315625,0.00984671606311091,0.18963947735033382,0.22398401680742944,0.07810787156243246,1.8963947735033382,0.023270050452287007,0.02489150472980337,0.0034818486929637993,0.23270050452287006,0.05880060359664822,0.06912351512012581,0.09110098888679025,0.5880060359664822,4.470015219400935e-10,5.755807330169298e-10,0.4669451509325072,4.470015219400935e-09,2.75892257191171e-10,3.850089084480163e-10,0.4265761636074795,2.7589225719117102e-09,1.653872688819466e-05,1.820960516891922e-05,0.07977903432653524,0.00016538726888194662,4.1623163551038345e-06,2.6454929650707528e-06,0.0012471020407784496,3.746084719593451e-05,7.623574197283051e-05,3.829471218867406e-05,0.007812173938203774,0.0006861216777554746,0.1965223057267413,1.9652230572674128,0.2089693592369413,9.40435987574203,0.42146205572390816,4.214620557239082,0.47922613814952425,4.792261381495242,126.15895936163625,143.43077274647965,126.11420927133028,143.39897187440243
7,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,2,10,0.003337053563354495,0.010179788336619814,0.3162113735310184,0.4398631179699567,0.12269243265629919,3.162113735310184,0.014349902971226135,0.019056339453470624,0.0021779682553052294,0.14349902971226136,0.09915162590144064,0.13765072384182095,0.1387997762386212,0.9915162590144064,4.769348599421039e-10,5.816759686151638e-10,0.5568810436158372,4.7693485994210396e-09,2.9032129046693404e-10,3.3388442242472893e-10,0.446777673270703,2.9032129046693403e-09,2.3142700540563895e-05,2.7079746774984972e-05,0.12380621325359835,0.00023142700540563897,6.315263459549349e-06,3.5916956009853653e-06,0.0018957708675744383,5.6837371135944146e-05,0.00012546449300163863,6.213835366559878e-05,0.012422103818372311,0.0011291804370147478,0.3180814661441131,3.180814661441131,0.11224750425066438,28.33750899563813,0.6896916351565884,6.896916351565884,0.8080878063418766,8.080878063418766,206.83020267657906,242.3922274176817,206.67682494832118,242.15607900808317
8,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,3,10,0.003350288103708493,0.010376708404884359,0.40141997449723255,0.460828062343051,0.16916726877164048,4.014199744972325,0.036449193145614164,0.01673079292085899,0.005458029671149834,0.36449193145614167,0.11430458393127893,0.12735708492971257,0.19232389321454813,1.1430458393127894,2.991627085233607e-10,3.3354682901040273e-10,0.25324477780903376,2.991627085233607e-09,1.5439629407983115e-10,1.8030844757678305e-10,0.20107809398390225,1.5439629407983114e-09,1.768017813749313e-05,2.1957357578021348e-05,0.09292838977513769,0.0001768017813749313,3.057725505353741e-06,2.9147995832668394e-06,0.0009137221945257874,2.751952954818367e-05,7.379242545257459e-05,5.3753208437292666e-05,0.007172502246705657,0.0006641318290731713,0.40374442901942337,4.037444290194234,0.43276731600077667,9.329365090470436,0.8754260800519138,8.754260800519138,0.9315847283801935,9.315847283801935,261.49506331427335,278.2831213808745,261.29874594453213,278.06107998563044
9,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,4,10,0.0033506642829764857,0.00991506127969979,0.3565354545153358,0.4295367972174729,0.15044488462572075,3.565354545153358,0.009620697468573969,0.0130781668584071,0.0015002675193071966,0.09620697468573969,0.11093396986319974,0.13516413056919263,0.16575727090955458,1.1093396986319974,2.5656645745754e-10,2.853680862008015e-10,0.31789780556985653,2.5656645745754e-09,1.4386214360065892e-10,1.7420173930329984e-10,0.263517822252452,1.438621436006589e-09,1.3980605817550122e-05,2.1625076363729214e-05,0.07669963109963547,0.00013980605817550122,3.6471118706610722e-06,3.1405881630215295e-06,0.0010901272986634572,3.282400683594965e-05,6.837987988457162e-05,5.4074819587733724e-05,0.006972408986476846,0.0006154189189611445,0.35685438440195894,3.5685438440195894,0.36365183913438137,9.81307794981588,0.7757203947921749,7.75720394792175,0.9041141538582312,9.041141538582313,231.71655382799054,270.0753547737444,231.51241941286983,269.8313162711372
