metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,165,165,0,1.9846662524475143,1.8788417864292462,2.096451208427705,11.143157870604254,9.99962361997826,12.286692121230248,True,True
nrUpdate,MatrixFactorizationInput,75,75,0,2.7033398781814304,2.567743640888977,2.8460966198463162,3.103451765649892,3.004381333740191,3.202522197559593,True,True
nrUpdate,MatrixSensing,75,75,0,1.3961848485157815,1.3941029001463467,1.3982699060595911,17.024857579872606,16.96196384987903,17.08775130986618,True,True
nrUpdate,SmallMLPDigits,15,15,0,2.4566567286301413,2.4181349188200048,2.495792205535318,21.933189849034314,21.71755236199175,22.148827336076877,True,True
stUpdate,All,165,165,0,4.495303053118957,4.297983383655816,4.701681634281268,25.287146273933995,22.240977119882757,28.333315427985234,True,True
stUpdate,MatrixFactorizationInput,75,75,0,4.203481896466252,4.081358240068915,4.329259774466937,3.8004024922334687,3.763092446449337,3.8377125380176005,True,True
stUpdate,MatrixSensing,75,75,0,4.059850256491209,3.9618006978407916,4.1603264177611825,45.140873039806074,44.79819398055234,45.48355209905981,True,True
stUpdate,SmallMLPDigits,15,15,0,10.465325584615194,9.972982403527562,10.981974615062164,33.45223135307625,33.300197293807685,33.604265412344816,True,True
nrUpdateFrac,All,165,165,0,1.9237885564434694,1.8226396927990682,2.0305507580706736,0.4498677811325122,0.4236582254469128,0.4760773368181116,True,True
nrUpdateFrac,MatrixFactorizationInput,75,75,0,2.7033398781814304,2.567743640888977,2.8460966198463167,0.6206903531299784,0.6008762667480382,0.6405044395119187,True,True
nrUpdateFrac,MatrixSensing,75,75,0,1.3961848485157815,1.394102900146347,1.3982699060595911,0.2837476263312102,0.28269939749798395,0.28479585516443645,True,True
nrUpdateFrac,SmallMLPDigits,15,15,0,1.7438649510825943,1.7172105889366114,1.7709330394343126,0.42635569515169086,0.41837646650706756,0.43433492379631417,True,True
stUpdateFrac,All,165,165,0,4.211787699686986,4.127657867138962,4.297632264645587,0.7605259583005854,0.7556928435927825,0.7653590730083883,True,True
stUpdateFrac,MatrixFactorizationInput,75,75,0,4.203481896466252,4.081358240068915,4.329259774466937,0.7600804984466939,0.7526184892898675,0.7675425076035203,True,True
stUpdateFrac,MatrixSensing,75,75,0,4.059850256491209,3.9618006978407916,4.1603264177611825,0.7523478839967681,0.7466365663425392,0.758059201650997,True,True
stUpdateFrac,SmallMLPDigits,15,15,0,5.111345143162481,4.865028363479898,5.3701329613303965,0.8036436290891299,0.7950336072595291,0.8122536509187307,True,True
update_flatness,All,165,165,0,2.179347754603714,2.060216484855303,2.30536774674426,0.5095700724627206,0.4822041013962348,0.5369360435292063,True,True
update_flatness,MatrixFactorizationInput,75,75,0,1.4917672687885295,1.4521543819283418,1.532460743790671,0.32508809050278453,0.307027674929285,0.34314850607628405,True,True
update_flatness,MatrixSensing,75,75,0,2.908963613344197,2.841956455018635,2.9775506548727333,0.6545365565052118,0.6469254223033146,0.662147690707109,True,True
update_flatness,SmallMLPDigits,15,15,0,3.4229068030014043,3.2887297322339792,3.5625581716849117,0.7071475620499439,0.6966385889980861,0.7176565351018017,True,True
