group_type,group,predictor,outcome,points,spearman,spearman_ci95_low,spearman_ci95_high,ci95_excludes_zero
All,All,nrUpdateFrac,delta_loss,2550,0.026064905375571438,-0.012782879018749643,0.0648341237776845,False
All,All,nrUpdateFrac,relative_loss_decrease,2550,-0.04599502039563722,-0.08467861187939435,-0.00717298762968394,True
All,All,nrUpdateFrac,norm_rank_movement,2550,0.07601470202894552,0.03728993741512991,0.11451150708735451,True
All,All,nrUpdateFrac,norm_condition_movement,2550,-0.06294581778776856,-0.10153246779934066,-0.024170056049871595,True
All,All,stUpdateFrac,delta_loss,2550,0.03173715810430232,-0.0071064458689902256,0.07048512986902891,False
All,All,stUpdateFrac,relative_loss_decrease,2550,-0.03361351083939585,-0.07235390704705322,0.005228159095938181,False
All,All,stUpdateFrac,norm_rank_movement,2550,0.0857132708066839,0.04703498914457552,0.12413491291276038,True
All,All,stUpdateFrac,norm_condition_movement,2550,-0.01013473379291986,-0.04895031311321928,0.028711411692574594,False
All,All,update_flatness,delta_loss,2550,-0.09769228257330409,-0.13601112001448318,-0.059081584886463964,True
All,All,update_flatness,relative_loss_decrease,2550,-0.09857392171784755,-0.13688475799066233,-0.0599686426336174,True
All,All,update_flatness,norm_rank_movement,2550,-0.05296136577929154,-0.09160779699326942,-0.014155635106857214,True
All,All,update_flatness,norm_condition_movement,2550,-0.08274243451677417,-0.12118786802080356,-0.04404913191131849,True
All,All,relative_update_fro_norm,delta_loss,2550,0.7489701112850694,0.7314091333018591,0.7655384006756745,True
All,All,relative_update_fro_norm,relative_loss_decrease,2550,0.5284464582820197,0.4998700136686395,0.5558735898648688,True
All,All,relative_update_fro_norm,norm_rank_movement,2550,0.2710744389611285,0.23471042176987147,0.3066808141958208,True
All,All,relative_update_fro_norm,norm_condition_movement,2550,0.3908102452267115,0.3573996746592087,0.42322182930751984,True
All,All,update_grad_inner,delta_loss,2550,0.8715115208693114,0.8618458617855776,0.8805443300148907,True
All,All,update_grad_inner,relative_loss_decrease,2550,0.6126702954555489,0.5878214604323244,0.6363641562483576,True
All,All,update_grad_inner,norm_rank_movement,2550,0.17773443898487423,0.13986498234945238,0.21508470730785917,True
All,All,update_grad_inner,norm_condition_movement,2550,0.4025377895663878,0.3694788193077014,0.4345790804642058,True
All,All,update_grad_cosine,delta_loss,2550,0.5600265985848617,0.5327789203656265,0.5861143096226027,True
All,All,update_grad_cosine,relative_loss_decrease,2550,0.5772758500754364,0.5507888189840525,0.6026013266962955,True
All,All,update_grad_cosine,norm_rank_movement,2550,0.11284373902830185,0.07433464823870319,0.15101678804306753,True
All,All,update_grad_cosine,norm_condition_movement,2550,0.39556083412305904,0.36229134322494155,0.42782364765826986,True
All,All,update_grad_per_update_norm,delta_loss,2550,0.8656189200597454,0.8555441999057096,0.8750383223475282,True
All,All,update_grad_per_update_norm,relative_loss_decrease,2550,0.6138677568769362,0.5890761690241157,0.637504831598079,True
All,All,update_grad_per_update_norm,norm_rank_movement,2550,0.12574343076842118,0.08733506245018233,0.16377850841244515,True
All,All,update_grad_per_update_norm,norm_condition_movement,2550,0.3908845820379299,0.357476204958256,0.4232938510512679,True
family,MatrixFactorizationInput,nrUpdateFrac,delta_loss,1500,-0.37538508983630414,-0.41808950112381627,-0.33102516042000263,True
family,MatrixFactorizationInput,nrUpdateFrac,relative_loss_decrease,1500,-0.4088216079148013,-0.4501538909369506,-0.36574125862615514,True
family,MatrixFactorizationInput,nrUpdateFrac,norm_rank_movement,1500,0.08983976696307222,0.039364572574513264,0.13985764015969615,True
family,MatrixFactorizationInput,nrUpdateFrac,norm_condition_movement,1500,-0.2873370945035348,-0.3331425814972808,-0.24017852788278218,True
family,MatrixFactorizationInput,stUpdateFrac,delta_loss,1500,-0.18941167636164877,-0.2377845805561617,-0.14010155015849995,True
family,MatrixFactorizationInput,stUpdateFrac,relative_loss_decrease,1500,-0.22317832000325027,-0.2707715945570025,-0.17449666224166233,True
family,MatrixFactorizationInput,stUpdateFrac,norm_rank_movement,1500,0.06961064538723384,0.019023389754214845,0.11984240502054284,True
family,MatrixFactorizationInput,stUpdateFrac,norm_condition_movement,1500,-0.27602640823436025,-0.3221760970246527,-0.22856789577317524,True
family,MatrixFactorizationInput,update_flatness,delta_loss,1500,-0.10723841930344848,-0.1570396990626844,-0.05689313432418449,True
family,MatrixFactorizationInput,update_flatness,relative_loss_decrease,1500,-0.16076791466053186,-0.20971441971960045,-0.11101766352794072,True
family,MatrixFactorizationInput,update_flatness,norm_rank_movement,1500,-0.16061673568268509,-0.20956605380286208,-0.11086438734636249,True
family,MatrixFactorizationInput,update_flatness,norm_condition_movement,1500,-0.3321862386176515,-0.3765052418385511,-0.28635022647331554,True
family,MatrixFactorizationInput,relative_update_fro_norm,delta_loss,1500,0.5038771506706551,0.4650936636644838,0.5407301257986231,True
family,MatrixFactorizationInput,relative_update_fro_norm,relative_loss_decrease,1500,0.53680198713478,0.4997361526036212,0.5719054414921456,True
family,MatrixFactorizationInput,relative_update_fro_norm,norm_rank_movement,1500,0.1528745822543636,0.10301799525161334,0.20196494779447896,True
