metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
norm_rank_plane_mean_speed,All,165,137,28,0.6352499493638692,0.5584362624067779,0.7226294661231165,-0.23097482840342964,-0.30496303597754437,-0.1569866208293149,True,True
norm_rank_plane_mean_speed,MatrixFactorizationInput,75,75,0,0.37780867705935256,0.33793269526301384,0.4223900157108022,-0.5118136601210654,-0.59978773591199,-0.4238395843301409,True,True
norm_rank_plane_mean_speed,MatrixSensing,75,48,27,1.0716849050228354,0.8785083999688551,1.3073392760894726,0.06947408936649152,-0.02771372249607075,0.16666190122905378,False,False
norm_rank_plane_mean_speed,SmallMLPDigits,15,14,1,0.6247349776063333,0.5095779932726701,0.765915713389027,-0.32902525866485705,-0.45757921019628844,-0.20047130713342565,True,True
norm_condition_mean_speed,All,165,131,34,0.5324078820379475,0.454151673529177,0.6241486476387988,-0.14035425512945243,-0.19870189781060818,-0.08200661244829668,True,True
norm_condition_mean_speed,MatrixFactorizationInput,75,75,0,0.24214711925595322,0.20815443065743316,0.28169098865089653,-0.36680839055484316,-0.4140725446646554,-0.31954423644503094,True,True
norm_condition_mean_speed,MatrixSensing,75,48,27,1.0716849050228352,0.878508399968855,1.3073392760894722,0.07504816859630231,-0.01899429122754598,0.1690906284201506,False,False
norm_condition_mean_speed,SmallMLPDigits,15,8,7,0.8278604558325177,0.6706850180627757,1.021870052071262,-0.08509569663127256,-0.19026366028328717,0.02007226702074205,False,False
condition_score_mean_abs_speed,All,165,131,34,0.5324078820379479,0.4541516735291772,0.6241486476387992,-0.04485017248570006,-0.05584304381829097,-0.03385730115310914,True,True
condition_score_mean_abs_speed,MatrixFactorizationInput,75,75,0,0.24214711925595328,0.20815443065743322,0.2816909886508966,-0.08402496744526616,-0.09631390846236161,-0.07173602642817072,True,True
condition_score_mean_abs_speed,MatrixSensing,75,48,27,1.0716849050228359,0.8785083999688554,1.3073392760894729,0.0011284906854006353,0.00048069339965782075,0.00177628797114345,False,False
condition_score_mean_abs_speed,SmallMLPDigits,15,8,7,0.8278604558325178,0.6706850180627758,1.0218700520712622,-0.07886951354337285,-0.15789889480182645,0.00015986771508076647,False,False
condition_score_std_speed,All,165,135,30,0.22039492100486618,0.1720272230217137,0.28236182827069234,-0.05357779460381492,-0.06706694768836961,-0.040088641519260226,True,True
condition_score_std_speed,MatrixFactorizationInput,75,74,1,0.2444908359362715,0.2070071233627144,0.28876189324209256,-0.09710316383545807,-0.11601955516780586,-0.07818677250311028,True,True
condition_score_std_speed,MatrixSensing,75,50,25,0.15323584918015962,0.09292788418714651,0.2526822350401955,-0.0006647061380242399,-0.0014494777521971323,0.00012006547614865255,True,False
condition_score_std_speed,SmallMLPDigits,15,11,4,0.8074257168216735,0.6670301902344741,0.9773714859230359,-0.1005163907745525,-0.1837522091151491,-0.017280572433955907,True,True
delta_gd_pred_mean_rel_speed,All,165,158,7,0.3316122607953837,0.30062685893702684,0.36579130653412645,-0.9776179846082037,-1.1736033117179385,-0.7816326574984689,True,True
delta_gd_pred_mean_rel_speed,MatrixFactorizationInput,75,75,0,0.22403580729592548,0.2081042776877609,0.24118698331634036,-1.693681211792431,-2.055003121564909,-1.332359302019953,True,True
delta_gd_pred_mean_rel_speed,MatrixSensing,75,72,3,0.4266123135904154,0.36659973477750507,0.49644898466013443,-0.4391762019374737,-0.5213105294480093,-0.35704187442693813,True,True
delta_gd_pred_mean_rel_speed,SmallMLPDigits,15,11,4,0.6686244575858582,0.5092831366783921,0.8778194938826273,-0.08951076204071708,-0.145338660374934,-0.03368286370650015,True,True
delta_spec_pred_mean_rel_speed,All,165,158,7,0.31096068252681824,0.27850229255597797,0.34720197521573,-1.5337724033086229,-1.9216950656970777,-1.145849740920168,True,True
delta_spec_pred_mean_rel_speed,MatrixFactorizationInput,75,75,0,0.18803563257568642,0.17030099064864238,0.2076171077071795,-2.9312714275417364,-3.6656242585165533,-2.1969185965669196,True,True
delta_spec_pred_mean_rel_speed,MatrixSensing,75,71,4,0.4493978960504906,0.3870511454510595,0.5217875501679508,-0.4264415246837805,-0.5128331912785138,-0.3400498580890472,True,True
delta_spec_pred_mean_rel_speed,SmallMLPDigits,15,12,3,0.6101046539909105,0.46278933532508215,0.8043134541116871,-0.08293167526726762,-0.12772259148363393,-0.038140759050901314,True,True
loss_mean_rel_speed,All,165,164,1,0.16625139619521664,0.13315815568892284,0.20756916160230482,-0.21373666206707262,-0.244048501187725,-0.18342482294642024,True,True
loss_mean_rel_speed,MatrixFactorizationInput,75,74,1,0.08060684936941703,0.05699914713150302,0.11399230501245143,-0.1324241322449107,-0.15292872257819978,-0.11191954191162164,True,True
loss_mean_rel_speed,MatrixSensing,75,75,0,0.45075718812973586,0.38808498019874244,0.5235503897795127,-0.32896404277151786,-0.38101370134349016,-0.27691438419954556,True,True
loss_mean_rel_speed,SmallMLPDigits,15,15,0,0.042349206363724905,0.03720108418599225,0.04820975836808187,-0.04416240765565594,-0.06664849644918414,-0.02167631886212775,True,True
median_relative_update_fro_norm,All,165,160,5,0.4200733742315978,0.38848015565722294,0.4542359169924285,-0.08553057600781784,-0.0980871870747339,-0.07297396494090178,True,True
median_relative_update_fro_norm,MatrixFactorizationInput,75,75,0,0.4245638309094431,0.3916784795738085,0.4602102385421835,-0.013810195053179332,-0.014948192342447202,-0.012672197763911461,True,True
median_relative_update_fro_norm,MatrixSensing,75,75,0,0.38958414718324036,0.3401221836270193,0.44623907243560224,-0.16532902986449027,-0.1757829825658912,-0.15487507716308935,True,True
median_relative_update_fro_norm,SmallMLPDigits,15,10,5,0.5805710271938571,0.40942316704080417,0.8232624451936248,-0.04514021149764831,-0.07909104861094922,-0.011189374384347403,True,True
median_mean_relative_layer_update_norm,All,165,139,26,0.4789170031617918,0.43533301535455443,0.5268644642783861,-0.08609354434588709,-0.09862734320104369,-0.0735597454907305,True,True
median_mean_relative_layer_update_norm,MatrixFactorizationInput,75,54,21,0.5705318993150059,0.4969735407886906,0.6549778236068929,-0.013610788559526134,-0.017463808412425095,-0.009757768706627173,True,True
