problem_family,base_setting,setting,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher,kappa,condition_score_Adam,condition_score_Muon,nrG_Adam,nrG_Muon,nrUpdateFrac_Adam,nrUpdateFrac_Muon,stA_Adam,stA_Muon,stUpdateFrac_Adam,stUpdateFrac_Muon,update_flatness_Adam,update_flatness_Muon,log10_kappa,log10_target_relative_update_norm,delta_stUpdateFrac,delta_update_flatness
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,0,9.215486597946804e-07,4.626234173803646e-07,0.0001532792239327,0.0001532792239327,0.9994330499176828,0.9994330499176828,0.5611767830741491,0.2782400827858175,9.115141698366012e-07,4.51942749103842e-07,0.5020065001054164,-4.589252424143159e-07,False,0.4958153850585313,-4.595714207327592e-07,False,0.495815385058532,-0.2829367002883315,False,100.0,0.3708731155257598,0.3708731155257598,1.477937561623897,1.477937561623897,0.5241229323315604,0.9999999999999998,6.714979402030318,6.714979402030318,0.2627377608054481,0.9999999999999952,0.5039630393545831,0.9999999999999956,2.0,-2.0,0.7372622391945471,0.4960369606454125
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,1,1.607507186140322e-06,5.298057500234326e-07,0.0001523576752729,0.0001528166005153,0.9967811930325144,0.998057523384873,0.6201627625046826,0.2728471837864918,1.2908741501058188e-06,4.872162718431896e-07,0.3295821969514885,-1.0777014361168893e-06,False,0.3774312715172507,-8.036578782626293e-07,False,0.4399606043493004,-0.3473155787181908,False,100.0,0.3444629800529987,0.3183733056185249,1.2955434441033669,1.2803890732382042,0.5605658674866996,1.0,6.5311852866706825,6.720225787447187,0.2626107397139594,0.9999999999999922,0.4684729222314899,0.9999999999999922,2.0,-2.0,0.7373892602860328,0.5315270777685024
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,2,2.350106149821656e-06,6.506460106434596e-07,0.0001507501680867,0.0001522867947653,0.9919715636068136,0.996510180887738,0.6735785902791227,0.2792804788855056,1.943764156247482e-06,5.850196524413178e-07,0.276858137107056,-1.6994601391781962e-06,False,0.3009725488357201,-1.3587445038061649e-06,False,0.4146219652999589,-0.3942981113936171,False,100.0,0.4204199261757002,0.3339003347929198,1.2604414077674524,1.2749728203823467,0.5239881866145583,1.0,5.942865495398468,6.577985382900134,0.257080740117889,0.9999999999999896,0.4918731690308813,0.9999999999999896,2.0,-2.0,0.7429192598821006,0.5081268309691083
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,3,3.2490791580454704e-06,8.091302794354586e-07,0.0001484000619369,0.0001516361487546,0.984857644952004,0.9946295706969822,0.7153159611144377,0.2905206759655651,2.769353989684725e-06,7.269545934090804e-07,0.2490337231187074,-2.4399488786100117e-06,False,0.2624997006943991,-2.0423993962756445e-06,False,0.4061431475860595,-0.4247952851488726,False,100.0,0.5113580363977274,0.3689436416891706,1.2333582638835794,1.3225820667186494,0.4565583144948526,1.0,5.480446180517079,6.413435873794514,0.2412481423051817,0.9999999999999856,0.5312282781902885,0.9999999999999852,2.0,-2.0,0.7587518576948038,0.46877172180969673
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,4,4.291287757244916e-06,1.0004233964613072e-06,0.0001451509827789,0.0001508270184752,0.974919404381844,0.9922864183691942,0.7443670190256665,0.3022863192859232,3.74624347029647e-06,9.036051691614492e-07,0.2331289470794186,-3.2908643607836084e-06,False,0.2412030014402507,-2.842638301135021e-06,False,0.40609848577332,-0.4420806997397432,False,100.0,0.5899264267129871,0.3985106536921541,1.2096970284505253,1.3703334561723173,0.3776917192150727,1.0,5.192468929500458,6.308039606314979,0.2235405533809923,0.9999999999999882,0.602555928499375,0.999999999999988,2.0,-2.0,0.7764594466189959,0.397444071500613
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,5,5.461419746283718e-06,1.2235977148779295e-06,0.0001408596950216,0.0001498265950787,0.9616228028915546,0.9893741521006584,0.7638086174558175,0.3129963258563289,4.85913671049568e-06,1.1115947378685166e-06,0.2240438881685554,-4.237822031405788e-06,False,0.2287638327745512,-3.747541972627163e-06,False,0.4097837058959788,-0.4508122915994886,False,100.0,0.6543142802738231,0.423079378486491,1.1879042349619724,1.4068277699303613,0.3069416333060412,1.0,5.003850711969509,6.223959175145032,0.2104619386320145,0.9999999999999856,0.7201487394330435,0.9999999999999856,2.0,-2.0,0.789538061367971,0.2798512605669421
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,6,6.740075089209298e-06,1.4807066523416694e-06,0.0001353982752753,0.0001486029973638,0.9444096880186604,0.9857896560562414,0.7775290905388419,0.3226938618868216,6.100104580674594e-06,1.352836778467762e-06,0.2196869667983738,-5.259368436867629e-06,False,0.2217727189061003,-4.747267802206833e-06,False,0.4150248084778266,-0.4548352286520203,False,100.0,0.7064118856422578,0.4443754306905692,1.168154511053709,1.4344627512716968,0.2815841992018859,1.0,4.873492978152731,6.1503886341962435,0.2076036740366009,0.9999999999999905,0.7878961977340728,0.9999999999999905,2.0,-2.0,0.7923963259633895,0.21210380226591763
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,7,8.074499536569476e-06,1.768655455954379e-06,0.0001286582001861,0.0001471222907115,0.9226965931693788,0.9814211189518234,0.7865589782296907,0.3313646892232388,7.432899784713532e-06,1.6238779579907344e-06,0.2190421149873281,-6.305844080615097e-06,False,0.2184716604588689,-5.809021826722797e-06,False,0.4212839702993941,-0.4551942890064518,False,100.0,0.7485064146377949,0.4713189247628655,1.1510598020961038,1.4542217420821948,0.2696982561830702,1.0,4.77983557060112,6.041449138922291,0.2061520355877296,0.9999999999999868,0.8221960270838153,0.9999999999999868,2.0,-2.0,0.7938479644122571,0.17780397291617145
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,8,9.34072589373362e-06,2.099220442458485e-06,0.0001205837006496,0.0001453536352555,0.8959535332250268,0.9761628421058788,0.7889126837958835,0.3390387831657738,8.763778157877802e-06,1.936064155781336e-06,0.2247384696158123,-7.2415054512751345e-06,False,0.2209166093554066,-6.8277140020964665e-06,False,0.4297545091232096,-0.4498739006301097,False,100.0,0.7823732728637639,0.4821625941505517,1.137036641843876,1.465317109236113,0.2622421101168231,1.0,4.711276162337308,6.006078446760286,0.2053851342991023,0.9999999999999896,0.8434368185348873,0.9999999999999892,2.0,-2.0,0.7946148657008872,0.15656318146510195
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,9,1.038313856465969e-05,2.471850358747702e-06,0.0001112429747558,0.0001432544148131,0.8639158339493135,0.9698669574345988,0.7846124397195909,0.3461122173305419,9.968764272261565e-06,2.2897981629095317e-06,0.2380638901575438,-7.911288205911989e-06,False,0.2296972925000318,-7.678966109352034e-06,False,0.4411250699188982,-0.438500222389049,False,100.0,0.8099201740843064,0.4950390345263919,1.126909870632032,1.4728773799209112,0.2566589939814244,1.0,4.660846604789162,5.955447934161635,0.2049910367703716,0.9999999999999896,0.8589222200101198,0.9999999999999896,2.0,-2.0,0.795008963229618,0.1410777799898698
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,0,1.043787967933737e-06,4.667261731437441e-07,0.0001604720091443,0.0001604720091443,0.9995233235792308,0.9995233235792308,0.5169067946931944,0.2543071523680643,9.276956923589606e-07,4.564065557078921e-07,0.4471465350071685,-5.77061794789993e-07,False,0.4919787377122919,-4.712891366510685e-07,False,0.4919787377122912,-0.2625996423251301,False,100.0,0.5118478390637686,0.5118478390637686,1.9576733708460157,1.9576733708460157,0.5377168175846302,1.0,6.777560537070711,6.777560537070711,0.2811346170522604,0.9999999999999928,0.5229918823452329,0.9999999999999928,2.0,-2.0,0.7188653829477324,0.4770081176547599
