target,feature_set,evaluation,held_out_setting,train_rows,test_rows,test_positive_rate,auc,accuracy,balanced_accuracy,brier,baseline_brier
update_grad_inner_muon_higher,family_only,in_sample,None,1500,1500,0.2853333333333333,0.8645252127214396,0.8573333333333333,0.7801776747105593,0.13222651159992024,0.20391822222222222
update_grad_inner_muon_higher,family_only,leave_setting_out,MF input kappa=1e+02,1200,300,0.03666666666666667,0.5,0.9633333333333334,0.5,0.036482818533777384,0.035322222222222234
update_grad_inner_muon_higher,family_only,leave_setting_out,MF input kappa=1e+05,1200,300,0.03333333333333333,0.5,0.9666666666666667,0.5,0.03405787215414304,0.032222222222222215
update_grad_inner_muon_higher,family_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.8533333333333334,0.5,0.8533333333333334,0.5,0.13394663829046355,0.12515555555555555
update_grad_inner_muon_higher,family_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.86,0.5,0.86,0.5,0.1276260708814354,0.12039999999999997
update_grad_inner_muon_higher,family_only,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5,0.5,0.5,0.5,0.4848008420280333,0.25
update_grad_inner_muon_higher,family_only,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.0,,0.41187762271160183,0.0
update_grad_inner_muon_higher,state_only,in_sample,None,1500,1500,0.2853333333333333,0.9013264576649462,0.7733333333333333,0.7663246268656716,0.1291841478137783,0.20391822222222222
update_grad_inner_muon_higher,state_only,leave_setting_out,MF input kappa=1e+02,1200,300,0.03666666666666667,0.16105693614344135,0.9633333333333334,0.5,0.03761664109328332,0.035322222222222234
update_grad_inner_muon_higher,state_only,leave_setting_out,MF input kappa=1e+05,1200,300,0.03333333333333333,0.13379310344827586,0.9666666666666667,0.5,0.03650142321053365,0.032222222222222215
update_grad_inner_muon_higher,state_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.8533333333333334,0.4460227272727272,0.8533333333333334,0.5,0.13709469611950478,0.12515555555555555
update_grad_inner_muon_higher,state_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.86,0.48172757475083056,0.86,0.5,0.12594130450083396,0.12039999999999997
update_grad_inner_muon_higher,state_only,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5,0.33137777777777777,0.5,0.5,0.4997345130862435,0.25
update_grad_inner_muon_higher,state_only,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.0,,0.9566704150421697,0.0
update_grad_inner_muon_higher,update_spectrum_only,in_sample,None,1500,1500,0.2853333333333333,0.926081479285814,0.876,0.8942974961640396,0.09504580908902044,0.20391822222222222
update_grad_inner_muon_higher,update_spectrum_only,leave_setting_out,MF input kappa=1e+02,1200,300,0.03666666666666667,0.21988046555520604,0.9633333333333334,0.5,0.04162630136126835,0.035322222222222234
update_grad_inner_muon_higher,update_spectrum_only,leave_setting_out,MF input kappa=1e+05,1200,300,0.03333333333333333,0.8093103448275862,0.9333333333333333,0.4827586206896552,0.04867371887931287,0.032222222222222215
update_grad_inner_muon_higher,update_spectrum_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.8533333333333334,0.1455965909090909,0.8533333333333334,0.5,0.14129575179347806,0.12515555555555555
update_grad_inner_muon_higher,update_spectrum_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.86,0.15540789959394613,0.86,0.5,0.13613967338306193,0.12039999999999997
update_grad_inner_muon_higher,update_spectrum_only,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5,0.6827555555555556,0.6166666666666667,0.6166666666666667,0.24062448926069246,0.25
update_grad_inner_muon_higher,update_spectrum_only,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,1.0,,0.0422043136636775,0.0
update_grad_inner_muon_higher,state_plus_update_spectrum,in_sample,None,1500,1500,0.2853333333333333,0.9623596387222765,0.886,0.8998901520435207,0.07948804956905099,0.20391822222222222
update_grad_inner_muon_higher,state_plus_update_spectrum,leave_setting_out,MF input kappa=1e+02,1200,300,0.03666666666666667,0.9726329034287512,0.9666666666666667,0.5454545454545454,0.025699684490280726,0.035322222222222234
update_grad_inner_muon_higher,state_plus_update_spectrum,leave_setting_out,MF input kappa=1e+05,1200,300,0.03333333333333333,0.9944827586206896,0.95,0.9741379310344828,0.03500859261521178,0.032222222222222215
update_grad_inner_muon_higher,state_plus_update_spectrum,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.8533333333333334,0.6782670454545455,0.8533333333333334,0.5,0.13990432858214144,0.12515555555555555
update_grad_inner_muon_higher,state_plus_update_spectrum,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.86,0.6264304171280916,0.86,0.5,0.1197325675417913,0.12039999999999997
update_grad_inner_muon_higher,state_plus_update_spectrum,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5,0.4913777777777778,0.5,0.5,0.4991613322968436,0.25
update_grad_inner_muon_higher,state_plus_update_spectrum,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.08666666666666667,,0.7574757986522936,0.0
delta_loss_muon_higher,family_only,in_sample,None,1500,1500,0.30666666666666664,0.8442725752508362,0.8426666666666667,0.7665133779264215,0.1404066495047853,0.21262222222222218
delta_loss_muon_higher,family_only,leave_setting_out,MF input kappa=1e+02,1200,300,0.06333333333333334,0.5,0.9366666666666666,0.5,0.061255812836622237,0.059322222222222235
delta_loss_muon_higher,family_only,leave_setting_out,MF input kappa=1e+05,1200,300,0.06,0.5,0.94,0.5,0.0591090168745309,0.05639999999999999
delta_loss_muon_higher,family_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.88,0.5,0.88,0.5,0.10976541653641836,0.10559999999999999
delta_loss_muon_higher,family_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.8666666666666667,0.5,0.8666666666666667,0.5,0.12237270976100385,0.11555555555555552
