problem_family,setting,seed,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,min_grad_rank_fraction,max_grad_rank_fraction
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+00 input_mult=2,0,20,2,1.0,2,2,2.0,64,1024,0.0027340226944396434,1.0005208822780682,1.6803582956608998,4.863074243850509,0.5021106975705524,0.8401791478304499,0.6894318039272064,0.9909264917336933
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+00 input_mult=2,1,20,2,1.0,2,2,2.0,64,1024,0.003025848936133202,1.000250035742273,1.6916530111892767,4.528383722081507,0.5685987009095637,0.8458265055946383,0.7095290518242878,0.9821239593649888
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+00 input_mult=2,2,20,2,1.0,2,2,2.0,64,1024,0.002433707607863735,1.0006503308409032,1.5822390759952132,4.724410212343913,0.5375255502881917,0.7911195379976066,0.6716665297694597,0.9105725462257536
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+00 input_mult=10,0,20,2,1.0,2,10,2.0,64,1024,0.002563674106539956,1.0005208822780682,1.7309590480118042,6.764498499534835,0.5507633696878911,0.8654795240059021,0.743286360287618,0.9876726877241864
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+00 input_mult=10,1,20,2,1.0,2,10,2.0,64,1024,0.002614536391799539,1.000250035742273,1.7881022202016263,7.338396545818874,0.5107719034501013,0.8940511101008132,0.8289740590894803,0.959128161112146
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+00 input_mult=10,2,20,2,1.0,2,10,2.0,64,1024,0.0025965160587982645,1.0006503308409032,1.4821195396466433,6.638272708853825,0.459471611590438,0.7410597698233217,0.5643464565052884,0.917773083141355
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+01 input_mult=2,0,20,2,10.0,2,2,2.0,64,1024,0.0011958462355178875,1.0007447075340137,1.1583930871338195,4.863074243850509,0.37930090436785024,0.5791965435669097,0.5543018338164287,0.6040912533173908
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+01 input_mult=2,1,20,2,10.0,2,2,2.0,64,1024,0.0017564516381689418,1.0002657921607372,1.1138232292818493,4.528383722081507,0.3992555405259329,0.5569116146409246,0.5189401367058597,0.5948830925759896
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+01 input_mult=2,2,20,2,10.0,2,2,2.0,64,1024,0.0012805761128429833,1.001089431337093,1.0788028162509091,4.724410212343913,0.3981695537581067,0.5394014081254546,0.5212504615986171,0.5575523546522921
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+01 input_mult=10,0,20,2,10.0,2,10,2.0,64,1024,0.0012771531321934483,1.0007447075340137,1.1485044810961154,6.764498499534835,0.40582851777002593,0.5742522405480577,0.5671613373360485,0.581343143760067
