layer,head_gradient_nuclear_rank,tail_activation_stable_rank,condition_score,seed,geometry,dataset,tail_output_drift_fro
1,41.9158486986186,3.206738615370863,13.071177207179698,0,frobenius,CIFAR100,2.596186637878418
2,23.809252080799766,3.138223894513367,7.586855776105096,0,frobenius,CIFAR100,2.596186637878418
1,41.9158486986186,3.206738615370863,13.071177207179698,0,spectral,CIFAR100,1.1154155731201172
2,23.809252080799766,3.138223894513367,7.586855776105096,0,spectral,CIFAR100,1.1154155731201172
1,39.993676852874295,3.406557926591571,11.74020160957308,1,frobenius,CIFAR100,2.693988561630249
2,26.13753099608094,3.1387339246997237,8.327412142327887,1,frobenius,CIFAR100,2.693988561630249
1,39.993676852874295,3.406557926591571,11.74020160957308,1,spectral,CIFAR100,1.2236543893814087
2,26.13753099608094,3.1387339246997237,8.327412142327887,1,spectral,CIFAR100,1.2236543893814087
1,40.03758856422797,3.1811195376392245,12.586005678347032,2,frobenius,CIFAR100,2.9986016750335693
2,23.848571221545846,3.1525041236496043,7.5649611502924,2,frobenius,CIFAR100,2.9986016750335693
1,40.03758856422797,3.1811195376392245,12.586005678347032,2,spectral,CIFAR100,1.3211116790771484
2,23.848571221545846,3.1525041236496043,7.5649611502924,2,spectral,CIFAR100,1.3211116790771484
1,39.51686815497088,3.111523402984775,12.700167421869216,3,frobenius,CIFAR100,3.0299861431121826
2,23.567137454798125,3.140561873763191,7.504114996645077,3,frobenius,CIFAR100,3.0299861431121826
1,39.51686815497088,3.111523402984775,12.700167421869216,3,spectral,CIFAR100,1.3254588842391968
2,23.567137454798125,3.140561873763191,7.504114996645077,3,spectral,CIFAR100,1.3254588842391968
1,41.018206069395134,3.426888262200396,11.969519555638342,4,frobenius,CIFAR100,2.8805370330810547
2,24.478906050454576,3.125819658921671,7.8311958850816055,4,frobenius,CIFAR100,2.8805370330810547
1,41.018206069395134,3.426888262200396,11.969519555638342,4,spectral,CIFAR100,1.2755635976791382
2,24.478906050454576,3.125819658921671,7.8311958850816055,4,spectral,CIFAR100,1.2755635976791382
