seed,geometry,dataset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,device,dtype
0,frobenius,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,0.9460859298706055,0.9366942048072815,0.009391725063323975,0.007307394941549941,0.009460859298706055,8.004401206970215,8.005179405212402,0.0007781982421875,0.046,0.046,0.0,-6.974656581878662,-6.975486755371094,0.0008301734924316406,0.046,0.9782608695652174,0.008,0.0,2.596186637878418,0.008209876716136932,2.5960519313812256,0.13672272861003876,0.42098790407180786,0.4486156702041626,0.014186471700668335,2.5961947441101074,0.0011684596538543701,0.0004500662616919726,0.0023289124105699433,0.0015151683473959565,0.0023289121232668865,4.06235134601593,32.862550389709185,3.172481254942115,10.329016491642397,cpu,float32
0,spectral,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,0.9460859298706055,0.936663031578064,0.009422898292541504,0.004012426880689677,0.009460859298706055,8.004401206970215,8.005993843078613,0.0015926361083984375,0.046,0.046,0.0,-6.974656581878662,-6.976464748382568,0.00180816650390625,0.046,0.9782608695652174,0.008,0.0,1.1154155731201172,0.0035272531677037477,1.114149808883667,0.14109644293785095,0.20529897511005402,0.25522667169570923,0.008070976473391056,1.115405797958374,0.0013746917247772217,0.0012324588606134057,0.007017160866270841,0.00037191208684816957,0.0003719114714363845,25.43847131729126,32.862550389709185,3.172481254942115,10.329016491642397,cpu,float32
1,frobenius,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,0.9521907567977905,0.9427441954612732,0.009446561336517334,0.007912934558823106,0.009521907567977906,8.119312286376953,8.119439125061035,0.00012683868408203125,0.05,0.049,0.0010000000000000009,-7.060972213745117,-7.0607075691223145,-0.0002646446228027344,0.05,0.94,0.012,0.02,2.693988561630249,0.008519151248037815,2.693721294403076,0.08123258501291275,0.4480048716068268,0.44871455430984497,0.014189599081873894,2.6940104961395264,0.0014041212853044271,0.0005212011164985597,0.002723480196742657,0.0015669300919398665,0.0027234799714040835,3.4962282329797745,33.065603924477614,3.272645925645647,10.033806875950484,cpu,float32
1,spectral,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,0.9521907567977905,0.9427079558372498,0.009482800960540771,0.004107013973612738,0.009521907567977906,8.119312286376953,8.120258331298828,0.000946044921875,0.05,0.049,0.0010000000000000009,-7.060972213745117,-7.061955451965332,0.0009832382202148438,0.05,0.96,0.008,0.02,1.2236543893814087,0.003869535867124796,1.221928596496582,0.11085599660873413,0.23254646360874176,0.2510191798210144,0.007937923073768616,1.2236618995666504,0.001764233224093914,0.001441765227355063,0.007834152642012553,0.0004152114852331579,0.00041521093890806876,22.93269920349121,33.065603924477614,3.272645925645647,10.033806875950484,cpu,float32
2,frobenius,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,1.0820063352584839,1.0712721347808838,0.010734200477600098,0.007935524237409354,0.01082006335258484,7.972718715667725,7.972803115844727,8.440017700195312e-05,0.05,0.05,0.0,-6.975665092468262,-6.975443363189697,-0.00022172927856445312,0.05,0.98,0.01,0.0,2.9986016750335693,0.009482424706220627,2.998387098312378,0.07983498275279999,0.4857163727283478,0.48940056562423706,0.015476204454898834,2.9986298084259033,0.0013272593496367335,0.000442621938418597,0.00279040235669076,0.0017669223016127944,0.00279040347391825,3.877598151564598,31.943079892886907,3.1668118306444146,10.075483414319717,cpu,float32
2,spectral,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,1.0820063352584839,1.0712321996688843,0.01077413558959961,0.004244685219357625,0.01082006335258484,7.972718715667725,7.9737701416015625,0.0010514259338378906,0.05,0.05,0.0,-6.975665092468262,-6.97681188583374,0.0011467933654785156,0.05,1.0,0.008,0.0,1.3211116790771484,0.0041777221485972404,1.3193894624710083,0.13126125931739807,0.2367541491985321,0.2607889771461487,0.008246871642768383,1.3211102485656738,0.001987184165045619,0.001504177344031632,0.008376228628898362,0.00044394147698767483,0.00044394102637744813,24.37274932861328,31.943079892886907,3.1668118306444146,10.075483414319717,cpu,float32
3,frobenius,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,1.1070168018341064,1.0960561037063599,0.010960698127746582,0.00988872891659033,0.011070168018341065,7.95929479598999,7.958279609680176,-0.0010151863098144531,0.044,0.045,-0.0010000000000000009,-6.951416015625,-6.948641777038574,-0.0027742385864257812,0.044,0.9772727272727273,0.008,0.0,3.0299861431121826,0.00958167016506195,3.029738426208496,0.0801057294011116,0.5949699878692627,0.5884811878204346,0.018609410151839256,3.030014991760254,0.0017213800456374884,0.000568109389860183,0.0027508947017509987,0.0017757114255800843,0.0027508940384148137,4.024207353591919,31.542002804884504,3.126042638373983,10.102141209257146,cpu,float32
3,spectral,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,1.1070168018341064,1.0959994792938232,0.011017322540283203,0.004773683468065456,0.011070168018341065,7.95929479598999,7.960128307342529,0.0008335113525390625,0.044,0.045,-0.0010000000000000009,-6.951416015625,-6.951820373535156,0.00040435791015625,0.044,0.9772727272727273,0.004,0.0,1.3254588842391968,0.004191466141492128,1.3237135410308838,0.10994824022054672,0.2799646556377411,0.2991500794887543,0.009459955617785454,1.3254685401916504,0.0034697523806244135,0.002617755439132452,0.008324040007141608,0.0004411758854985237,0.000441175403054471,25.09244155883789,31.542002804884504,3.126042638373983,10.102141209257146,cpu,float32
4,frobenius,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,1.0815727710723877,1.0708489418029785,0.01072382926940918,0.008496741391111418,0.010815727710723878,8.71615219116211,8.716004371643066,-0.00014781951904296875,0.04,0.039,0.0010000000000000009,-7.706088066101074,-7.705528259277344,-0.0005598068237304688,0.04,0.975,0.013,0.025,2.8805370330810547,0.009109069593250751,2.880340099334717,0.07624322921037674,0.49552419781684875,0.49056610465049744,0.015513062477111816,2.8805429935455322,0.0023317497689276934,0.0008094827062450349,0.002689948529676733,0.001692841644398868,0.002689948647685523,4.020793378353119,32.74855605992485,3.2763539605610337,9.900357720359974,cpu,float32
4,spectral,CIFAR100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",10000,1000,1000,600,256,1.0815727710723877,1.070805549621582,0.010767221450805664,0.004484789300873357,0.010815727710723878,8.71615219116211,8.717718124389648,0.0015659332275390625,0.04,0.04,0.0,-7.706088066101074,-7.707791328430176,0.0017032623291015625,0.04,0.975,0.004,0.0,1.2755635976791382,0.004033684730529785,1.2743101119995117,0.11907226592302322,0.23560860753059387,0.2657763361930847,0.008404585532844067,1.2755522727966309,0.003172206925228238,0.0024869281332939863,0.007973208887257421,0.0004225821467116475,0.0004225816156911147,25.594411373138428,32.74855605992485,3.2763539605610337,9.900357720359974,cpu,float32
