seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
0,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.8727458715438843,0.8682904243469238,0.004455447196960449,0.021018223570345752,0.004363729357719421,4.746901512145996,4.743757247924805,-0.0031442642211914062,0.0305,0.0305,0.0,-3.4643585681915283,-3.460253953933716,-0.0041046142578125,0.0305,0.9836065573770493,0.006,0.0,2.5878937244415283,0.005786706227809191,2.58062744140625,0.2164403349161148,0.47851693630218506,0.49421316385269165,0.011050943285226822,,,,0.00020059414772368036,6.201818905537948e-05,0.000200594144115275,21.754021668806672,14.497981311090035,,,14.497981816280017,cuda,float32
0,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.8727458715438843,0.8682584762573242,0.004487395286560059,0.0283395047453786,0.004363729357719421,4.746901512145996,4.7454423904418945,-0.0014591217041015625,0.0305,0.0305,0.0,-3.4643585681915283,-3.462472438812256,-0.001886129379272461,0.0305,1.0,0.0025,0.0,1.258629322052002,0.0028143806848675013,1.255509853363037,0.10984799265861511,0.2338390052318573,0.23997515439987183,0.0053660073317587376,,,,0.000871730625896075,1.3121183656039648e-05,1.3118876160066008e-05,332.6298155784607,14.497981311090035,,,210.23809510457968,cuda,float32
1,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.8980149030685425,0.8935072422027588,0.004507660865783691,0.003916716834183067,0.004490074515342712,4.616981506347656,4.615138530731201,-0.0018429756164550781,0.023,0.0235,-0.0005000000000000004,-3.2956459522247314,-3.2925567626953125,-0.0030891895294189453,0.023,0.9130434782608695,0.006,0.0,2.431462049484253,0.005436914041638374,2.4277868270874023,0.18302203714847565,0.5414687991142273,0.5470205545425415,0.012231751345098019,,,,0.000249839270989952,8.323750807903707e-05,0.0002498392701635663,17.97185251303017,17.02967884424014,,,17.02962163078642,cuda,float32
1,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.8980149030685425,0.8933804035186768,0.004634499549865723,0.032165398153083204,0.004490074515342712,4.616981506347656,4.6161980628967285,-0.0007834434509277344,0.023,0.0235,-0.0005000000000000004,-3.2956459522247314,-3.2942731380462646,-0.0013728141784667969,0.023,0.9565217391304348,0.0045000000000000005,0.0,1.1191190481185913,0.002502426039427519,1.1172562837600708,0.08425907045602798,0.24154360592365265,0.24565692245960236,0.005493056029081345,,,,0.0009677129204685593,1.4565825040335767e-05,1.4563335771431444e-05,308.31360244750977,17.02967884424014,,,210.23809510611807,cuda,float32
2,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.9614301323890686,0.956515908241272,0.004914224147796631,0.022273794474325447,0.004807150661945343,4.709607124328613,4.7094268798828125,-0.00018024444580078125,0.021500000000000002,0.022,-0.000499999999999997,-3.3785436153411865,-3.3780014514923096,-0.0005421638488769531,0.021500000000000002,0.9302325581395349,0.002,0.0,2.902053117752075,0.006489187944680452,2.897035837173462,0.23110587894916534,0.5154130458831787,0.5226040482521057,0.011685782112181187,,,,0.00034499157350644243,0.00010650642070686445,0.00034499155705333164,13.934111034497619,23.35057455511157,,,23.350690690577284,cuda,float32
2,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.9614301323890686,0.9566084146499634,0.004821717739105225,0.0030302934491316475,0.004807150661945343,4.709607124328613,4.7095947265625,-1.239776611328125e-05,0.021500000000000002,0.022,-0.000499999999999997,-3.3785436153411865,-3.3784525394439697,-9.107589721679688e-05,0.021500000000000002,0.9534883720930233,0.001,0.0,1.1219501495361328,0.002508756471797824,1.1199687719345093,0.08695332705974579,0.1971668004989624,0.20150017738342285,0.004505681339651346,,,,0.0011679024285374121,1.7579062841832638e-05,1.7576030638043517e-05,273.50604701042175,23.35057455511157,,,210.23809510467484,cuda,float32
3,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,1.0881030559539795,1.0827386379241943,0.005364418029785156,0.013987140201168504,0.005440515279769897,4.784337043762207,4.7819132804870605,-0.0024237632751464844,0.01,0.01,0.0,-3.475257396697998,-3.4718973636627197,-0.0033600330352783203,0.01,0.9500000000000001,0.0045000000000000005,0.0,2.849541187286377,0.006371767725795507,2.8445074558258057,0.2264637053012848,0.49563971161842346,0.5258996486663818,0.011759473942220211,,,,0.00023997945424299776,7.879096665419638e-05,0.00023997945984977236,22.67075391858816,14.631336361768447,,,14.631355419389722,cuda,float32
3,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,1.0881030559539795,1.0826250314712524,0.005478024482727051,0.006894421029682306,0.005440515279769897,4.784337043762207,4.78325891494751,-0.0010781288146972656,0.01,0.01,0.0,-3.475257396697998,-3.473888874053955,-0.0013685226440429688,0.01,1.0,0.0015,0.0,1.2748171091079712,0.0028505774680525064,1.272688627243042,0.10169316828250885,0.22812595963478088,0.23739098012447357,0.0053082238882780075,,,,0.00106430170138546,1.6019777831388637e-05,1.6016917199458697e-05,339.6730601787567,14.631336361768447,,,210.2380951062028,cuda,float32
4,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.9214102625846863,0.9169362783432007,0.004473984241485596,0.02888334910977949,0.004607051312923431,4.777194499969482,4.77621603012085,-0.0009784698486328125,0.018000000000000002,0.018000000000000002,0.0,-3.4900131225585938,-3.48828387260437,-0.0017292499542236328,0.018000000000000002,1.0,0.013000000000000001,0.0,3.5334339141845703,0.007900997996330261,3.5208442211151123,0.3046369254589081,0.627959132194519,0.6203574538230896,0.013871613889932632,,,,0.0003275319366911996,0.00011948242172366008,0.0003275319448982295,14.065960235893726,23.11334482544313,,,23.113371826765697,cuda,float32
4,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,250,0.9214102625846863,0.9169598817825317,0.004450380802154541,0.034006678052273295,0.004607051312923431,4.777194499969482,4.776762962341309,-0.0004315376281738281,0.018000000000000002,0.018000000000000002,0.0,-3.4900131225585938,-3.4892218112945557,-0.0007913112640380859,0.018000000000000002,1.0,0.004,0.0,1.2864378690719604,0.0028765625320374966,1.2824300527572632,0.11060106009244919,0.23725691437721252,0.23066341876983643,0.00515779061242938,,,,0.0011267455398348478,1.6959631466306746e-05,1.6956649453410215e-05,271.69585156440735,23.11334482544313,,,210.2380951036,cuda,float32
