layer_index,parameter,shape,seeds,mean_gradient_nuclear_rank,mean_alignment_ratio_spectral_over_fro,mean_step_size_ratio_spectral_over_fro,mean_tail_accuracy_before,geomean_jvp_tail_drift_sq_ratio_spectral_over_fro,jvp_tail_drift_sq_ratio_ci95_low,jvp_tail_drift_sq_ratio_ci95_high,spectral_less_jvp_tail_drift_fraction,geomean_scaled_jvp_tail_drift_sq_ratio_spectral_over_fro,scaled_jvp_tail_drift_sq_ratio_ci95_low,scaled_jvp_tail_drift_sq_ratio_ci95_high,spectral_less_scaled_jvp_tail_drift_fraction,geomean_observed_tail_drift_sq_ratio_spectral_over_fro,observed_tail_drift_sq_ratio_ci95_low,observed_tail_drift_sq_ratio_ci95_high,spectral_less_observed_tail_drift_fraction,mean_tail_loss_increase_diff_spectral_minus_fro,tail_loss_increase_diff_ci95_low,tail_loss_increase_diff_ci95_high,mean_tail_accuracy_drop_diff_spectral_minus_fro,tail_accuracy_drop_diff_ci95_low,tail_accuracy_drop_diff_ci95_high,mean_linearization_relative_error_diff_spectral_minus_fro,linearization_relative_error_diff_ci95_low,linearization_relative_error_diff_ci95_high
1,conv1.weight,64x3x3x3,10,4.877105694285817,2.203289486349349,0.45597815041441664,0.36745,1.2548220546808906,1.1932152612905382,1.3196096630632812,0.0,0.2596915310670268,0.23325816665342702,0.28912038654637057,1.0,0.4595342310638997,0.4176903786354724,0.50556996359206,1.0,6.647109985351563e-05,-2.95564205335579e-05,0.00016249862024058916,0.00015000000000000012,-0.00017829593695661584,0.0004782959369566161,0.12160997986793518,0.08387202484392778,0.15934793489194257
2,layer1.0.conv1.weight,64x64x3x3,10,21.53681354223547,4.6183608981136395,0.21912779246441733,0.36745,1.4574367001362645,1.4137080611459638,1.5025179478585222,0.0,0.06909472496847541,0.05828728415982654,0.08190604670100082,1.0,0.49706885633762615,0.4383643301734438,0.5636349286061588,1.0,7.68899917602539e-05,-0.00019972784104425168,0.0003535078245647595,-5.000000000000004e-05,-0.000474666666666667,0.000374666666666667,0.4113272547721863,0.3254895499144139,0.49716495962995866
3,layer1.0.conv2.weight,64x64x3x3,10,27.952773443376383,5.263632584050067,0.19208964754333402,0.36745,1.44614310739797,1.3944134850630563,1.4997917830521308,0.0,0.05273374040874248,0.043649788101695536,0.06370815297013138,1.0,0.46458935187639183,0.3912479432852087,0.5516789789731423,1.0,0.00011501312255859374,-0.0002352459259798443,0.0004652721710970318,-5.000000000000004e-05,-0.00039105001262441165,0.0002910500126244116,0.45162188410758974,0.3494898827380539,0.5537538854771256
4,layer1.1.conv1.weight,64x64x3x3,10,25.722106501485378,5.035470394446261,0.202332215807353,0.36745,1.3562712080501278,1.3167284133565405,1.3970015161263674,0.0,0.05440905636382896,0.04338967410780101,0.06822695664980985,1.0,0.39061579374827066,0.3446297777366728,0.44273799939068664,1.0,4.706382751464844e-05,-0.0002597763398104156,0.00035390399483971254,5.000000000000004e-05,-0.00022134971285532398,0.00032134971285532405,0.39632537961006165,0.30955005725902773,0.48310070196109556
5,layer1.1.conv2.weight,64x64x3x3,10,27.844027691270647,5.244632828344759,0.19360689727859326,0.36745,1.4005851518391186,1.3445820333885825,1.458920853351382,0.0,0.0516450675642715,0.04137554042558324,0.06446352062797427,1.0,0.38050476759043134,0.3218315468630776,0.44987472350137914,1.0,6.287097930908203e-05,-0.0003449249398019141,0.0004706668984200782,0.00015000000000000012,-0.00010513482274628413,0.0004051348227462844,0.3682076036930084,0.28537621416369124,0.4510389932223256
6,layer2.0.conv1.weight,128x64x3x3,10,37.436100212469604,6.066649881739478,0.16865600579277062,0.36745,1.4623676423599905,1.3661009166589506,1.5654181146819344,0.0,0.04056491315383752,0.030343838784142426,0.05422887298090704,1.0,0.3066943774719204,0.2481060808917375,0.3791178387680593,1.0,6.15835189819336e-05,-0.00048458837574926085,0.0006077554137131281,0.0,-0.0001460897745299864,0.0001460897745299864,0.6308838784694671,0.4835092968137395,0.7782584601251947
7,layer2.0.conv2.weight,128x128x3x3,10,46.16216387375244,6.750585709694496,0.15056056387015554,0.36745,1.4526228906783605,1.388859425050794,1.5193137796833427,0.0,0.03235909452455367,0.025667235937882733,0.040795627584641836,1.0,0.3046425708255409,0.23948927445140417,0.38752088656908357,1.0,-3.337860107421875e-06,-0.0005408961996521968,0.0005342204794373531,-0.00010000000000000009,-0.0003444549492692311,0.0001444549492692309,0.6528448522090912,0.5090515425214546,0.7966381618967278
8,layer2.0.downsample.0.weight,128x64x1x1,10,17.517228293007502,4.162477468720702,0.24347104858311536,0.36745,1.1842424777585674,1.1493440790836056,1.2202005227589772,0.0,0.06920876012764925,0.05656382988516847,0.08468048376728525,1.0,0.3236335194583758,0.2866620952314774,0.3653732274315489,1.0,-6.890296936035156e-05,-0.0005265114749479862,0.00038870553622728316,0.0,-0.00020660214046433427,0.00020660214046433427,0.1601988673210144,0.1204306950514013,0.1999670395906275
9,layer2.1.conv1.weight,128x128x3x3,10,47.294480189663865,6.837174613815688,0.14843426549899022,0.36745,1.5484512253384488,1.4881085121683215,1.6112408319998486,0.0,0.03357826373450112,0.027107336517933612,0.041593898193493996,1.0,0.27114304855253646,0.20989258653794596,0.3502675058276625,1.0,-2.0813941955566406e-05,-0.0005611243942480564,0.0005194965103369235,-0.00010000000000000009,-0.0004200666597236689,0.0002200666597236687,0.6247915685176849,0.4873028446766159,0.7622802923587539
10,layer2.1.conv2.weight,128x128x3x3,10,38.29542059690378,6.150808827109202,0.16492839359872685,0.36745,1.5888133796294894,1.541244680004296,1.6378502310759926,0.0,0.04257042410295812,0.03481812284320516,0.05204878552662643,1.0,0.22566091066739508,0.19427021291579646,0.2621238008593207,1.0,-0.00011565685272216797,-0.0006755662373649562,0.0004442525319206203,-0.00010000000000000009,-0.0003444549492692311,0.0001444549492692309,0.545881986618042,0.43023922811928933,0.6615247451167946
