seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
0,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013325416948646307,0.0013267605099827051,5.781184881925583e-06,0.13230709339824787,6.662708474323154e-06,4.812782287597656,4.8136982917785645,0.0009160041809082031,0.07050000000000001,0.07050000000000001,0.0,-3.7834792137145996,-3.7845656871795654,0.0010864734649658203,0.07050000000000001,0.9929078014184397,0.003,0.0,1.3432068824768066,0.00300350203178823,1.3369901180267334,0.139480322599411,0.22352777421474457,0.25151750445365906,0.005624102894216776,,,,0.00011979995984074921,3.880304575432092e-05,0.00011979996542284464,0.055615278775803745,35.48822873109657,,,35.48813202177471,cuda,float32
0,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013325416948646307,0.0013264147564768791,6.126938387751579e-06,0.08041325665625824,6.662708474323154e-06,4.812782287597656,4.81312370300293,0.0003414154052734375,0.07050000000000001,0.07050000000000001,0.0,-3.7834792137145996,-3.7838990688323975,0.00041985511779785156,0.07050000000000001,0.9929078014184397,0.002,0.0,1.015638828277588,0.0022710373159497976,1.013458490371704,0.10483861714601517,0.16252592206001282,0.18224269151687622,0.004075070843100548,,,,0.00031173578620753587,4.6922004912630655e-06,4.691380544966477e-06,1.420202094130218,35.48822873109657,,,210.23809510355863,cuda,float32
1,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0011665364727377892,0.0011609464418143034,5.590030923485756e-06,0.04160203231943566,5.832682363688946e-06,4.717681407928467,4.718672275543213,0.0009908676147460938,0.0685,0.068,0.0005000000000000004,-3.7250354290008545,-3.726332664489746,0.0012972354888916016,0.0685,0.9854014598540146,0.001,0.0072992700729927005,1.4791615009307861,0.0033075055107474327,1.4748752117156982,0.14820358157157898,0.2457965761423111,0.2680961787700653,0.005994813051074743,,,,0.00012958360772688892,3.9466693124268204e-05,0.00012958361362242426,0.04501095625164453,35.890980628527814,,,35.891044523210645,cuda,float32
1,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0011665364727377892,0.001161069143563509,5.467329174280167e-06,0.06263896550980833,5.832682363688946e-06,4.717681407928467,4.717974662780762,0.0002932548522949219,0.0685,0.069,-0.0005000000000000004,-3.7250354290008545,-3.7254533767700195,0.00041794776916503906,0.0685,0.9854014598540146,0.001,0.0,1.008967638015747,0.002256120089441538,1.0069137811660767,0.10238955169916153,0.1647346168756485,0.1785908043384552,0.003993412014096975,,,,0.00033555946834118607,5.050819709140342e-06,5.049911624500496e-06,1.1550068194046617,35.890980628527814,,,210.23809510636616,cuda,float32
2,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013766963966190815,0.0013696630485355854,7.033348083496094e-06,0.021771844651984274,6.883481983095408e-06,4.671459674835205,4.672441482543945,0.0009818077087402344,0.067,0.066,0.0010000000000000009,-3.647249221801758,-3.6487112045288086,0.0014619827270507812,0.067,0.9850746268656716,0.002,0.014925373134328358,1.3706028461456299,0.0030647609382867813,1.3662790060043335,0.14044666290283203,0.22865696251392365,0.2521216571331024,0.005637612193822861,,,,0.00012924512106248529,3.5818313335767016e-05,0.00012924512097163372,0.053259124455507845,35.34243194076189,,,35.342042538419655,cuda,float32
2,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013766963966190815,0.001368992612697184,7.703783921897411e-06,0.11916962095877018,6.883481983095408e-06,4.671459674835205,4.671902179718018,0.0004425048828125,0.067,0.066,0.0010000000000000009,-3.647249221801758,-3.6478781700134277,0.0006289482116699219,0.067,0.9850746268656716,0.0025,0.014925373134328358,1.0455186367034912,0.0023378506302833557,1.0434364080429077,0.10718276351690292,0.16865743696689606,0.18948830664157867,0.004237087443470955,,,,0.00033781783948137495,5.084771601104876e-06,5.083895951578437e-06,1.3539777463302016,35.34243194076189,,,210.2380951091513,cuda,float32
3,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.005237581208348274,0.0052116685546934605,2.5912653654813766e-05,0.010510668034659752,2.618790604174137e-05,4.925734519958496,4.92556619644165,-0.00016832351684570312,0.0585,0.0585,0.0,-3.9216160774230957,-3.9214797019958496,-0.00013637542724609375,0.0585,1.0,0.0005,0.0,1.1679354906082153,0.002611583098769188,1.166083812713623,0.12242791801691055,0.18718306720256805,0.21434816718101501,0.004792971070855856,,,,6.330451778515595e-05,1.747697388054803e-05,6.330452111255388e-05,0.4136814493103884,31.80624094561843,,,31.806117984393246,cuda,float32
3,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.005237581208348274,0.005208308808505535,2.9272399842739105e-05,0.11778313989981884,2.618790604174137e-05,4.925734519958496,4.925686359405518,-4.8160552978515625e-05,0.0585,0.0585,0.0,-3.9216160774230957,-3.921633005142212,1.6927719116210938e-05,0.0585,0.9914529914529916,0.0005,0.0,0.9609178304672241,0.002148677594959736,0.9591791033744812,0.09991057217121124,0.155142679810524,0.1759696751832962,0.003934801556169987,,,,0.000176487378781908,2.656471679074457e-06,2.656001074961888e-06,9.859900392591953,31.80624094561843,,,210.23809510450968,cuda,float32
4,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0015192574355751276,0.0015116282738745213,7.629161700606346e-06,0.0043277093086285445,7.596287177875638e-06,4.78140115737915,4.782312393188477,0.0009112358093261719,0.067,0.067,0.0,-3.781467914581299,-3.7826476097106934,0.0011796951293945312,0.067,1.0,0.001,0.0,1.3192415237426758,0.0029499137308448553,1.3142324686050415,0.13633985817432404,0.21714654564857483,0.24465404450893402,0.005470631178468466,,,,0.00010047486472915148,3.1296422093873844e-05,0.00010047485941604282,0.07560385973192751,32.74267253671651,,,32.74267950552203,cuda,float32
4,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0015192574355751276,0.0015112102264538407,8.047209121286869e-06,0.05936083416179309,7.596287177875638e-06,4.78140115737915,4.781737327575684,0.0003361701965332031,0.067,0.067,0.0,-3.781467914581299,-3.781919240951538,0.0004513263702392578,0.067,1.0,0.0015,0.0,0.9959250092506409,0.002226955955848098,0.9939461946487427,0.10105959326028824,0.1583879590034485,0.17851264774799347,0.003991664387285709,,,,0.0002750447197696142,4.139965767535614e-06,4.139211097345427e-06,1.835201684385538,32.74267253671651,,,210.23809510364612,cuda,float32
