seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
0,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013325416948646307,0.0013303369050845504,2.2047897800803185e-06,0.17271264810055453,2.6650833897292614e-06,4.812782287597656,4.813136577606201,0.0003542900085449219,0.07050000000000001,0.07050000000000001,0.0,-3.7834792137145996,-3.7839136123657227,0.0004343986511230469,0.07050000000000001,0.9929078014184397,0.002,0.0,1.0574958324432373,0.0023646324407309294,1.054880976676941,0.11215110868215561,0.1699184775352478,0.1957886666059494,0.004377967678010464,,,,4.791998247294727e-05,1.5520996385021135e-05,4.791998616913785e-05,0.055615278775803745,35.48822873109657,,,35.48813202177471,cuda,float32
0,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013325416948646307,0.0013302061706781387,2.3355241864919662e-06,0.1236581206079162,2.6650833897292614e-06,4.812782287597656,4.812905311584473,0.00012302398681640625,0.07050000000000001,0.07050000000000001,0.0,-3.7834792137145996,-3.7836203575134277,0.000141143798828125,0.07050000000000001,0.9929078014184397,0.002,0.0,0.9293704628944397,0.002078135497868061,0.9277657270431519,0.09813153743743896,0.147989884018898,0.1707981824874878,0.0038191634230315685,,,,0.00012469431684499535,1.8768804466162692e-06,1.8765522179865907e-06,1.420202094130218,35.48822873109657,,,210.23809510355863,cuda,float32
1,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0011665364727377892,0.0011642072349786758,2.3292377591133118e-06,0.0016438347415171414,2.3330729454755783e-06,4.717681407928467,4.718044757843018,0.00036334991455078125,0.0685,0.0685,0.0,-3.7250354290008545,-3.725510358810425,0.0004749298095703125,0.0685,0.9854014598540146,0.0005,0.0,1.062727689743042,0.0023763312492519617,1.0604701042175293,0.10823308676481247,0.1742231547832489,0.19589437544345856,0.004380331374704838,,,,5.18334447192524e-05,1.5786852600285783e-05,5.18334454489697e-05,0.04501095625164453,35.890980628527814,,,35.891044523210645,cuda,float32
1,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0011665364727377892,0.0011643737088888884,2.162763848900795e-06,0.07299775898780016,2.3330729454755783e-06,4.717681407928467,4.7177958488464355,0.00011444091796875,0.0685,0.069,-0.0005000000000000004,-3.7250354290008545,-3.725229263305664,0.0001938343048095703,0.0685,0.9854014598540146,0.001,0.0,0.9193872809410095,0.002055812394246459,0.9177132248878479,0.09429433941841125,0.14646442234516144,0.16393615305423737,0.0036657238379120827,,,,0.00013422378225404156,2.0203237909299787e-06,2.019964649800198e-06,1.1550068194046617,35.890980628527814,,,210.23809510636616,cuda,float32
2,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013766963966190815,0.0013736279215663671,3.068475052714348e-06,0.11443418470839692,2.753392793238163e-06,4.671459674835205,4.6718339920043945,0.0003743171691894531,0.067,0.066,0.0010000000000000009,-3.647249221801758,-3.6477673053741455,0.0005180835723876953,0.067,0.9850746268656716,0.002,0.014925373134328358,1.079397439956665,0.0024136060383170843,1.0773757696151733,0.11311817914247513,0.17459207773208618,0.2005048245191574,0.004483424127101898,,,,5.169804681982551e-05,1.432725548511371e-05,5.169804838865349e-05,0.053259124455507845,35.34243194076189,,,35.342042538419655,cuda,float32
2,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0013766963966190815,0.001373854000121355,2.8423964977264404e-06,0.03232510258138778,2.753392793238163e-06,4.671459674835205,4.67160177230835,0.00014209747314453125,0.067,0.0665,0.0005000000000000004,-3.647249221801758,-3.6474251747131348,0.00017595291137695312,0.067,0.9850746268656716,0.002,0.007462686567164179,0.9514738917350769,0.0021275600884109735,0.9498688578605652,0.0987168475985527,0.15000881254673004,0.1699812263250351,0.0038008957635611296,,,,0.00013512713645174692,2.0339132333901944e-06,2.0335583806313747e-06,1.3539777463302016,35.34243194076189,,,210.2380951091513,cuda,float32
3,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.005237581208348274,0.0052228765562176704,1.470465213060379e-05,0.4037636406635358,1.047516241669655e-05,4.925734519958496,4.925683498382568,-5.1021575927734375e-05,0.0585,0.0585,0.0,-3.9216160774230957,-3.9215729236602783,-4.315376281738281e-05,0.0585,1.0,0.0,0.0,0.9694232940673828,0.002167696366086602,0.9676703810691833,0.09905717521905899,0.1579395979642868,0.17855696380138397,0.003992654848843813,,,,2.5321807079263444e-05,6.990842393861385e-06,2.5321808445021553e-05,0.4136814493103884,31.80624094561843,,,31.806117984393246,cuda,float32
3,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.005237581208348274,0.005224273540079594,1.3307668268680573e-05,0.27040209395409864,1.047516241669655e-05,4.925734519958496,4.925707817077637,-2.6702880859375e-05,0.0585,0.0585,0.0,-3.9216160774230957,-3.9215943813323975,-2.1696090698242188e-05,0.0585,1.0,0.0,0.0,0.8804948329925537,0.0019688461907207966,0.8788955211639404,0.09223537892103195,0.1410638391971588,0.1633782684803009,0.003653249004855752,,,,7.059495389369024e-05,1.0625878985592863e-06,1.0624004299847554e-06,9.859900392591953,31.80624094561843,,,210.23809510450968,cuda,float32
4,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0015192574355751276,0.00151665392331779,2.60351225733757e-06,0.14316290433293524,3.0385148711502552e-06,4.78140115737915,4.781785488128662,0.00038433074951171875,0.067,0.067,0.0,-3.781467914581299,-3.7820067405700684,0.0005388259887695312,0.067,1.0,0.0015,0.0,1.0297881364822388,0.0023026762064546347,1.0274757146835327,0.10322637110948563,0.16742593050003052,0.18911616504192352,0.004228766076266766,,,,4.0189944960310234e-05,1.2518777111836243e-05,4.018994376641713e-05,0.07560385973192751,32.74267253671651,,,32.74267950552203,cuda,float32
4,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,1500,2000,1000,0.0015192574355751276,0.0015164262149482965,2.8312206268310547e-06,0.06822222470832522,3.0385148711502552e-06,4.78140115737915,4.781596660614014,0.00019550323486328125,0.067,0.067,0.0,-3.781467914581299,-3.7816989421844482,0.00023102760314941406,0.067,1.0,0.001,0.0,0.9218695163726807,0.0020613628439605236,0.9203636050224304,0.09205136448144913,0.14204400777816772,0.1602105051279068,0.00358241586945951,,,,0.0001100178923689266,1.6559827145101735e-06,1.6556844389381705e-06,1.835201684385538,32.74267253671651,,,210.23809510364612,cuda,float32
