seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,warmup_steps
0,frobenius,conv1.weight,64x3x3x3,3.2236239820389136,3.22362752142593,2000
0,frobenius,layer1.0.conv1.weight,64x64x3x3,11.550926528047311,11.550985471521603,2000
0,frobenius,layer1.0.conv2.weight,64x64x3x3,19.016177821202042,19.016287610897145,2000
0,frobenius,layer1.1.conv1.weight,64x64x3x3,19.802315981298353,19.80235806249533,2000
0,frobenius,layer1.1.conv2.weight,64x64x3x3,24.0881519803264,24.088151548842582,2000
0,frobenius,layer2.0.conv1.weight,128x64x3x3,27.794909496445012,27.79477025682465,2000
0,frobenius,layer2.0.conv2.weight,128x128x3x3,42.76791248841418,42.767881844265105,2000
0,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.18214993316229,19.182097068582568,2000
0,frobenius,layer2.1.conv1.weight,128x128x3x3,48.00316842159013,48.00393906325546,2000
0,frobenius,layer2.1.conv2.weight,128x128x3x3,50.49061483560575,50.49021941731845,2000
0,frobenius,layer3.0.conv1.weight,256x128x3x3,60.71391581503264,60.71383594524551,2000
0,frobenius,layer3.0.conv2.weight,256x256x3x3,70.77524766019836,70.77511133557722,2000
0,frobenius,layer3.0.downsample.0.weight,256x128x1x1,33.439960733907554,33.439714471424246,2000
0,frobenius,layer3.1.conv1.weight,256x256x3x3,69.54894189701457,69.54853333451545,2000
0,frobenius,layer3.1.conv2.weight,256x256x3x3,52.64034628191539,52.64004294990729,2000
0,frobenius,layer4.0.conv1.weight,512x256x3x3,28.663266800030136,28.6627106031132,2000
0,frobenius,layer4.0.conv2.weight,512x512x3x3,28.217251665277388,28.217764913025466,2000
0,frobenius,layer4.0.downsample.0.weight,512x256x1x1,13.348482519050592,13.348738152434674,2000
0,frobenius,layer4.1.conv1.weight,512x512x3x3,18.90085158046368,18.901057324250953,2000
0,frobenius,layer4.1.conv2.weight,512x512x3x3,14.224677455532513,14.224495983116656,2000
0,frobenius,fc.weight,100x512,7.060742262325787,7.060766644886111,2000
0,spectral,conv1.weight,64x3x3x3,3.2236239820389136,26.999999999902638,2000
0,spectral,layer1.0.conv1.weight,64x64x3x3,11.550926528047311,63.99999999818331,2000
