seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
0,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.005076083354651928,0.005053071305155754,2.301204949617386e-05,0.09331475122114821,2.538041677325964e-05,3.274838447570801,3.2751646041870117,0.0003261566162109375,0.336,0.336,0.0,-1.3887275457382202,-1.389094591140747,0.00036704540252685547,0.336,0.994047619047619,0.0005,0.0,1.1320735216140747,0.0025313934311270714,1.1282174587249756,0.1634506732225418,0.17489635944366455,0.22640535235404968,0.005062577780336142,,,,4.4412317844830785e-05,2.26833471970167e-05,4.441231769538647e-05,0.5714724673307501,31.593030292327565,,,31.59300426299645,cuda,float32
0,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.005076083354651928,0.005047931801527739,2.8151553124189377e-05,0.10918403648317383,2.538041677325964e-05,3.274838447570801,3.2750399112701416,0.0002014636993408203,0.336,0.3355,0.0005000000000000004,-1.3887275457382202,-1.3889130353927612,0.00018548965454101562,0.336,0.994047619047619,0.001,0.001488095238095238,1.009063482284546,0.002256334526464343,1.0056686401367188,0.14369124174118042,0.15167385339736938,0.19816666841506958,0.0044311415404081345,,,,0.00014867044436559575,2.237766011603526e-06,2.2373767984776345e-06,11.3438276425004,31.593030292327565,,,210.2380951027856,cuda,float32
1,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.00464010052382946,0.004611918702721596,2.818182110786438e-05,0.2147073522711534,2.3200502619147303e-05,3.2359039783477783,3.235940456390381,3.647804260253906e-05,0.355,0.3555,-0.0005000000000000004,-1.3939560651779175,-1.39395010471344,-5.9604644775390625e-06,0.355,0.995774647887324,0.002,0.0,1.1695435047149658,0.0026151787023991346,1.1656800508499146,0.1629539579153061,0.1803806871175766,0.23381677269935608,0.005228301975876093,,,,5.6247906152570655e-05,1.9891740521416068e-05,5.6247904310748224e-05,0.4124687471194193,34.74188096997025,,,34.74199842003942,cuda,float32
1,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.00464010052382946,0.004614147357642651,2.595316618680954e-05,0.11864672127363622,2.3200502619147303e-05,3.2359039783477783,3.2359862327575684,8.225440979003906e-05,0.355,0.355,0.0,-1.3939560651779175,-1.3939743041992188,1.823902130126953e-05,0.355,0.9971830985915493,0.001,0.0,0.9954647421836853,0.0022259268444031477,0.9921278953552246,0.13895587623119354,0.15314516425132751,0.1998838484287262,0.004469538573175669,,,,0.000153901258246747,2.3165252969192807e-06,2.316097600683042e-06,10.017066039144993,34.74188096997025,,,210.23809510766998,cuda,float32
2,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.010635379701852798,0.010581135749816895,5.424395203590393e-05,0.020066110596014625,5.3176898509263994e-05,3.2591426372528076,3.2589683532714844,-0.0001742839813232422,0.342,0.3425,-0.0005000000000000004,-1.547108769416809,-1.5467795133590698,-0.0003292560577392578,0.342,0.9956140350877193,0.0015,0.0,1.19901704788208,0.0026810835115611553,1.195097804069519,0.16946929693222046,0.18431420624256134,0.2416449338197708,0.005403344985097647,,,,4.669290322378946e-05,1.7581958672963083e-05,4.669290520458023e-05,1.1388646364212036,24.34187565966801,,,24.34187662253863,cuda,float32
2,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.010635379701852798,0.01058195997029543,5.341973155736923e-05,0.00456651393580116,5.3176898509263994e-05,3.2591426372528076,3.259047746658325,-9.489059448242188e-05,0.342,0.3425,-0.0005000000000000004,-1.547108769416809,-1.5469226837158203,-0.00018608570098876953,0.342,0.9956140350877193,0.0005,0.0,0.9963448643684387,0.002227894961833954,0.9929623603820801,0.14275607466697693,0.15019550919532776,0.1965637505054474,0.0043952991254627705,,,,0.00015289281887831548,2.3013299141894095e-06,2.3009209065446728e-06,23.111137092113495,24.34187565966801,,,210.23809510158182,cuda,float32
3,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.006581691559404135,0.00655061099678278,3.108056262135506e-05,0.0555448446396386,3.2908457797020674e-05,3.2829902172088623,3.282895088195801,-9.512901306152344e-05,0.34850000000000003,0.34800000000000003,0.0005000000000000004,-1.4864356517791748,-1.486308217048645,-0.00012743473052978516,0.34850000000000003,0.9899569583931134,0.001,0.0014347202295552368,1.1628687381744385,0.0026002535596489906,1.1586862802505493,0.15788772702217102,0.17311237752437592,0.22622355818748474,0.005058512557297945,,,,4.7291814126032504e-05,1.615985092939809e-05,4.729181386816691e-05,0.6958594967145473,29.89251268208835,,,29.892434386398783,cuda,float32
3,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.006581691559404135,0.006552825216203928,2.8866343200206757e-05,0.12282904965482354,3.2908457797020674e-05,3.2829902172088623,3.2829408645629883,-4.935264587402344e-05,0.34850000000000003,0.34850000000000003,0.0,-1.4864356517791748,-1.48633873462677,-9.691715240478516e-05,0.34850000000000003,0.9913916786226686,0.0015,0.0014347202295552368,1.021924376487732,0.0022850921377539635,1.0181375741958618,0.14409078657627106,0.15346848964691162,0.20523418486118317,0.004589175805449486,,,,0.00013359492236296382,2.010865500778891e-06,2.0105018365480353e-06,16.36828039586544,29.89251268208835,,,210.23809510951222,cuda,float32
4,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.001935100881382823,0.0019255694933235645,9.531388059258461e-06,0.014894969977241506,9.675504406914115e-06,3.1975913047790527,3.198065757751465,0.0004744529724121094,0.3535,0.3535,0.0,-1.386629343032837,-1.3873099088668823,0.0006805658340454102,0.3535,0.9985855728429986,0.0015,0.0,1.2554192543029785,0.002807202748954296,1.2466168403625488,0.1757461577653885,0.19269685447216034,0.24912628531455994,0.005570633336901665,,,,7.935397736571017e-05,2.680045690794941e-05,7.935397861556361e-05,0.12192840958596207,34.021716026490445,,,34.02174158835228,cuda,float32
4,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",15000,15000,2000,2000,0.001935100881382823,0.0019249620381742716,1.0138843208551407e-05,0.04788781877936931,9.675504406914115e-06,3.1975913047790527,3.197634696960449,4.3392181396484375e-05,0.3535,0.3535,0.0,-1.386629343032837,-1.3867428302764893,0.00011348724365234375,0.3535,0.9971711456859972,0.001,0.0,1.033811092376709,0.0023116718512028456,1.029812216758728,0.15014733374118805,0.16155093908309937,0.21111544966697693,0.004720685072243214,,,,0.00021756766064170337,3.2748312150943093e-06,3.274225759309846e-06,2.955051092430949,34.021716026490445,,,210.23809510570442,cuda,float32
