generation,split_id,split_role,score_id,score_role,transfer_pairs,residual_spearman,spearman_ci95_low,spearman_ci95_high,residual_status,threshold_accuracy,threshold_status,leakage_status,claim_use
v2 registered held-out,primary_heldout_architecture_resnet34,primary_heldout_architecture,condition_score_v2_calibrated_residual,primary_candidate,9,0.1991728570675938,-0.0751522371357426,0.4734979512709304,inconclusive,0.9909909909909912,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_architecture_resnet34,primary_heldout_architecture,early_layer_prior,baseline,9,-0.1266266266266266,-0.3137414578398695,0.0604882045866163,inconclusive,,not_applicable,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_architecture_resnet34,primary_heldout_architecture,legacy_scaled_jvp_ratio,baseline,9,-0.1299984194721036,-0.4177330270551628,0.1577361881109555,inconclusive,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_architecture_resnet34,primary_heldout_architecture,theory_sign_composite,baseline,9,0.0375638796691428,-0.2254752254531647,0.3006029847914504,inconclusive,,not_applicable,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_architecture_resnet34,primary_heldout_architecture,source_observed_drift_positive_control,positive_control,9,0.561904761904762,0.4708081472323439,0.6530013765771802,positive,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_data_cifar10lt_resnet18,primary_heldout_data,condition_score_v2_calibrated_residual,primary_candidate,9,-0.6770562770562771,-0.7011336698721896,-0.6529788842403647,negative,0.9841269841269842,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_data_cifar10lt_resnet18,primary_heldout_data,early_layer_prior,baseline,9,-0.8695526695526695,-0.8956189440908376,-0.8434863950145014,negative,,not_applicable,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_data_cifar10lt_resnet18,primary_heldout_data,legacy_scaled_jvp_ratio,baseline,9,0.6219336219336219,0.6013220560221852,0.6425451878450585,positive,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_data_cifar10lt_resnet18,primary_heldout_data,theory_sign_composite,baseline,9,-0.6105339105339105,-0.6246965209112648,-0.5963713001565562,negative,,not_applicable,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v2 registered held-out,primary_heldout_data_cifar10lt_resnet18,primary_heldout_data,source_observed_drift_positive_control,positive_control,9,-0.0197691197691197,-0.0497759210251724,0.0102376814869328,inconclusive,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_architecture_resnet50_cifar100lt,fresh_final_heldout_architecture,condition_score_v3_zero_fit_scaled_jvp,primary_candidate,9,-0.8156660949113778,-0.8652471421454596,-0.7660850476772959,negative,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_architecture_resnet50_cifar100lt,fresh_final_heldout_architecture,early_layer_prior,baseline,9,0.1484573195265019,-0.020956568015155,0.3178712070681588,inconclusive,,not_applicable,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_architecture_resnet50_cifar100lt,fresh_final_heldout_architecture,condition_score_v2_calibrated_residual_spent_baseline,retired_baseline,9,0.8308536094699616,0.78174952819936,0.8799576907405631,positive,0.9938271604938272,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_architecture_resnet50_cifar100lt,fresh_final_heldout_architecture,source_observed_drift_positive_control,positive_control,9,0.3802308802308802,0.3361733958218054,0.424288364639955,positive,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_data_cifar10lt_alt_partition,fresh_final_heldout_data_partition,condition_score_v3_zero_fit_scaled_jvp,primary_candidate,9,0.6419913419913421,0.6339195793772159,0.6500631046054683,positive,0.9841269841269842,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_data_cifar10lt_alt_partition,fresh_final_heldout_data_partition,early_layer_prior,baseline,9,-0.8251082251082251,-0.8361792455270007,-0.8140372046894495,negative,,not_applicable,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_data_cifar10lt_alt_partition,fresh_final_heldout_data_partition,condition_score_v2_calibrated_residual_spent_baseline,retired_baseline,9,-0.6483405483405484,-0.6634102804833041,-0.6332708161977928,negative,0.9841269841269842,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v3 fresh held-out,fresh_final_data_cifar10lt_alt_partition,fresh_final_heldout_data_partition,source_observed_drift_positive_control,positive_control,9,0.0112554112554112,-0.0147828455461402,0.0372936680569627,inconclusive,1.0,pass,spent_final_row_diagnostic_only,obstruction evidence only; not eligible for score fitting or selection
v4 frozen final axis audit,v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,9,0.6448933782267114,0.5122125632844299,0.777574193168993,positive,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,v4_direction_axis_scaled_jvp_ratio,direction_axis,9,-0.7114456938356308,-0.7759525241190286,-0.6469388635522331,negative,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,v4_residual_amplitude_axis_scaled_jvp_fro,raw_amplitude_axis,9,0.3438705715435274,0.2072112795072595,0.4805298635797953,positive,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,early_layer_prior,baseline,9,0.2133578976346272,0.054710308187381,0.3720054870818733,positive,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,9,-0.6936507936507936,-0.7128799972005044,-0.6744215901010828,negative,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,v4_direction_axis_scaled_jvp_ratio,direction_axis,9,0.6109668109668109,0.5885536733032776,0.6333799486303443,positive,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,v4_residual_amplitude_axis_scaled_jvp_fro,raw_amplitude_axis,9,-0.6766233766233767,-0.6902718560894394,-0.662974897157314,negative,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v4 frozen final axis audit,v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,early_layer_prior,baseline,9,-0.793939393939394,-0.8085742203848028,-0.7793045674939851,negative,,not_applicable,spent_final_row_diagnostic_only,failure localization only; cannot tune v5 coefficients
v5 validation freeze,v5_validation_cifar100lt_mod4_partition,validation_only,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,9,-0.4862914862914863,-0.5382211004637365,-0.434361872119236,negative,1.0,pass,validation_only_no_final_rows,direction guardrail only; not a residual-risk scalar
v5 validation freeze,v5_validation_cifar100lt_mod4_partition,validation_only,condition_score_v5_raw_fro_amplitude_axis,diagnostic_residual_axis,9,0.4323232323232323,0.3697702090033601,0.4948762556431045,positive,,not_applicable,validation_only_no_final_rows,diagnostic or baseline axis
v5 validation freeze,v5_validation_cifar100lt_mod4_partition,validation_only,condition_score_v5_transport_normalized_amplitude_minus_direction,residual_candidate,9,0.6450216450216452,0.5898130498509994,0.700230240192291,positive,,not_applicable,validation_only_no_final_rows,validation-frozen residual candidate; completed final P0 gates failed
v5 validation freeze,v5_validation_cifar100lt_mod4_partition,validation_only,condition_score_v5_transport_defect_penalty,diagnostic_transport_axis,9,-0.0086580086580086,-0.2900756321073562,0.2727596147913388,inconclusive,,not_applicable,validation_only_no_final_rows,diagnostic or baseline axis
v5 validation freeze,v5_validation_cifar100lt_mod4_partition,validation_only,early_layer_prior,baseline,9,0.2995670995670995,0.240843610931469,0.3582905882027301,positive,,not_applicable,validation_only_no_final_rows,diagnostic or baseline axis
v5 validation freeze,v5_validation_cifar100lt_mod4_partition,validation_only,source_observed_drift_positive_control,positive_control,9,0.9502164502164504,0.9308169245058524,0.969615975927048,positive,1.0,pass,validation_only_no_final_rows,positive control; not claim eligible
v5 completed final evaluation,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,9,0.4299896237003155,0.224576565868377,0.635402681532254,positive,,not_applicable,completed_final_row_diagnostic_only,completed frozen final score; failed P0 gate family
v5 completed final evaluation,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,9,-0.4430595260783938,-0.6581313920563618,-0.2279876601004258,negative,0.8395061728395061,inconclusive,completed_final_row_diagnostic_only,completed direction readout; one endpoint can pass while P0 remains blocked
v5 completed final evaluation,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,early_layer_prior,baseline,9,-0.0885288948182029,-0.3971469024462724,0.2200891128098664,inconclusive,,not_applicable,completed_final_row_diagnostic_only,completed diagnostic or baseline axis
v5 completed final evaluation,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,source_observed_drift_positive_control,positive_control,9,0.1789321789321789,0.0399853186706638,0.3178790391936941,positive,0.8571428571428571,inconclusive,completed_final_row_diagnostic_only,completed positive control; not claim eligible
v5 completed final evaluation,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,9,-0.6851370851370852,-0.7179908499170665,-0.6522833203571038,negative,,not_applicable,completed_final_row_diagnostic_only,completed frozen final score; failed P0 gate family
v5 completed final evaluation,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,9,0.654834054834055,0.6378549328722569,0.6718131767958531,positive,1.0,pass,completed_final_row_diagnostic_only,completed direction readout; one endpoint can pass while P0 remains blocked
v5 completed final evaluation,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,early_layer_prior,baseline,9,-0.881962481962482,-0.9116880574107562,-0.8522369065142077,negative,,not_applicable,completed_final_row_diagnostic_only,completed diagnostic or baseline axis
v5 completed final evaluation,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,source_observed_drift_positive_control,positive_control,9,-0.0349206349206349,-0.088632883166936,0.0187916133256661,inconclusive,1.0,pass,completed_final_row_diagnostic_only,completed positive control; not claim eligible
