stage,block_term,transfer_pairs,layers,mean_primary_log_scaled_jvp,mean_target_residual_log_observed,mean_spearman_primary_vs_target_residual,total_top5_target_residual_layers,total_top5_primary_score_layers,mean_observed_below_one_fraction
stem,stem_conv,9,1,-1.4241942632851439,-0.5111963026827753,,0,9,1.0
layer1,conv1,9,3,-2.903184088203276,0.6691914858973418,,0,0,1.0
layer1,conv2,9,3,-3.2220991464017525,0.8299645284616528,,0,0,1.0
layer1,conv3,9,3,-3.178388680422435,0.9771038792683415,,0,0,1.0
layer1,downsample,9,1,-2.568998386305528,0.8143362030670755,,0,0,1.0
layer2,conv1,9,4,-3.6371980506109214,1.1142313465197962,-0.7111108888888888,0,0,1.0
layer2,conv2,9,4,-3.9643801704640538,1.3094179392844323,-0.2222222222222222,2,0,1.0
layer2,conv3,9,4,-3.792853758353269,1.3340281533319527,0.06666699999999999,3,0,1.0
layer2,downsample,9,1,-3.9849187438339237,1.1818532585830452,,0,0,1.0
layer3,conv1,9,6,-3.9758392701234695,1.175481051021831,-0.9428564761904763,4,0,1.0
layer3,conv2,9,6,-4.187886816186121,1.2980957300020652,-0.9238091904761906,21,0,1.0
layer3,conv3,9,6,-3.8214303852604954,1.232001662522415,-0.999999,15,0,1.0
layer3,downsample,9,1,-4.333420844978174,1.4787083185955732,,0,0,1.0
layer4,conv1,9,3,-2.526322190366683,0.4426455596794484,,0,9,1.0
layer4,conv2,9,3,-2.664453908605031,0.2452065501152332,,0,6,1.0
layer4,conv3,9,3,-2.202485823643073,0.525737785270039,,0,12,1.0
layer4,downsample,9,1,-2.7446014578155378,0.2674869955630496,,0,0,1.0
classifier,classifier,9,1,-1.4704610459959229,1.0491785070680266,,0,9,1.0
