evaluation_family,split_role,split_display_name,score,score_normalized,score_generation,split_transfer_pairs,mean_points,mean_spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,mean_top5_residual_risk_overlap_fraction,mean_threshold_below_one_accuracy,residual_gate_status,threshold_gate_status,threshold_only_success
fresh_v3_protocol,fresh_final_heldout_architecture,Fresh ResNet50 CIFAR-100-LT architecture split,early_layer_prior,early_layer_prior,depth_baseline,9,54.0,0.1484573195265019,-0.020956568015155,0.3178712070681588,0.0,,residual_inconclusive,not_reported,False
fresh_v3_protocol,fresh_final_heldout_architecture,Fresh ResNet50 CIFAR-100-LT architecture split,condition_score_v3_zero_fit_scaled_jvp,condition_score_v3_zero_fit_scaled_jvp,fresh_v3_zero_fit,9,54.0,-0.8156660949113778,-0.8652471421454596,-0.7660850476772959,0.0,1.0,inverted_residual_ranking,passes_threshold_gate,True
fresh_v3_protocol,fresh_final_heldout_architecture,Fresh ResNet50 CIFAR-100-LT architecture split,source_observed_drift_positive_control,source_observed_drift_positive_control,positive_control,9,21.0,0.3802308802308802,0.3361733958218054,0.424288364639955,0.1555555555555555,1.0,passes_residual_gate,passes_threshold_gate,False
fresh_v3_protocol,fresh_final_heldout_architecture,Fresh ResNet50 CIFAR-100-LT architecture split,condition_score_v2_calibrated_residual_spent_baseline,condition_score_v2_calibrated_residual,spent_v2_calibrated,9,54.0,0.8308536094699616,0.78174952819936,0.8799576907405631,0.6222222222222222,0.9938271604938272,passes_residual_gate,passes_threshold_gate,False
fresh_v3_protocol,fresh_final_heldout_data_partition,Fresh CIFAR-10-LT alternate-partition data split,early_layer_prior,early_layer_prior,depth_baseline,9,21.0,-0.8251082251082251,-0.8361792455270007,-0.8140372046894495,0.0,,inverted_residual_ranking,not_reported,False
fresh_v3_protocol,fresh_final_heldout_data_partition,Fresh CIFAR-10-LT alternate-partition data split,condition_score_v3_zero_fit_scaled_jvp,condition_score_v3_zero_fit_scaled_jvp,fresh_v3_zero_fit,9,21.0,0.6419913419913421,0.6339195793772159,0.6500631046054683,0.8,0.9841269841269842,passes_residual_gate,passes_threshold_gate,False
fresh_v3_protocol,fresh_final_heldout_data_partition,Fresh CIFAR-10-LT alternate-partition data split,source_observed_drift_positive_control,source_observed_drift_positive_control,positive_control,9,21.0,0.0112554112554112,-0.0147828455461402,0.0372936680569627,0.1333333333333333,1.0,residual_inconclusive,passes_threshold_gate,True
fresh_v3_protocol,fresh_final_heldout_data_partition,Fresh CIFAR-10-LT alternate-partition data split,condition_score_v2_calibrated_residual_spent_baseline,condition_score_v2_calibrated_residual,spent_v2_calibrated,9,21.0,-0.6483405483405484,-0.6634102804833041,-0.6332708161977928,0.0,0.9841269841269842,inverted_residual_ranking,passes_threshold_gate,True
registered_v2_heldout,primary_heldout_architecture,Registered ResNet34 CIFAR-100-LT architecture split,early_layer_prior,early_layer_prior,depth_baseline,9,37.0,-0.1266266266266266,-0.3137414578398695,0.0604882045866163,0.0,,residual_inconclusive,not_reported,False
registered_v2_heldout,primary_heldout_architecture,Registered ResNet34 CIFAR-100-LT architecture split,legacy_scaled_jvp_ratio,legacy_scaled_jvp_ratio,legacy_scaled_jvp,9,37.0,-0.1299984194721036,-0.4177330270551628,0.1577361881109555,0.4666666666666667,1.0,residual_inconclusive,passes_threshold_gate,True
registered_v2_heldout,primary_heldout_architecture,Registered ResNet34 CIFAR-100-LT architecture split,theory_sign_composite,theory_sign_composite,other,9,37.0,0.0375638796691428,-0.2254752254531647,0.3006029847914504,0.0666666666666666,,residual_inconclusive,not_reported,False
registered_v2_heldout,primary_heldout_architecture,Registered ResNet34 CIFAR-100-LT architecture split,source_observed_drift_positive_control,source_observed_drift_positive_control,positive_control,9,21.0,0.561904761904762,0.4708081472323439,0.6530013765771802,0.5111111111111112,1.0,passes_residual_gate,passes_threshold_gate,False
registered_v2_heldout,primary_heldout_architecture,Registered ResNet34 CIFAR-100-LT architecture split,condition_score_v2_calibrated_residual,condition_score_v2_calibrated_residual,spent_v2_calibrated,9,37.0,0.1991728570675938,-0.0751522371357426,0.4734979512709304,0.3777777777777777,0.9909909909909912,residual_inconclusive,passes_threshold_gate,True
registered_v2_heldout,primary_heldout_data,Registered CIFAR-10-LT data-family split,early_layer_prior,early_layer_prior,depth_baseline,9,21.0,-0.8695526695526695,-0.8956189440908376,-0.8434863950145014,0.0,,inverted_residual_ranking,not_reported,False
registered_v2_heldout,primary_heldout_data,Registered CIFAR-10-LT data-family split,legacy_scaled_jvp_ratio,legacy_scaled_jvp_ratio,legacy_scaled_jvp,9,21.0,0.6219336219336219,0.6013220560221852,0.6425451878450585,0.9333333333333332,1.0,passes_residual_gate,passes_threshold_gate,False
registered_v2_heldout,primary_heldout_data,Registered CIFAR-10-LT data-family split,theory_sign_composite,theory_sign_composite,other,9,21.0,-0.6105339105339105,-0.6246965209112648,-0.5963713001565562,0.0,,inverted_residual_ranking,not_reported,False
registered_v2_heldout,primary_heldout_data,Registered CIFAR-10-LT data-family split,source_observed_drift_positive_control,source_observed_drift_positive_control,positive_control,9,21.0,-0.0197691197691197,-0.0497759210251724,0.0102376814869328,0.1333333333333333,1.0,residual_inconclusive,passes_threshold_gate,True
registered_v2_heldout,primary_heldout_data,Registered CIFAR-10-LT data-family split,condition_score_v2_calibrated_residual,condition_score_v2_calibrated_residual,spent_v2_calibrated,9,21.0,-0.6770562770562771,-0.7011336698721896,-0.6529788842403647,0.0,0.9841269841269842,inverted_residual_ranking,passes_threshold_gate,True
