split_id,split_role,source_warmup_steps,target_warmup_steps,score_id,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,2000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.6941490375452639,0.518876427831707,0.8134139248735243
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,2000,v4_direction_axis_scaled_jvp_ratio,54,-0.6568705927196492,-0.7888603343722049,-0.46695659977863274
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,2000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.45637507146941103,0.20850240338152268,0.6491574272894703
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,2000,early_layer_prior,54,0.40789022298456257,0.15080083029934033,0.6133011161730434
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,5000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.33218982275586045,0.06408180094798957,0.5555722615812063
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,5000,v4_direction_axis_scaled_jvp_ratio,54,-0.6320182961692395,-0.7722537886026917,-0.4330558540196118
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,5000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.0678101772441395,-0.210030789502875,0.3355171098829298
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,5000,early_layer_prior,54,-0.1089003239946636,-0.3717497103093611,0.17011399224539722
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,10000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.7651991614255764,0.6215473709043209,0.8590632833315417
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,10000,v4_direction_axis_scaled_jvp_ratio,54,-0.8408995616542785,-0.9061112470351189,-0.736651993007045
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.513474366304555,0.27874316935012067,0.6903136877316761
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,2000,10000,early_layer_prior,54,0.3507146941109205,0.08493536552919133,0.5699011335794044
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,2000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.7637507146941108,0.6194038270671215,0.8581473371030146
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,2000,v4_direction_axis_scaled_jvp_ratio,54,-0.6744044215742327,-0.8004617823670093,-0.4912149510651342
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,2000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.43990851915380214,0.18871020635622038,0.6370751356924844
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,2000,early_layer_prior,54,0.3765580331618067,0.11442163509491478,0.589670554743209
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,5000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.39897084048027437,0.14037332295732366,0.6066114005395653
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,5000,v4_direction_axis_scaled_jvp_ratio,54,-0.6267581475128644,-0.7687141606558623,-0.4259520007323154
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,5000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.0489803697350867,-0.22801856423580288,0.3186443685250256
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,5000,early_layer_prior,54,-0.1284162378502001,-0.38868251679244215,0.1508291300426796
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,10000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.8319039451114921,0.722650189058126,0.9006036521170199
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,10000,v4_direction_axis_scaled_jvp_ratio,54,-0.8446350295406898,-0.9083918217077736,-0.742492683306142
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.4892319420621307,0.2486113608423443,0.6729788240091421
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,5000,10000,early_layer_prior,54,0.32243186582809225,0.05319055896217017,0.5479708108993269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,2000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.7567371831522773,0.6090549139629564,0.8537037134453976
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,2000,v4_direction_axis_scaled_jvp_ratio,54,-0.6490184867543357,-0.7836342271656468,-0.45618496055063656
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,2000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.4733752620545073,0.22915125880725704,0.6615300434055412
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,2000,early_layer_prior,54,0.42458547741566605,0.17047396731988373,0.6257441827308248
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,5000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.4152086906803887,0.15939967641067132,0.6187681910422111
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,5000,v4_direction_axis_scaled_jvp_ratio,54,-0.638650657518582,-0.7767044230178516,-0.4420482546163207
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,5000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.08496283590623212,-0.1934798026092904,0.3507389604905891
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,5000,early_layer_prior,54,-0.08564894225271584,-0.35134492731537864,0.19281445018725646
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.845931008195159,0.7445226806516179,0.9091821561162424
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,v4_direction_axis_scaled_jvp_ratio,54,-0.8397560510768056,-0.9054123533485731,-0.7348671302622308
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.5207165999618829,0.2878353656835623,0.6954532525677781
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,early_layer_prior,54,0.361006289308176,0.09662217010141035,0.5778044334252533
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,2000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.7233766233766233,-0.8874694989572616,-0.3965090077514765
