split_id,split_role,stage,block_term,rows,target_residual_top5_count,primary_top5_count,direction_top5_count,fro_amplitude_top5_count,mean_target_residual,mean_primary_score,mean_direction_score,mean_fro_amplitude_score
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,classifier,classifier,9,3,0,9,0,1.2957275662621808,-3.8382975411211393,-1.223932524977813,-1.3490891787826722
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer1,conv1,27,0,3,0,18,0.5477137896948499,4.288561445984324,-3.2432783514045034,3.2483138299056447
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer1,conv2,27,0,0,0,0,0.7165385919188867,4.04619139218264,-3.814016794725804,2.008394874607773
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer1,conv3,27,0,0,0,0,0.8140868625080283,4.583214622856684,-3.6525863482012455,2.8275697046405392
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer1,downsample,9,0,0,0,0,0.7473195742705507,2.2276573373028707,-2.59111110128766,2.3272816390154487
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer2,conv1,36,0,27,0,27,1.1321538119883254,5.671334761191812,-4.118187937165245,3.101901392169582
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer2,conv2,36,14,0,0,0,1.3404175336111837,5.272246284029317,-4.568282948685857,1.9161271930878105
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer2,conv3,36,0,5,0,0,1.2602676005946298,5.3310910182790145,-4.254027984601335,2.5242334986940396
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer2,downsample,9,0,0,0,0,1.0826821678575078,4.604944869689394,-4.066312002157122,2.1261813733329986
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer3,conv1,54,1,8,0,0,0.9125546951339729,4.559528365360321,-4.232613327981453,1.7900998422571153
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer3,conv2,54,18,2,0,0,1.0421148179914008,4.1483709350390585,-4.493459592003346,0.9230297129064993
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer3,conv3,54,6,0,0,0,0.8300536188045095,3.4610151289703186,-3.9757617858500676,1.1405172442340157
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer3,downsample,9,0,0,0,0,1.2523274421429424,3.834729481465001,-4.18611227192042,1.1465765022381726
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer4,conv1,27,0,0,9,0,0.23827156709980787,-0.8330509970544983,-2.424917921852775,-0.4429506891758197
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer4,conv2,27,0,0,3,0,0.15098537961665512,-0.9129406556185082,-2.5415083435387036,-0.7266195892448584
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer4,conv3,27,3,0,15,0,0.5405601168896031,-2.1166595582593835,-1.966941050840978,-0.9260974452674801
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,layer4,downsample,9,0,0,0,0,0.06884128287123341,-0.75143744370148,-2.4430657720911086,-0.39305633799256956
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,stem,stem_conv,9,0,0,9,0,-0.6466268683658218,-1.3210172304010612,-1.28997143489158,1.0527669077391453
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,classifier,classifier,9,9,0,9,0,1.696678170572266,-8.874838807979044,-0.22747662534348706,-4.6440034364537555
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,layer1,conv1,18,0,18,0,18,0.1419088269684889,-3.2637385171717357,-1.8019961793370587,-1.784882217409
