split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_role,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,2000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.6941490375452639,0.518876427831707,0.8134139248735243,0.6120755536500091,0.4062532446515866,0.7587878114771763,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,2000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6568705927196492,-0.7888603343722049,-0.46695659977863274,-0.5513332885878385,-0.7169850957974998,-0.32674236324845335,0.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,2000,early_layer_prior,baseline,54,0.40789022298456257,0.15080083029934033,0.6133011161730434,0.12590598615838866,-0.15332163092393436,0.3865143275375093,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,2000,source_observed_drift_positive_control,positive_control,21,0.5363636363636364,0.10347279547303867,0.798416333766404,0.6794975086796908,0.3212029453519154,0.8676200527154767,0.4,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,5000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.33218982275586045,0.06408180094798957,0.5555722615812063,0.2836576952331205,0.010537015049460913,0.5173931048807482,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,5000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6320182961692395,-0.7722537886026917,-0.4330558540196118,-0.4083473644699957,-0.6136431893690562,-0.1513368127490501,0.4,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,5000,early_layer_prior,baseline,54,-0.1089003239946636,-0.3717497103093611,0.17011399224539722,-0.433786963878645,-0.6325586182895452,-0.18140398836176588,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,5000,source_observed_drift_positive_control,positive_control,21,0.4454545454545455,-0.016175493800263167,0.7505473093506094,0.5198472330980725,0.08076203879202747,0.7899589418032515,0.2,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,10000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.7651991614255764,0.6215473709043209,0.8590632833315417,0.7321008921108989,0.5730967424417094,0.8379819608957098,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,10000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.8408995616542785,-0.9061112470351189,-0.736651993007045,-0.7753615298470623,-0.86547274485766,-0.6366473071573636,0.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,10000,early_layer_prior,baseline,54,0.3507146941109205,0.08493536552919133,0.5699011335794044,-0.026096349418867616,-0.29790613146669354,0.24962765301594214,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,2000,10000,source_observed_drift_positive_control,positive_control,21,0.41298701298701296,-0.05592653176451972,0.732638361092169,0.5673122422431305,0.1472795205705276,0.8139902690667525,0.2,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,2000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.7637507146941108,0.6194038270671215,0.8581473371030146,0.6063437992967033,0.3986148638092589,0.7548942045300892,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,2000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6744044215742327,-0.8004617823670093,-0.4912149510651342,-0.5582047772102202,-0.7217745723180288,-0.33558035849447126,0.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,2000,early_layer_prior,baseline,54,0.3765580331618067,0.11442163509491478,0.589670554743209,0.08601995196445149,-0.19245455638711562,0.35167250914347714,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,2000,source_observed_drift_positive_control,positive_control,21,0.5168831168831168,0.0767339407954424,0.7884301798656651,0.7148049216729244,0.3814440629068448,0.8836392110043371,0.2,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,5000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.39897084048027437,0.14037332295732366,0.6066114005395653,0.29846534581996015,0.026709710801937462,0.5291414413304075,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,5000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6267581475128644,-0.7687141606558623,-0.4259520007323154,-0.3955125067078919,-0.6040096456742566,-0.1363456151660512,0.4,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,5000,early_layer_prior,baseline,54,-0.1284162378502001,-0.38868251679244215,0.1508291300426796,-0.4675930694044733,-0.6573332690138177,-0.22210331006285852,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,5000,source_observed_drift_positive_control,positive_control,21,0.4207792207792207,-0.0465199566324948,0.7369772591458914,0.5406161806999971,0.10939422106251886,0.8005772802412312,0.2,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,10000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.8319039451114921,0.722650189058126,0.9006036521170199,0.7469210632564105,0.5946545582853615,0.847460627182553,0.4,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,10000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.8446350295406898,-0.9083918217077736,-0.742492683306142,-0.7762340956590167,-0.8660217050209064,-0.6379488023363529,0.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,10000,early_layer_prior,baseline,54,0.32243186582809225,0.05319055896217017,0.5479708108993269,-0.06653691245683521,-0.3343815701932012,0.21125307478139682,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,5000,10000,source_observed_drift_positive_control,positive_control,21,0.38311688311688313,-0.09123006493946055,0.7157616979519299,0.5980258415216024,0.1924461602412168,0.8291031117361218,0.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,2000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.7567371831522773,0.6090549139629564,0.8537037134453976,0.6140882692117464,0.40894231668932235,0.7601525754164995,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,2000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6490184867543357,-0.7836342271656468,-0.45618496055063656,-0.5456766348177414,-0.7130305962155635,-0.31949622613285794,0.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,2000,early_layer_prior,baseline,54,0.42458547741566605,0.17047396731988373,0.6257441827308248,0.15529469976201893,-0.12391632690034564,0.4117190753986703,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
