metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,36,36,0,2.262398203960982,2.1749024413782396,2.353413898437812,40.423989468593646,35.072784541874164,45.77519439531313,True,True
nrUpdate,DeepMNISTMLP,36,36,0,2.262398203960982,2.1749024413782396,2.353413898437812,40.423989468593646,35.072784541874164,45.77519439531313,True,True
stUpdate,All,36,36,0,18.3106372788663,16.25780473736335,20.62267587626243,67.22667308142655,59.618860098578864,74.83448606427424,True,True
stUpdate,DeepMNISTMLP,36,36,0,18.3106372788663,16.25780473736335,20.62267587626243,67.22667308142655,59.618860098578864,74.83448606427424,True,True
nrUpdateFrac,All,36,36,0,1.8191584009234343,1.76434412978758,1.8756756302687603,0.4481160762607691,0.431915844911163,0.4643163076103752,True,True
nrUpdateFrac,DeepMNISTMLP,36,36,0,1.8191584009234343,1.76434412978758,1.8756756302687603,0.4481160762607691,0.431915844911163,0.4643163076103752,True,True
stUpdateFrac,All,36,36,0,7.489333684230092,6.9112926228471645,8.11572047294341,0.8628983594613066,0.8527916094110661,0.873005109511547,True,True
stUpdateFrac,DeepMNISTMLP,36,36,0,7.489333684230092,6.9112926228471645,8.11572047294341,0.8628983594613066,0.8527916094110661,0.873005109511547,True,True
update_flatness,All,36,36,0,5.23853091850909,4.937381866152099,5.558048157527365,0.8063287758785678,0.7957131851529998,0.8169443666041357,True,True
update_flatness,DeepMNISTMLP,36,36,0,5.23853091850909,4.937381866152099,5.558048157527365,0.8063287758785678,0.7957131851529998,0.8169443666041357,True,True
