metric,problem_family,layer_group,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
relative_activation_delta_fro_norm,All,all_layers,7800,5013,2787,1.1418280183134595,1.1303409154404123,1.1534318590048176,-0.014745099598094825,-0.016077466411626964,-0.013412732784562688,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,all_layers,7500,4938,2562,1.1634769932945428,1.151823134594065,1.1752487628257127,-0.012907491327286644,-0.014147637491734474,-0.011667345162838814,True,False
relative_activation_delta_fro_norm,SmallMLPDigits,all_layers,300,75,225,0.7139586944037656,0.6767299461829913,0.7532354969509418,-0.06068530636829934,-0.07522427915462906,-0.046146333581969616,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_1,750,0,750,0.5335496324061803,0.5274745038114025,0.5396947306149895,-0.10026323387046739,-0.10738578066870985,-0.09314068707222492,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_2,750,557,193,1.3202674367201526,1.288300010604242,1.353028091372945,0.0020076863878492786,0.0016853857381028655,0.0023299870375956917,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_3,750,566,184,1.3288521356654446,1.2971701992596356,1.361307868058083,0.0020957449371676127,0.001775646301506275,0.00241584357282895,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_4,750,575,175,1.3378560897051248,1.3063541848104214,1.3701176431113375,0.0021836244852876017,0.0018662417251241123,0.0025010072454510913,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_5,750,585,165,1.3480265609425273,1.3166292072291699,1.38017264012452,0.0022828433522126866,0.001967716307532076,0.002597970396893297,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_6,750,596,154,1.3590661173120684,1.327796932926371,1.3910716807839802,0.002392614878607569,0.0020799199032814856,0.0027053098539336524,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_7,750,605,145,1.3710537195053354,1.3399596061207972,1.4028693799296157,0.0025145699281228133,0.0022045914083232256,0.002824548447922401,True,False
