group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin
All,All,2550,2496,0.9802511922950021,0.9786723515446695,0.9817142349229376,0.9970457119208468,0.9219915922762936,0.9094630164564372,0.9346927591847742,0.042908157479740805,0.9206730769230769,0.899736398738775
family,MatrixFactorizationInput,1500,1446,0.9152933276859234,0.9066757205453269,0.9231472555987298,0.9849972365444564,1.0310888180507345,1.0148347233488457,1.047603246370009,0.04247380476781946,0.9661134163208852,0.7193745814242748
family,MatrixSensing,750,750,0.9588440868339319,0.9526366336174137,0.9642528836119736,0.9474667866011979,0.7107375656657504,0.6930411249444722,0.7288858756959774,0.07881849714918582,0.8013333333333333,0.5323645019799197
family,SmallMLPDigits,300,300,0.9994631051456127,0.9993253990220947,0.9995727073612826,0.9995586410609563,1.03078489428397,1.0247730718718602,1.0368319850005527,0.013342306525690899,1.0,1.0552003108611465
algo,Adam,1275,1221,0.9687839080652758,0.9652168087187674,0.9719904066891011,0.995582724164026,0.9028312558363023,0.8836210280815212,0.922459120608156,0.04766182483607219,0.9131859131859131,0.975397367128998
algo,Muon,1275,1275,0.9959945994312845,0.9955298376743427,0.9964111269179287,0.9981394660704356,0.9407214805029421,0.9247919899620636,0.9569253556315401,0.03965590836972742,0.927843137254902,0.6177639502530843
MatrixFactorizationInput:Adam,MatrixFactorizationInput:Adam,750,696,0.8539838826380135,0.8333064957694222,0.8722750519213998,0.9673732602955337,0.9794305229758621,0.9493563955370677,1.0104573517873514,0.04612384212944831,0.9295977011494253,0.637898310267599
MatrixFactorizationInput:Muon,MatrixFactorizationInput:Muon,750,750,0.9977284226283067,0.9973779552772003,0.9980320920175035,0.9977163055712733,1.0814620995946416,1.071896043827758,1.0911135269080123,0.039847691323475834,1.0,1.004420569748842
MatrixSensing:Adam,MatrixSensing:Adam,375,375,0.9856648082830811,0.9824509499319395,0.9882935698287607,0.9741245941356378,0.7331623480796027,0.7115526883258587,0.7554282872661057,0.07656356761433725,0.848,0.559436719263782
MatrixSensing:Muon,MatrixSensing:Muon,375,375,0.9344066446694733,0.9201630785098611,0.9461802667542266,0.915720196358294,0.6889986761753765,0.6616568081287159,0.7174704014820195,0.08088210633190714,0.7546666666666667,0.511669293559751
SmallMLPDigits:Adam,SmallMLPDigits:Adam,150,150,0.9991146273167697,0.9987736077358706,0.9993608508275748,0.9994360917249139,1.0411650046797276,1.030682063887919,1.0517545661759171,0.022820168995753773,1.0,1.0566366984674158
SmallMLPDigits:Muon,SmallMLPDigits:Muon,150,150,0.9996053157918131,0.999453243323724,0.9997150975274415,0.9997222738006446,1.0205082705510788,1.0148619070978058,1.0261860485446197,0.009897962309799294,1.0,1.0331860126947008
