problem_family,setting,kappa,lr,seed_count,mean_delta_nrG,delta_nrG_ci95_low,delta_nrG_ci95_high,nrG_muon_higher_seed_count,mean_delta_stA,delta_stA_ci95_low,delta_stA_ci95_high,stA_muon_higher_seed_count,stA_ci95_excludes_zero,mean_delta_loss,delta_loss_ci95_low,delta_loss_ci95_high,mean_delta_recovery,delta_recovery_ci95_low,delta_recovery_ci95_high,centroid_distance_std,nearest_centroid_balanced_accuracy,delta_stA_95ci
MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,5,0.7830282569192295,0.595638111784588,0.970418402053871,5,0.9827305702800869,0.8591249873234791,1.1063361532366949,5,True,1.2627540313352409e-05,1.0334775792307666e-05,1.4920304834397151e-05,0.03027855774043417,0.025405724217941402,0.035151391262926934,2.1319093537976475,0.8818181818181818,"[0.8591, 1.106]"
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,5,0.4488146012216734,0.3413358754150552,0.5562933270282916,5,1.098662627433323,0.9512963117396223,1.246028943127024,5,True,1.7813795087280553e-05,1.51630706284661e-05,2.0464519546095005e-05,0.052906482937553935,0.03656185400433235,0.06925111187077551,1.8090379681329343,0.8545454545454545,"[0.9513, 1.246]"
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,5,0.34674756474242013,0.20697935266495676,0.4865157768198835,5,0.2143608797324689,0.06500429024919518,0.3637174692157426,5,True,1.3741774438994255e-06,1.113254423556025e-06,1.635100464242826e-06,0.0031372298827016198,0.002608216666321681,0.0036662430990815585,1.3609371687256528,0.7363636363636363,"[0.065, 0.3637]"
MatrixFactorizationInput,MF input kappa=1e+02 lr=1e-02,100.0,0.01,5,0.3518819457888419,0.21647685418978171,0.48728703738790213,5,1.08474920856751,0.8729317577530684,1.2965666593819514,5,True,1.6194243865739432e-05,1.3476127015694782e-05,1.8912360715784083e-05,0.0525771755906385,0.04515819973714082,0.059996151444136184,2.006052459815539,0.8909090909090909,"[0.8729, 1.297]"
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-02,100.0,0.03,5,0.08286066946856513,0.014861709228132014,0.15085962970899824,5,0.8478096127872256,0.6731289360235504,1.0224902895509007,5,True,2.6023058671425355e-05,2.3258332607004415e-05,2.8787784735846295e-05,0.12562799074695344,0.10726091482345446,0.14399506667045242,1.2199880423020764,0.7363636363636363,"[0.6731, 1.022]"
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-03,100.0,0.003,5,0.20099372818031194,0.0784046236881083,0.3235828326725156,5,0.4041470309852454,0.2152620746012779,0.5930319873692129,5,True,1.6315368844445192e-06,1.3966841274958584e-06,1.86638964139318e-06,0.004962220248909914,0.0043952162120299695,0.005529224285789859,1.3808482806675226,0.7636363636363637,"[0.2153, 0.593]"
MatrixFactorizationInput,MF input kappa=1e+03 lr=1e-02,1000.0,0.01,5,0.17311458462296136,0.10157969796225093,0.24464947128367182,5,0.8197115403559735,0.6253526928585393,1.0140703878534076,5,True,1.787357897268592e-05,1.536290756674185e-05,2.0384250378629986e-05,0.06300118193610511,0.0550048275023573,0.07099753636985293,1.754101955186197,0.8272727272727273,"[0.6254, 1.014]"
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-02,1000.0,0.03,5,0.001179919882600363,-0.05088618305801981,0.05324602282322054,3,0.6012798428439499,0.438607385465711,0.7639523002221887,5,True,2.8306121221633866e-05,2.3938252307769292e-05,3.2673990135498436e-05,0.15178024702879134,0.12314687682513233,0.18041361723245036,0.9077665078139749,0.7363636363636363,"[0.4386, 0.764]"
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-03,1000.0,0.003,5,0.11200455213885449,0.03210675956379294,0.19190234471391604,5,0.3904372401878301,0.08031438605311775,0.7005600943225425,5,True,1.7906841266392222e-06,1.525917197602722e-06,2.0554510556757223e-06,0.005853584493246988,0.005085882586275286,0.0066212864002186895,1.2160500117514803,0.7181818181818183,"[0.08031, 0.7006]"
MatrixFactorizationInput,MF input kappa=1e+04 lr=1e-02,10000.0,0.01,5,0.08374505914604777,0.04877098641740502,0.11871913187469052,5,0.6402812317217863,0.5076378779908732,0.7729245854526994,5,True,1.8717844941782608e-05,1.6471274969760518e-05,2.0964414913804697e-05,0.06774134367142479,0.06070362582932684,0.07477906151352273,1.4672086574212069,0.7454545454545455,"[0.5076, 0.7729]"
