metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,165,165,0,2.032558418977765,1.9209495143820148,2.15065190189887,11.574416671930576,10.37451932544349,12.774314018417662,True,True
nrUpdate,MatrixFactorizationInput,75,75,0,2.765941431852093,2.614644869387526,2.9259927778368238,3.135113221639631,3.022791471463595,3.247434971815667,True,True
nrUpdate,MatrixSensing,75,75,0,1.4206825776560446,1.4185489380107486,1.4228194265090133,17.765890074364258,17.703372433584658,17.828407715143857,True,True
nrUpdate,SmallMLPDigits,15,15,0,2.610797766739428,2.543914044270675,2.6794399732817107,22.81356691121692,22.47750768779254,23.149626134641302,True,True
stUpdate,All,165,165,0,5.214817988993845,5.008260839432606,5.429894234784843,27.046997475688784,23.737160099486065,30.356834851891502,True,True
stUpdate,MatrixFactorizationInput,75,75,0,4.343657528482631,4.2227827761400665,4.467992251779996,3.8398807656262472,3.805148882864352,3.8746126483881427,True,True
stUpdate,MatrixSensing,75,75,0,5.467650825826788,5.3626076507219045,5.574751594802937,48.98783067074713,48.777494272073184,49.198167069421075,True,True
stUpdate,SmallMLPDigits,15,15,0,10.264763867910833,9.703804217427123,10.858151597364404,33.37841505070979,33.197729629804826,33.559100471614755,True,True
nrUpdateFrac,All,165,165,0,1.9586051199630536,1.85294758441322,2.070287388706838,0.4581046620514254,0.43181633039090933,0.4843929937119415,True,True
nrUpdateFrac,MatrixFactorizationInput,75,75,0,2.765941431852094,2.614644869387527,2.9259927778368247,0.6270226443279263,0.6045582942927191,0.6494869943631335,True,True
nrUpdateFrac,MatrixSensing,75,75,0,1.4206825776560446,1.4185489380107488,1.4228194265090133,0.29609816790607096,0.29505620722641096,0.29714012858573097,True,True
nrUpdateFrac,SmallMLPDigits,15,15,0,1.7366630659746738,1.6904034569686244,1.7841886162071035,0.4235472213956928,0.4094291301781565,0.43766531261322905,True,True
stUpdateFrac,All,165,165,0,4.862052374750998,4.74899956225737,4.977796477956525,0.7918415386134615,0.7867196974184095,0.7969633798085135,True,True
stUpdateFrac,MatrixFactorizationInput,75,75,0,4.343657528482631,4.2227827761400665,4.467992251779996,0.7679761531252494,0.7610297765728703,0.7749225296776284,True,True
stUpdateFrac,MatrixSensing,75,75,0,5.467650825826788,5.3626076507219045,5.574751594802937,0.8164638445124521,0.8129582378678863,0.8199694511570179,True,True
stUpdateFrac,SmallMLPDigits,15,15,0,4.750444179994136,4.440910774809948,5.081552197635837,0.7880569365595675,0.7752830838774996,0.8008307892416355,True,True
update_flatness,All,165,165,0,2.473416747366689,2.3002657059386147,2.659601623568817,0.5481965606062571,0.5158223895388683,0.5805707316736459,True,True
update_flatness,MatrixFactorizationInput,75,75,0,1.5031236429803194,1.4542302261998796,1.553660930285107,0.32804489570269857,0.30682929890344646,0.3492604925019507,True,True
update_flatness,MatrixSensing,75,75,0,3.849948183011905,3.777296452900463,3.923997281308239,0.7393761455121202,0.7344847831290501,0.7442675078951903,True,True
update_flatness,SmallMLPDigits,15,15,0,3.2660461418993707,3.1357011271859023,3.40180934609313,0.6930569605947348,0.6818769860782772,0.7042369351111923,True,True
