group_type,group,predictor,outcome,points,spearman,spearman_ci95_low,spearman_ci95_high,ci95_excludes_zero
All,All,nrUpdateFrac,delta_loss,2550,0.15778047387364108,0.1196789470695391,0.1954179191933465,True
All,All,nrUpdateFrac,relative_loss_decrease,2550,0.10054708444139297,0.06195415348717815,0.1388397976786379,True
All,All,nrUpdateFrac,norm_rank_movement,2550,0.15576962499424754,0.11764645722184948,0.19343433000049304,True
All,All,nrUpdateFrac,norm_condition_movement,2550,0.04445966599294425,0.005634549292407042,0.08315094410726548,True
All,All,stUpdateFrac,delta_loss,2550,0.13413030151675948,0.0957944427910983,0.17206885222109666,True
All,All,stUpdateFrac,relative_loss_decrease,2550,0.038218810174683204,-0.0006169507415074271,0.07693946019226908,False
All,All,stUpdateFrac,norm_rank_movement,2550,0.16621782695375456,0.12821058665386012,0.2037375374942592,True
All,All,stUpdateFrac,norm_condition_movement,2550,0.05569363573893002,0.016895332647475766,0.09432447093030966,True
All,All,update_flatness,delta_loss,2550,0.014847462764580314,-0.024001221538387615,0.053651372665716075,False
All,All,update_flatness,relative_loss_decrease,2550,0.029713605489376092,-0.009131777105312062,0.06846944223127244,False
All,All,update_flatness,norm_rank_movement,2550,0.0017574473511422907,-0.03707992858583426,0.04058952233288037,False
All,All,update_flatness,norm_condition_movement,2550,-0.037737622567995135,-0.07646041240261645,0.0010988330345688734,False
All,All,relative_update_fro_norm,delta_loss,2550,0.9132012186989086,0.9065150485259517,0.9194293941569722,True
All,All,relative_update_fro_norm,relative_loss_decrease,2550,0.6101757848898042,0.5852080783745799,0.633987607670807,True
All,All,relative_update_fro_norm,norm_rank_movement,2550,0.20269698660952615,0.16516225007676563,0.23964541356968805,True
All,All,relative_update_fro_norm,norm_condition_movement,2550,0.26068492818101024,0.22411898712122147,0.29651792707247854,True
All,All,update_grad_inner,delta_loss,2550,0.9802511922950021,0.9786723515446695,0.9817142349229376,True
All,All,update_grad_inner,relative_loss_decrease,2550,0.6852895667270292,0.6641292696372939,0.7053527778817448,True
All,All,update_grad_inner,norm_rank_movement,2550,0.11618271936229259,0.07769844469698511,0.15432127656662734,True
All,All,update_grad_inner,norm_condition_movement,2550,0.27484989748240046,0.23856139774726628,0.31037190953547894,True
All,All,update_grad_cosine,delta_loss,2550,0.5943004229217482,0.5685883494326285,0.6188524234503725,True
All,All,update_grad_cosine,relative_loss_decrease,2550,0.6082352074839324,0.5831753848182979,0.6321384864290958,True
All,All,update_grad_cosine,norm_rank_movement,2550,0.04997922527207653,0.011166052635196476,0.08864202205123341,True
All,All,update_grad_cosine,norm_condition_movement,2550,0.28735965045170786,0.2513295341404401,0.32259448077710184,True
All,All,update_grad_per_update_norm,delta_loss,2550,0.9175148995165674,0.9111455828782926,0.9234459355350342,True
All,All,update_grad_per_update_norm,relative_loss_decrease,2550,0.6558302362511788,0.6331203754772925,0.6774120299661117,True
All,All,update_grad_per_update_norm,norm_rank_movement,2550,0.08477837139770102,0.04609528822261765,0.12320757355986561,True
All,All,update_grad_per_update_norm,norm_condition_movement,2550,0.30783757066145584,0.2722575162380557,0.34257696838180324,True
family,MatrixFactorizationInput,nrUpdateFrac,delta_loss,1500,-0.23119954542214896,-0.27859122509786693,-0.1826846793579119,True
family,MatrixFactorizationInput,nrUpdateFrac,relative_loss_decrease,1500,-0.2524072975129978,-0.2992357455114705,-0.2043658887348456,True
family,MatrixFactorizationInput,nrUpdateFrac,norm_rank_movement,1500,0.17307384793351457,0.12350225117004508,0.2217838160713233,True
family,MatrixFactorizationInput,nrUpdateFrac,norm_condition_movement,1500,-0.12991727860126207,-0.17939106241400904,-0.0797880197970776,True
family,MatrixFactorizationInput,stUpdateFrac,delta_loss,1500,-0.02993743966331723,-0.08046974407361047,0.020748358057134555,False
family,MatrixFactorizationInput,stUpdateFrac,relative_loss_decrease,1500,-0.0482557150230029,-0.09866886632891346,0.002404496077105198,False
family,MatrixFactorizationInput,stUpdateFrac,norm_rank_movement,1500,0.1398051156189998,0.0897866270724647,0.1891201504789721,True
family,MatrixFactorizationInput,stUpdateFrac,norm_condition_movement,1500,-0.17803809539876544,-0.22664842266125199,-0.1285430142142396,True
