metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
norm_rank_plane_mean_speed,All,165,77,88,1.0718750531838839,1.009336319286415,1.13828870286786,0.07132701841222548,0.019039851656585345,0.12361418516786563,False,False
norm_rank_plane_mean_speed,MatrixFactorizationInput,75,41,34,0.990379547737806,0.9038740172336927,1.0851641156576652,-0.005186099068848011,-0.07045673105465873,0.06008453291696271,False,False
norm_rank_plane_mean_speed,MatrixSensing,75,29,46,1.1769532190593148,1.073443144161413,1.2904445730437206,0.16079246320788682,0.07028254444143348,0.2513023819743402,False,False
norm_rank_plane_mean_speed,SmallMLPDigits,15,7,8,0.9971981743370593,0.9129246906899636,1.0892510729988258,0.00656538183928613,-0.04845925240667149,0.06159001608524375,False,False
norm_condition_mean_speed,All,165,91,74,0.9160409623069868,0.8489624429143987,0.9884195132869035,0.01887781315299322,-0.024309011866396193,0.06206463817238263,True,False
norm_condition_mean_speed,MatrixFactorizationInput,75,56,19,0.7026375228587876,0.6274766642797794,0.7868013531559834,-0.08273385204921421,-0.1342877757075546,-0.03117992839087383,True,True
norm_condition_mean_speed,MatrixSensing,75,29,46,1.1769532190593155,1.0734431441614134,1.2904445730437215,0.12348667207650497,0.051146413182446476,0.19582693097056347,False,False
norm_condition_mean_speed,SmallMLPDigits,15,6,9,0.9853967800435142,0.9048260208660046,1.0731420093232729,0.003891844546471616,-0.04655324570165979,0.054336934794603026,False,False
condition_score_mean_abs_speed,All,165,91,74,0.9160409623069863,0.8489624429143983,0.9884195132869027,-0.009160851557446083,-0.013609344711774607,-0.004712358403117561,True,True
condition_score_mean_abs_speed,MatrixFactorizationInput,75,56,19,0.7026375228587874,0.6274766642797794,0.7868013531559833,-0.020190229979702785,-0.028393614875057427,-0.011986845084348142,True,True
condition_score_mean_abs_speed,MatrixSensing,75,29,46,1.1769532190593142,1.0734431441614123,1.2904445730437197,0.00017311944200586017,7.419777207056092e-05,0.0002720411119411594,False,False
condition_score_mean_abs_speed,SmallMLPDigits,15,6,9,0.9853967800435142,0.9048260208660048,1.0731420093232726,-0.0006838144434223018,-0.022248402352403416,0.020880773465558815,False,False
condition_score_std_speed,All,165,82,83,0.9866075429581724,0.9150031821377322,1.063815364606503,-0.008847274375565166,-0.014433720770260755,-0.0032608279808695774,False,True
condition_score_std_speed,MatrixFactorizationInput,75,49,26,0.8050492100684751,0.7199307485932941,0.9002313512768226,-0.01744221894085095,-0.027787402909580802,-0.007097034972121099,True,True
condition_score_std_speed,MatrixSensing,75,25,50,1.2154354974957364,1.0952778749426373,1.3487750299439563,0.00023352983515045463,0.00011382973625845382,0.00035322993404245546,False,False
condition_score_std_speed,SmallMLPDigits,15,8,7,0.9612072217229126,0.8731167443878073,1.0581853217579669,-0.011276572602714323,-0.04252515930457412,0.01997201409914548,False,False
delta_gd_pred_mean_rel_speed,All,165,121,44,0.7815402745073783,0.7382636033867362,0.8273538040816847,-0.17850183880570725,-0.23543847975201138,-0.1215651978594031,True,True
