mode,run_id,problem_family,base_setting,setting,kappa,lr,algo,seed,final_step,final_loss,final_recovery_error,initial_loss,initial_recovery_error,total_loss_decrease,relative_loss_decrease
equal_update,100,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,0,10,2.4434049079296156e-05,0.40568576224403796,0.0001532792239327137,0.9994330499176829,0.00012884517485341754,0.8405912526669487
equal_update,102,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,1,10,3.78935407385793e-05,0.4756319322404873,0.0001604720091443568,0.9995233235792307,0.00012257846840577752,0.7638619910062249
equal_update,104,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,2,10,1.7723415577197644e-05,0.3392119532158936,0.0001493490238905777,0.9992393357981618,0.00013162560831338007,0.8813288824024528
equal_update,106,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,3,10,2.1827344758580834e-05,0.37690515682544234,0.00016144123210250178,1.0001224102346165,0.00013961388734392096,0.8647969637352478
equal_update,108,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,4,10,2.503476015086227e-05,0.3993658241727821,0.00014765915682122912,1.001229148681757,0.00012262439667036685,0.8304557557431278
equal_update,101,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,0,10,1.0478412456011965e-05,0.3030716434198952,0.0001532792239327137,0.9994330499176829,0.00014280081147670173,0.9316384035150663
equal_update,103,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,1,10,1.0276307579690614e-05,0.280455920909622,0.0001604720091443568,0.9995233235792307,0.0001501957015646662,0.9359619934062999
equal_update,105,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,2,10,1.1918170333979547e-05,0.3087509739658026,0.0001493490238905777,0.9992393357981618,0.00013743085355659817,0.9201992083810905
equal_update,107,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,3,10,8.673121302070037e-06,0.2666037245163979,0.00016144123210250178,1.0001224102346165,0.00015276811080043175,0.9462769133441491
equal_update,109,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,4,10,1.812419268028897e-05,0.3980932726372495,0.00014765915682122912,1.001229148681757,0.00012953496414094015,0.877256561188197
equal_update,220,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,0,10,2.0251202091982265e-05,0.38965315509270265,0.00013841039608334963,0.9994568444974121,0.00011815919399136737,0.8536872759197427
equal_update,222,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,1,10,1.9178454162109313e-05,0.3637187733050831,0.00014457183933332286,0.999614054360372,0.00012539338517121357,0.8673430852747767
equal_update,224,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,2,10,2.3136676000832294e-05,0.40213359472420784,0.00013650870631623234,0.9995498732159133,0.00011337203031540005,0.8305113525342882
equal_update,226,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,3,10,2.249749899822171e-05,0.3846822219117257,0.00014695216996577507,0.9997008180844602,0.00012445467096755335,0.8469059762543054
equal_update,228,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,4,10,2.024450638267137e-05,0.3823218015637211,0.0001337588217194671,1.0013801750432936,0.00011351431533679572,0.8486491872279628
equal_update,221,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,0,10,8.136294936729573e-06,0.2854147325186404,0.00013841039608334963,0.9994568444974121,0.00013027410114662004,0.9412161574060522
equal_update,223,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,1,10,8.426670994056491e-06,0.27335095507728396,0.00014457183933332286,0.999614054360372,0.00013614516833926636,0.9417129156486134
equal_update,225,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,2,10,8.72031415202211e-06,0.27906553358750136,0.00013650870631623234,0.9995498732159133,0.00012778839216421022,0.9361189891301082
equal_update,227,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,3,10,1.0537770725399188e-05,0.31381751266178637,0.00014695216996577507,0.9997008180844602,0.00013641439924037588,0.9282911526393015
equal_update,229,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,4,10,2.1767643902211617e-05,0.45859665415069284,0.0001337588217194671,1.0013801750432936,0.00011199117781725547,0.83726199421923
equal_update,90,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Adam,0,5,0.0018425247940763434,1.0937763429742728,0.012595069754438687,1.1531162994796222,0.010752544960362345,0.853710632017182
equal_update,92,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Adam,1,5,0.0019853593442171642,1.1142913944602117,0.012757591945778827,1.17359807729054,0.010772232601561663,0.8443782061179601
equal_update,94,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Adam,2,5,0.001683520735905375,1.0899503046648074,0.012096481701537817,1.145254681706576,0.010412960965632441,0.8608255873531102
equal_update,96,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Adam,3,5,0.001683692387989107,1.070930189515023,0.012269097258227316,1.1338721945050623,0.01058540487023821,0.8627696600204168
equal_update,98,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Adam,4,5,0.0019316475220687416,1.0999027731955688,0.012768712634677852,1.1560304324896953,0.01083706511260911,0.8487202604260443
equal_update,111,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,0,5,0.0004488080998334249,1.1579839167899095,0.012595069754438687,1.1531162994796222,0.012146261654605263,0.9643663664764335
equal_update,113,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,1,5,0.0005535020397960877,1.1842671524441204,0.012757591945778827,1.17359807729054,0.01220408990598274,0.9566139094157791
equal_update,115,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,2,5,0.0005838607942200188,1.1491561857187602,0.012096481701537817,1.145254681706576,0.011512620907317798,0.9517330072804729
equal_update,117,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,3,5,0.0005372567661365795,1.1399033251589052,0.012269097258227316,1.1338721945050623,0.011731840492090737,0.9562105707674369
