group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin,mode
All,All,3000,2898,0.9183573327063702,0.9125595764391594,0.9237859863833225,0.997214198315455,0.9440254081786531,0.9321843045405215,0.9560169238487037,0.011500557569569473,0.9551414768806074,0.8963012422265709,raw
family,MatrixFactorizationInput,1200,1162,0.8970016020844458,0.8853409929255529,0.9075345087940511,0.9929848606491497,0.9633053375715516,0.9447098917531712,0.9822668117423424,0.015007809687144286,0.9449225473321858,0.40589183719349514,raw
family,MatrixSensing,600,536,0.6619799499443053,0.6143949354161805,0.7047666809860011,0.9464960558684438,0.7692021356060168,0.7322180510524053,0.8080542736831693,0.01172849812437351,0.8768656716417911,0.499945351299448,raw
family,SmallMLPDigits,1200,1200,0.9998290554368442,0.9998085275347577,0.9998473826955934,0.9997248627599186,1.0144003863481683,1.0106353359053506,1.0181794632200385,0.008645855675751962,1.0,0.9141172007505626,raw
algo,Adam,1500,1408,0.8828315141473397,0.8711336155308832,0.893527954881414,0.9950482292810187,0.8970309375078624,0.8763699822324321,0.9181789873683971,0.021382431659021334,0.921875,0.8956001835728582,raw
algo,Muon,1500,1490,0.969403022845788,0.9661930828028664,0.9723124734881582,0.9990214506860735,0.9906939402855592,0.9805362437260363,1.0009568637554136,0.0038436119492327326,0.9865771812080537,1.011690109753751,raw
MatrixFactorizationInput:Adam,MatrixFactorizationInput:Adam,600,562,0.8274472984647179,0.8003579486363529,0.8511647782057862,0.9844201231610329,0.8883456232172352,0.8548342972428077,0.9231706645774239,0.03290162423961383,0.8861209964412812,0.37886519824013165,raw
MatrixFactorizationInput:Muon,MatrixFactorizationInput:Muon,600,600,0.9996722768674356,0.9996151327578109,0.999720937549044,0.9994792975800922,1.039244591650315,1.0315233257858258,1.047023653538471,0.00420235656147208,1.0,0.9789594073020289,raw
MatrixSensing:Adam,MatrixSensing:Adam,300,246,0.5162581806464516,0.42766112377594906,0.5950308595600295,0.8899417572165819,0.6832192370054376,0.6240056223254573,0.7480517949096835,0.033901661281521195,0.8130081300813008,0.4975534680432474,raw
MatrixSensing:Muon,MatrixSensing:Muon,300,290,0.8417773530817009,0.8051370255030743,0.8720166185105401,0.9740637189917827,0.850569994459855,0.8120894957252122,0.8908738744728687,0.003973141831609036,0.9310344827586207,0.6940346093401908,raw
SmallMLPDigits:Adam,SmallMLPDigits:Adam,600,600,0.9996143878177438,0.9995471520522801,0.999671642516013,0.9995530207728708,1.0121541769069098,1.005551996336914,1.0187997055965827,0.013863610184068344,1.0,0.9133767848578502,raw
SmallMLPDigits:Muon,SmallMLPDigits:Muon,600,600,0.9998768885469125,0.9998554193887896,0.9998951698599605,0.9998588062288911,1.0166515806592906,1.0130525274971258,1.0202634201117142,0.0024330531967910506,1.0,1.0418504568286435,raw
All,All,3000,2939,0.968820319646702,0.9665436341417283,0.9709443671207358,0.9985466496797026,0.9887849752039566,0.9803026103937369,0.9973407362410258,0.004774554176757884,0.9867301803334467,1.048582214439809,equal_update
