metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero,mode
nrUpdate,All,180,180,0,1.9563165028299956,1.8661381934465906,2.0508525427993813,11.449152008492517,10.263214782945582,12.635089234039452,True,True,raw
nrUpdate,MatrixFactorizationInput,60,60,0,2.635643780544373,2.4983224514826903,2.7805130333754944,3.0624336854840393,2.96021281279642,3.1646545581716587,True,True,raw
nrUpdate,MatrixSensing,60,60,0,1.4151617398672203,1.4125096263644958,1.4178188329508976,17.600921291542715,17.523130514535666,17.678712068549764,True,True,raw
nrUpdate,SmallMLPDigits,60,60,0,2.0073567559669403,1.873176717699897,2.1511484248394788,13.684101048450792,11.356993059067777,16.011209037833805,True,True,raw
stUpdate,All,180,180,0,5.3568113401466455,5.107023659844901,5.618816290111955,24.715680800871127,21.843542627015005,27.58781897472725,True,True,raw
stUpdate,MatrixFactorizationInput,60,60,0,4.280502959825429,4.165607804184557,4.398567136029515,3.8254352681791577,3.793466113451762,3.857404422906553,True,True,raw
stUpdate,MatrixSensing,60,60,0,5.297221755537788,5.130907304707561,5.4689271625697735,48.58777193857229,48.22908809767248,48.946455779472096,True,True,raw
stUpdate,SmallMLPDigits,60,60,0,6.7791633442379,6.064864593830628,7.577589727989602,21.73383519586194,18.75857407049837,24.70909632122551,True,True,raw
nrUpdateFrac,All,180,180,0,1.8209624188671771,1.74306912209186,1.9023365676670234,0.42863052288384657,0.4072881773430153,0.4499728684246778,True,True,raw
nrUpdateFrac,MatrixFactorizationInput,60,60,0,2.635643780544373,2.4983224514826903,2.7805130333754944,0.6124867370968079,0.592042562559284,0.6329309116343318,True,True,raw
nrUpdateFrac,MatrixSensing,60,60,0,1.4151617398672203,1.4125096263644958,1.4178188329508978,0.29334868819237864,0.2920521752422611,0.29464520114249615,True,True,raw
nrUpdateFrac,SmallMLPDigits,60,60,0,1.618863223749015,1.5834621472677348,1.65505575345082,0.38005614336235316,0.3666434135600197,0.3934688731646866,True,True,raw
stUpdateFrac,All,180,180,0,4.657538748290991,4.5566610053542504,4.760649775425975,0.7829492168483683,0.7783130638285956,0.787585369868141,True,True,raw
stUpdateFrac,MatrixFactorizationInput,60,60,0,4.28050295982543,4.165607804184558,4.3985671360295155,0.7650870536358315,0.7586932226903524,0.7714808845813106,True,True,raw
