seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail
0,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.1995756447941193,1.176129709440401,0.0234459353537181,0.0227404392766671,0.0239915128958823,6.177979578366844,6.186376508488483,0.0083969301216395,0.0,0.0,0.0,-4.736605260772595,-4.751255603739334,0.014650342966739,0.0,,0.09,,1.2857914333895388,0.028751170499459,1.285721264474111,0.0841692506049832,0.3343884561308704,0.3282598720192879,0.0232114781496266,1.2851683929847082,0.001151133203377,0.0008957061266528,0.0174203549596019,0.0154251602275723,0.0174203549596019,1.3772114834352709,3.416529550433854,1.189154879654041,2.842031367076377
0,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.1995756447941193,1.1758347858745823,0.0237408589195369,0.0104476102625642,0.0239915128958823,6.177979578366844,6.191044314019709,0.0130647356528648,0.0,0.0,0.0,-4.736605260772595,-4.758309589013207,0.0217043282406121,0.0,,0.04,,0.8560932185017465,0.0191428263164648,0.8547063234840454,0.1193635343497644,0.2957693865819273,0.3740735331444636,0.026450993194886,0.85440113331971,0.0067622292475953,0.0079145836585225,0.0558971162737596,0.0086251122942616,0.0086251122942616,2.7815884683430783,3.416529550433854,1.189154879654041,2.842031367076377
1,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.2448423496821188,1.2205042807774404,0.0243380689046783,0.0224437290837143,0.0248968469936423,5.997224954205225,6.003991664816985,0.0067667106117594,0.0,0.0,0.0,-4.606457181015559,-4.608031740247639,0.0015745592320799,0.0,,0.01,,1.2034836986972957,0.0269107136010002,1.2033613182288418,0.0833807915498461,0.1798878130805652,0.1836528499086719,0.0129862175554657,1.2028972901421209,0.0006262882939468,0.0005206498502235,0.0169085932513181,0.015202865546792,0.0169085932513181,1.4724375129019986,3.343722768656109,1.1870209363238118,2.780915198082908
1,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.2448423496821188,1.2201853981780553,0.0246569515040635,0.0096355771331239,0.0248968469936423,5.997224954205225,6.013751265400828,0.0165263111956024,0.0,0.0,0.0,-4.606457181015559,-4.626075857188727,0.0196186761731684,0.0,,0.01,,0.8568998337843079,0.0191608627824998,0.8532929891527214,0.1766879549354192,0.1598916039951629,0.3028700922680258,0.0214161496061316,0.8552201313875988,0.0037949390875741,0.0044373827840287,0.0565559252325779,0.0087267687235923,0.0087267687235923,2.8529284758441,3.343722768656109,1.1870209363238118,2.780915198082908
2,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.0880798428342395,1.0666756373556705,0.0214042054785692,0.0164230309231997,0.0217615968566847,6.316581322359497,6.31761676485665,0.0010354424971534,0.0,0.0,0.0,-4.934734408654808,-4.925862987186357,-0.0088714214684513,0.0,,0.025,,0.8864500084765125,0.0198216247760874,0.8864167163886727,0.0403725241042158,0.3148518556298936,0.3024489927475827,0.0213863733734856,0.8862159819194879,0.0002654045823199,0.0002994806996654,0.0119678856812087,0.0105447507062175,0.0119678856812087,1.818332614160378,2.934226944521137,1.1894287894888818,2.453475194461588
2,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.0880798428342395,1.066522858002792,0.0215569848314474,0.0094024361624236,0.0217615968566847,6.316581322359497,6.323075012206108,0.0064936898466108,0.0,0.0,0.0,-4.934734408654808,-4.937276963609412,0.0025425549546032,0.0,,0.02,,0.642568278270841,0.014368263503986,0.6415882632710319,0.0840371937559101,0.2103892325388776,0.2159980660642498,0.015273369723721,0.6420107392383312,0.001847854997014,0.0028782306651229,0.0407667434192942,0.0062904450766421,0.0062904450766421,3.4594685418191595,2.934226944521137,1.1894287894888818,2.453475194461588
3,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.2648856934498995,1.240111344504063,0.0247743489458365,0.02068823000654,0.0252977138689979,6.35149978300333,6.353300509368746,0.001800726365416,0.0,0.0,0.0,-4.954929205815734,-4.9420414549658,-0.0128877508499343,0.0,,0.02,,1.011718283251856,0.0226227085543053,1.0117162776335993,0.0514910269942629,0.2704390837032117,0.249517170432146,0.0176435283235049,1.0114531642917477,0.0002939636222396,0.0002906349326075,0.0130637484402708,0.0121557030243546,0.0130637484402708,1.9364820123919508,2.899572615883168,1.1954305185788745,2.386127357103863
3,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.2648856934498995,1.2398498803909876,0.0250358130589118,0.0103527461588951,0.0252977138689979,6.35149978300333,6.360142717174435,0.0086429341711049,0.0,0.0,0.0,-4.954929205815734,-4.960426114251834,0.0054969084360996,0.0,,0.02,,0.752592318341098,0.0168284758315485,0.7524066467343172,0.1039188848993559,0.1272872195193659,0.1663696499348775,0.0117641107652583,0.7516620944051049,0.0024855343412915,0.0033067176857689,0.0482272931121051,0.0074416328868015,0.0074416328868015,3.3994842602173936,2.899572615883168,1.1954305185788745,2.386127357103863
4,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.329178820841702,1.3032845799119457,0.0258942409297566,0.0259308783840254,0.026583576416834,5.935201629990502,5.948482045924033,0.0132804159335311,0.0,0.0,0.0,-4.381097515329034,-4.413337610071392,0.0322400947423577,0.0,,0.035,,1.3963739866256697,0.0312238715610737,1.3963120891389325,0.1169845154544913,0.4169646505626188,0.4921143618763413,0.0347977402402051,1.3954545304770116,0.0009419109209414,0.0006749850320235,0.0195832959181442,0.0168468443361486,0.0195832959181442,1.3574618148012498,3.4135513797388555,1.1905746506445585,2.8439608952027875
4,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,20,32,1.329178820841702,1.302862349027307,0.0263164718143951,0.0100477301567965,0.026583576416834,5.935201629990502,5.956594626707841,0.0213929967173394,0.0,0.0,0.0,-4.381097515329034,-4.420982946406409,0.0398854310773746,0.0,,0.025,,0.9703389649650022,0.0216974388687853,0.9665784593375616,0.2161597682460582,0.385484237165171,0.5813879169907611,0.0411103338604088,0.9684481671217128,0.0045600627404075,0.004708628603181,0.0628996178033879,0.009705621738398,0.009705621738398,2.738987478943508,3.4135513797388555,1.1905746506445585,2.8439608952027875
