seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,partition_name
0,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0871984360909382,0.0854881420246923,0.0017102940662458,0.0193092084459795,0.0017439687218187,12.431107949501625,12.43868054223786,0.0075725927362366,0.19,0.19,0.0,-11.462027261065275,-11.47693551283603,0.0149082517707537,0.19,1.0,0.005,0.0,0.8181453361695901,0.0182942858714962,0.8178094778236289,0.1710298270273171,0.3696327107195373,0.4098955780910182,0.0289839942846539,0.8181496976769341,0.0002139505573268,0.0002615053919036,0.0057863922670123,0.0048321538051459,0.0057863922670123,0.301391375030165,3.5889209483632034,1.2303187324386262,2.912632676059121,low_vs_high
0,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0871984360909382,0.0854786732986788,0.0017197627922594,0.0138797956961461,0.0017439687218187,12.431107949501625,12.437055070112072,0.0059471206104504,0.19,0.19,0.0,-11.462027261065275,-11.473279097682088,0.011251836616811,0.19,1.0,0.005,0.0,0.5411414286638543,0.0121002901993373,0.540276886317086,0.1331966324940336,0.2809566313281608,0.3110325405199916,0.0219933218571365,0.5411233542743399,0.0002874455350638,0.0005312014955432,0.0158916280109703,0.0024521314384441,0.0024521314384441,0.7112052374016691,3.5889209483632034,1.2303187324386262,2.912632676059121,low_vs_high
1,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1627348510792468,0.1595427012336545,0.0031921498455922,0.0192175110548947,0.0032546970215849,10.53344960455768,10.530299172325416,-0.0031504322322639,0.2,0.2,0.0,-9.405020229033603,-9.406148908637356,0.0011286796037541,0.2,1.0,0.01,0.0,0.8816589038143706,0.0197144924189688,0.8816104870806961,0.1898083121415667,0.2624747375120979,0.3131159476946976,0.0221406409912572,0.8815816997641361,0.000413672036202,0.0004692384566429,0.0082225002776146,0.0064173816843074,0.0082225002776146,0.3958281437150824,3.982654516143998,1.2527102728983852,3.1683379277825283,low_vs_high
1,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1627348510792468,0.1595248225192613,0.0032100285599855,0.0137243071484581,0.0032546970215849,10.53344960455768,10.533306675761674,-0.0001429287960057,0.2,0.2,0.0,-9.405020229033603,-9.407933282794897,0.0029130537612918,0.2,1.0,0.005,0.0,0.6037472763091815,0.0135001995105767,0.6029308952095085,0.1706743540614268,0.2030097362050558,0.2572274601372212,0.0181887281370421,0.6035303418815972,0.003827128295987,0.0063412359419335,0.0212857118607455,0.0032844566464408,0.0032844566464408,0.9909392547810948,3.982654516143998,1.2527102728983852,3.1683379277825283,low_vs_high
2,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0712434204800017,0.0698486842173335,0.0013947362626682,0.0211473190989082,0.0014248684096,11.725707451088237,11.721798701653425,-0.003908749434812,0.2,0.2,0.0,-10.66165616108613,-10.65755923469859,-0.0040969263875396,0.2,1.0,0.005,0.0,0.405921966651342,0.009076691109928,0.4058951221326046,0.0374251881738014,0.164161770091967,0.1698173139382074,0.0120078974248591,0.4059134410840849,1.1855545357414436e-05,2.920707756252536e-05,0.0031662393892491,0.0027356137546643,0.0031662393892491,0.4500191660927863,2.354244468849263,1.2341678303753287,1.9119016182240869,low_vs_high
2,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0712434204800017,0.069839864964051,0.0014035555159507,0.0149577978609708,0.0014248684096,11.725707451088237,11.722674729544156,-0.0030327215440806,0.2,0.2,0.0,-10.66165616108613,-10.659874212853854,-0.001781948232276,0.2,1.0,0.005,0.0,0.348429658605026,0.0077911240201788,0.3481658268900058,0.0679435815134757,0.1384804759901331,0.1605826839070714,0.0113549104731826,0.3484519226523319,0.0001212665513546,0.0003480151592551,0.0106752762880654,0.0016472308930193,0.0016472308930193,0.8650083091801691,2.354244468849263,1.2341678303753287,1.9119016182240869,low_vs_high
3,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2139824824895041,0.2099623812791275,0.0040201012103765,0.0606471231649158,0.00427964964979,11.37232270136952,11.35626216959798,-0.0160605317715383,0.195,0.195,0.0,-10.353060375527305,-10.33253140595748,-0.020528969569824,0.195,1.0,0.005,0.0,1.3078589016871116,0.0292446140915059,1.3074350131043948,0.0774759776614368,0.4856002560760498,0.4808587392757312,0.0340018475334683,1.308097326701291,0.0003980145879299,0.0003042698580644,0.0109825159887972,0.0087615822226487,0.0109825159887972,0.3896784356294622,3.767914876487232,1.2432549850449512,3.012005176968392,low_vs_high
3,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2139824824895041,0.2098141540823583,0.0041683284071458,0.0260117653905917,0.00427964964979,11.37232270136952,11.360646811206378,-0.0116758901631417,0.195,0.195,0.0,-10.353060375527305,-10.34132728406614,-0.0117330914611635,0.195,1.0,0.005,0.0,0.9358717484602672,0.0209267284777874,0.9349555885901344,0.1237926013228257,0.3033301035953698,0.3102876813606322,0.0219406523608753,0.9360303794005692,0.0033671220247943,0.0035972358364593,0.0296137711419495,0.0045695040922135,0.0045695040922135,0.9365676369745736,3.767914876487232,1.2432549850449512,3.012005176968392,low_vs_high
4,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1633334870222295,0.160122846710537,0.0032106403116925,0.0171518498054367,0.0032666697404445,10.934794569161618,10.938493586397556,0.0036990172359381,0.2,0.2,0.0,-9.865803665958133,-9.872984940307894,0.0071812743497634,0.2,1.0,0.005,0.0,0.6903067396961282,0.0154357279528679,0.690167308357102,0.0921158324076572,0.3415092848379648,0.3496581205436226,0.0247245628133338,0.6902817984224411,4.505569529394807e-05,6.527145203150022e-05,0.0051161270690518,0.0046593495930439,0.0051161270690518,0.6385044187438441,2.388042858209213,1.2426356079578669,1.913624763641378,low_vs_high
4,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1633334870222295,0.1601091405956373,0.0032243464265921,0.0129561042943493,0.0032666697404445,10.934794569161618,10.935835026177385,0.0010404570157671,0.2,0.2,0.0,-9.865803665958133,-9.870263383689435,0.0044597177313043,0.2,1.0,0.005,0.0,0.5287619680312641,0.0118234770443447,0.5271309255146983,0.1209697087576035,0.2755201784059948,0.2883369847332652,0.0203885037171773,0.5288144259672102,0.0003732773488855,0.0007058758811332,0.0176887770202993,0.0027294375509646,0.0027294375509646,1.196828899525495,2.388042858209213,1.2426356079578669,1.913624763641378,low_vs_high
