seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,head_train_per_class,tail_train_per_class,imbalance_ratio
0,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1305374271544697,0.1279801999353053,0.0025572272191644,0.0026107485430893,9.04692196357715,9.061308249032423,0.0143862854552754,0.115,0.1,0.015,-8.3896095909717,-8.411894653178951,0.022285062207251,0.115,0.7391304347826086,0.02,0.1304347826086956,0.7287536487897003,0.0162954269754477,0.728691011390614,7.958624021040241e-05,0.0001092180896516,0.0056490420321658,0.004975906089706,0.0056490420321658,0.4621577478488718,3.514891371675558,1.2044135973609873,2.890454266841961,100,80,1.25
0,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1305374271544697,0.1279601027628143,0.0025773243916554,0.0026107485430893,9.04692196357715,9.056385244296928,0.0094632807197783,0.115,0.1,0.015,-8.3896095909717,-8.404368558396778,0.0147589674250774,0.115,0.782608695652174,0.015,0.1304347826086956,0.4975331211463059,0.0111251787994077,0.4974921817004424,0.0003063390076543,0.000615766476183,0.0164824926539735,0.0025433038322336,0.0025433038322336,1.026518542535466,3.514891371675558,1.2044135973609873,2.890454266841961,100,80,1.25
1,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.144406022948714,0.1415708751971887,0.0028351477515252,0.0028881204589742,8.202234463905318,8.213473093831919,0.0112386299266002,0.11,0.105,0.005,-7.531090608413248,-7.548305341073149,0.0172147326599017,0.11,0.8636363636363636,0.015,0.0454545454545454,0.6840923532011804,0.0152967700464563,0.6840529512128318,6.113488936626081e-05,8.937157460963823e-05,0.0059955071537819,0.005171613217504,0.0059955071537819,0.4817141210735555,3.5641803447512355,1.2247344556132391,2.886420845949786,100,80,1.25
1,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.144406022948714,0.1415542226090203,0.0028518003396937,0.0028881204589742,8.202234463905318,8.211186485429549,0.0089520215242302,0.11,0.105,0.005,-7.531090608413248,-7.544053369301952,0.0129627608887048,0.11,0.9545454545454546,0.015,0.0454545454545454,0.4685220803842678,0.0104764722069884,0.4684994072381052,0.0003312885707571,0.0007071269795412,0.0170872431717999,0.0026366188630256,0.0026366188630256,1.095387922568401,3.5641803447512355,1.2247344556132391,2.886420845949786,100,80,1.25
2,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1069667140998853,0.1048721371733282,0.0020945769265571,0.0021393342819977,8.298442716848383,8.296615041968698,-0.001827674879685,0.215,0.215,0.0,-7.54299785215894,-7.541460006980525,-0.0015378451784142,0.215,1.0,0.0,0.0,0.4429594818076365,0.0099048751259995,0.4429323493942309,0.0001472278508821,0.0003323935383891,0.0036112921751987,0.0033292957156201,0.0036112921751987,0.5924013284469137,2.029852105097543,1.2214539836350906,1.6595601625809004,100,80,1.25
2,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1069667140998853,0.1048574583854951,0.0021092557143901,0.0021393342819977,8.298442716848383,8.298849553625702,0.0004068367773193,0.215,0.215,0.0,-7.54299785215894,-7.54476908005624,0.0017712278972998,0.215,1.0,0.0,0.0,0.4045125418172223,0.0090451754125453,0.4045081347121019,0.0014317999567638,0.0035396073252839,0.0132737054471121,0.0020481772168994,0.0020481772168994,1.0445064344755428,2.029852105097543,1.2214539836350906,1.6595601625809004,100,80,1.25
3,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2803945787144701,0.2749470481123816,0.0054475306020885,0.0056078915742894,8.47961807487185,8.4857764507578,0.0061583758859509,0.32,0.31,0.01,-7.578712858071745,-7.59855209937228,0.0198392413005352,0.32,0.953125,0.025,0.03125,0.8324437377718907,0.0186140078510195,0.8324789511360612,5.008332277175748e-05,6.016166859643735e-05,0.0063036568066372,0.0059887229467843,0.0063036568066372,0.8896251408205953,2.997470481373848,1.205678092917657,2.444024081411912,100,80,1.25
3,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2803945787144701,0.2748842179341684,0.0055103607803017,0.0056078915742894,8.47961807487185,8.484114715386585,0.0044966405147359,0.32,0.31,0.01,-7.578712858071745,-7.593912455875468,0.0151995978037229,0.32,0.96875,0.025,0.03125,0.6370515521913412,0.0142449057587159,0.6372287099372347,0.000561823430941,0.0008816668523871,0.0224246788960334,0.0034602030754821,0.0034602030754821,1.6206827899856506,2.997470481373848,1.205678092917657,2.444024081411912,100,80,1.25
4,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2241828061153507,0.2197982059462787,0.004384600169072,0.004483656122307,7.941036983769867,7.9540589507669,0.0130219669970328,0.325,0.32,0.005,-6.930710908531445,-6.9599351081295735,0.0292241995981283,0.325,0.9692307692307692,0.015,0.0153846153846153,0.8148154941270456,0.0182198283398815,0.814826166536065,4.47693643479784e-05,5.494345442819903e-05,0.0062605610498653,0.0057745782510475,0.0062605610498653,0.7161748103076848,3.0783346103258737,1.2095817768487995,2.516213298028084,100,80,1.25
4,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2241828061153507,0.2197661187514283,0.0044166873639224,0.004483656122307,7.941036983769867,7.951451148348451,0.0104141645785844,0.325,0.325,0.0,-6.930710908531445,-6.951918799874099,0.0212078913426543,0.325,1.0,0.0,0.0,0.5939301128371515,0.0132806810618799,0.5940189850570543,0.0004859139170104,0.0008180107525752,0.0205377041489654,0.0031690365507157,0.0031690365507157,1.414832568369833,3.0783346103258737,1.2095817768487995,2.516213298028084,100,80,1.25
5,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.174698162565471,0.1712473685486634,0.0034507940168076,0.0034939632513094,9.045226781736654,9.052810372860929,0.0075835911242752,0.325,0.32,0.005,-8.186073643269093,-8.205170109098356,0.0190964658292625,0.325,0.9846153846153848,0.005,0.0153846153846153,0.6359332282280656,0.0142198992746884,0.635943148726056,2.0472416896896223e-05,3.2192212366635764e-05,0.0041306473429976,0.0038373216960031,0.0041306473429976,0.8458633626113016,2.699790289975736,1.1865212063363004,2.2519866628650043,100,80,1.25
