seed,layer,geometry,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,alignment,step_size,head_gradient_nuclear_rank,tail_activation_stable_rank,condition_score,tail_sandwiched_stable_rank,tail_local_operator_stable_rank,theorem_condition_score,local_operator_condition_score,jvp_tail_drift_sq,scaled_jvp_tail_drift_sq,tail_output_drift_fro,tail_output_drift_rms,tail_loss_before,tail_loss_after,tail_loss_increase,tail_margin_before,tail_margin_after,tail_margin_drop,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop
0,1,frobenius,0.13614585395803644,0.133485143403063,0.002660710554973439,0.002722917079160729,0.16441933448412366,0.01656080829972982,3.0086681810282387,1.3308486447881307,2.2607140134310426,,4.41287907837009,,0.681792572965652,5514.487345547515,1.5124053482446964,1.2295579268625598,0.02749375106738399,10.643372440842581,10.651246074528949,0.007873633686367398,-9.74673207914018,-9.758772042821583,0.01203996368140281,0.175,0.175,0.0
0,1,spectral,0.13614585395803644,0.1334615118653308,0.002684342092705627,0.002722917079160729,0.2851937688909334,0.009547603686257443,3.0086681810282387,1.3308486447881307,2.2607140134310426,,4.41287907837009,,0.681792572965652,7145.575468983137,0.6513673376648417,0.8069315638312922,0.01804353829916981,10.643372440842581,10.652457139226058,0.009084698383476919,-9.74673207914018,-9.75931621078156,0.01258413164137906,0.175,0.175,0.0
0,2,frobenius,0.13614585395803644,0.13348120108673225,0.002664652871304185,0.002722917079160729,0.4374267825249294,0.006224852221995683,2.558497405919035,1.1504598607042489,2.223891065919381,1.149591773963795,11.504598607042483,2.2255703840828036,0.22238910659193822,14662.147918033425,0.5681404200366097,0.7537509005213745,0.01685438251667476,10.643372440842581,10.647965161731584,0.004592720889002422,-9.74673207914018,-9.754600814297604,0.007868735157423146,0.175,0.175,0.0
0,2,spectral,0.13614585395803644,0.1334700445455254,0.0026758094125110266,0.002722917079160729,0.699677423486887,0.0038916749172652992,2.558497405919035,1.1504598607042489,2.223891065919381,1.149591773963795,11.504598607042483,2.2255703840828036,0.22238910659193822,21523.048092739027,0.32596944017112445,0.5709373347147053,0.012766546913146312,10.643372440842581,10.64909426458594,0.005721823743359167,-9.74673207914018,-9.756616341053288,0.00988426191310765,0.175,0.175,0.0
1,1,frobenius,0.17375050180476015,0.17034731482537221,0.0034031869793879344,0.003475010036095203,0.12577933874252833,0.027627828789977868,3.8857250075703256,1.3318002140127536,2.917648583237962,,4.526945399073947,,0.8583547326117977,1803.2139524699178,1.376387662600034,1.1736934759822966,0.02624458397044432,12.131418609367957,12.138498336762162,0.0070797273942044825,-11.270393048156325,-11.280622623014692,0.010229574858366064,0.185,0.185,0.0
1,1,spectral,0.17375050180476015,0.1703245840253064,0.003425917779453752,0.003475010036095203,0.24793928152275063,0.014015568710020401,3.8857250075703256,1.3318002140127536,2.917648583237962,,4.526945399073947,,0.8583547326117977,2993.876831889182,0.5881056871268218,0.7673461400824456,0.01715838131496425,12.131418609367957,12.138279744168765,0.006861134800807633,-11.270393048156325,-11.279996700537358,0.009603652381033001,0.185,0.185,0.0
1,2,frobenius,0.17375050180476015,0.1703814296176229,0.003369072187137251,0.003475010036095203,0.44005047862432334,0.007896844123334912,2.358499623564314,1.1351893052148965,2.0776267118882337,1.1346692036866697,11.35189305214895,2.0785790395132606,0.20776267118882363,19586.718401097227,1.2214306408602733,1.1051835326587767,0.024712655066383836,12.131418609367957,12.142757628505597,0.01133901913764035,-11.270393048156325,-11.293066973888292,0.022673925731966804,0.185,0.185,0.0
1,2,spectral,0.17375050180476015,0.1703622310315705,0.00338827077318965,0.003475010036095203,0.6758034481195054,0.005142042476647294,2.358499623564314,1.1351893052148965,2.0776267118882337,1.1346692036866697,11.35189305214895,2.0785790395132606,0.20776267118882363,25771.427803726452,0.6814120354198897,0.8254768533519918,0.018458223579476792,12.131418609367957,12.138928038686394,0.007509429318437455,-11.270393048156325,-11.287726357752257,0.017333309595931823,0.185,0.185,0.0
2,1,frobenius,0.08026491851066912,0.07870015775421775,0.0015647607564513721,0.0016052983702133825,0.09513078305759076,0.01687464686632043,3.482099091523035,1.3223439604972238,2.6332778728869504,,4.1784635051076116,,0.8333443829930872,3286.604834222283,0.9358729095387095,0.9675166156803355,0.021634329220217685,11.519087374864712,11.530926259931539,0.011838885066826066,-10.627126084484175,-10.642065193999379,0.014939109515204052,0.185,0.185,0.0
2,1,spectral,0.08026491851066912,0.0786829930251602,0.0015819254855089226,0.0016052983702133825,0.17751768863154882,0.009043033303263084,3.482099091523035,1.3223439604972238,2.6332778728869504,,4.1784635051076116,,0.8333443829930872,4259.207864074971,0.34830290457500646,0.5901708960873523,0.013196622419932842,11.519087374864712,11.52553730053416,0.006449925669446799,-10.627126084484175,-10.636086844595159,0.008960760110984012,0.185,0.185,0.0
