layer,head_gradient_nuclear_rank,tail_activation_stable_rank,condition_score,seed,geometry,tail_output_drift_fro
1,3.9484805067822535,1.3308486447881307,2.966889226844309,0,frobenius,0.8181453361695901
2,3.2293613899441533,1.129788820089122,2.8583761252739333,0,frobenius,0.8181453361695901
1,3.9484805067822535,1.3308486447881307,2.966889226844309,0,spectral,0.5411414286638543
2,3.2293613899441533,1.129788820089122,2.8583761252739333,0,spectral,0.5411414286638543
1,4.449362869942569,1.3318002140127536,3.340863609367134,1,frobenius,0.8816589038143706
2,3.515946162345427,1.173620331784017,2.9958122461979224,1,frobenius,0.8816589038143706
1,4.449362869942569,1.3318002140127536,3.340863609367134,1,spectral,0.6037472763091815
2,3.515946162345427,1.173620331784017,2.9958122461979224,1,spectral,0.6037472763091815
1,2.4477646341172883,1.3223439604972238,1.8510801328853101,2,frobenius,0.405921966651342
2,2.260724303581237,1.1459917002534339,1.9727231035628638,2,frobenius,0.405921966651342
1,2.4477646341172883,1.3223439604972238,1.8510801328853101,2,spectral,0.348429658605026
2,2.260724303581237,1.1459917002534339,1.9727231035628638,2,spectral,0.348429658605026
1,4.358011136985497,1.3381493476782416,3.256744954923658,3,frobenius,1.3078589016871116
2,3.177818615988967,1.1483606224116607,2.767265399013127,3,frobenius,1.3078589016871116
1,4.358011136985497,1.3381493476782416,3.256744954923658,3,spectral,0.9358717484602671
2,3.177818615988967,1.1483606224116607,2.767265399013127,3,spectral,0.9358717484602671
1,2.699027172063865,1.3302852257243982,2.0289086279178417,4,frobenius,0.6903067396961282
2,2.0770585443545624,1.1549859901913355,1.7983408993649144,4,frobenius,0.6903067396961282
1,2.699027172063865,1.3302852257243982,2.0289086279178417,4,spectral,0.5287619680312641
2,2.0770585443545624,1.1549859901913355,1.7983408993649144,4,spectral,0.5287619680312641
1,4.114837188550487,1.318849559361652,3.1200201412981063,5,frobenius,0.674998626745735
2,2.8083908651018383,1.1516390179191838,2.438603435107751,5,frobenius,0.674998626745735
1,4.114837188550487,1.318849559361652,3.1200201412981063,5,spectral,0.471176770638045
2,2.8083908651018383,1.1516390179191838,2.438603435107751,5,spectral,0.471176770638045
1,2.6379978837465488,1.3274495177931769,1.9872679513508713,6,frobenius,0.5309438628737592
2,1.9653161079713015,1.1332756943794335,1.7341906455052687,6,frobenius,0.5309438628737592
1,2.6379978837465488,1.3274495177931769,1.9872679513508713,6,spectral,0.4124735159137826
2,1.9653161079713015,1.1332756943794335,1.7341906455052687,6,spectral,0.4124735159137826
1,4.208977775498813,1.3359561421930541,3.1505358915372152,7,frobenius,0.637721441715583
2,3.1808370712282836,1.1319976956775286,2.809932461324026,7,frobenius,0.637721441715583
1,4.208977775498813,1.3359561421930541,3.1505358915372152,7,spectral,0.47147060258628676
2,3.1808370712282836,1.1319976956775286,2.809932461324026,7,spectral,0.47147060258628676
1,3.293981641433583,1.3294583560629927,2.477686966584087,8,frobenius,1.073725067296379
2,2.803173114434394,1.1352753524421169,2.4691570273277086,8,frobenius,1.073725067296379
1,3.293981641433583,1.3294583560629927,2.477686966584087,8,spectral,0.7458439903226963
2,2.803173114434394,1.1352753524421169,2.4691570273277086,8,spectral,0.7458439903226963
1,4.164251896092828,1.3238612496998836,3.1455350000136755,9,frobenius,0.7013769714712825
2,3.0432665763136626,1.1473267585268523,2.6524846158222304,9,frobenius,0.7013769714712825
1,4.164251896092828,1.3238612496998836,3.1455350000136755,9,spectral,0.4578790413397199
2,3.0432665763136626,1.1473267585268523,2.6524846158222304,9,spectral,0.4578790413397199
1,3.715254821995513,1.3242601224907058,2.805532507471234,10,frobenius,0.72956448880277
2,2.1033205452472847,1.149351828404658,1.830005828734592,10,frobenius,0.72956448880277
1,3.715254821995513,1.3242601224907058,2.805532507471234,10,spectral,0.5518179313206157
2,2.1033205452472847,1.149351828404658,1.830005828734592,10,spectral,0.5518179313206157
1,4.0691617927454065,1.3392562842156186,3.03837423852646,11,frobenius,0.838890205075978
2,2.5220323851983455,1.1250418590618303,2.2417231544624148,11,frobenius,0.838890205075978
1,4.0691617927454065,1.3392562842156186,3.03837423852646,11,spectral,0.5872870176062449
2,2.5220323851983455,1.1250418590618303,2.2417231544624148,11,spectral,0.5872870176062449
1,2.177478679681937,1.3237571491962563,1.6449230744506527,12,frobenius,0.5623177521919284
2,1.9310522735438054,1.1490433757812004,1.6805738706173214,12,frobenius,0.5623177521919284
1,2.177478679681937,1.3237571491962563,1.6449230744506527,12,spectral,0.4792478964129945
2,1.9310522735438054,1.1490433757812004,1.6805738706173214,12,spectral,0.4792478964129945
1,3.3320969579924204,1.329491120662521,2.5062950073197534,13,frobenius,1.0291788608464079
2,2.923082205989794,1.1182798528186662,2.6139093882645352,13,frobenius,1.0291788608464079
1,3.3320969579924204,1.329491120662521,2.5062950073197534,13,spectral,0.7259980678081395
2,2.923082205989794,1.1182798528186662,2.6139093882645352,13,spectral,0.7259980678081395
1,2.7734435446828494,1.3248561647753636,2.0933921873346164,14,frobenius,0.8295932917924772
2,2.6214206559173,1.1164223475350405,2.348054624403712,14,frobenius,0.8295932917924772
1,2.7734435446828494,1.3248561647753636,2.0933921873346164,14,spectral,0.627141328534006
2,2.6214206559173,1.1164223475350405,2.348054624403712,14,spectral,0.627141328534006
1,2.572739121358822,1.3343307525572146,1.9281119890463634,15,frobenius,0.6587673202680042
2,2.258119129115175,1.1667439275513813,1.9354025127469383,15,frobenius,0.6587673202680042
1,2.572739121358822,1.3343307525572146,1.9281119890463634,15,spectral,0.5353066125836148
2,2.258119129115175,1.1667439275513813,1.9354025127469383,15,spectral,0.5353066125836148
1,2.8900949793844064,1.314064502278534,2.1993554915859153,16,frobenius,1.2792359190542884
2,2.769273131565999,1.1230150123171638,2.4659270812881138,16,frobenius,1.2792359190542884
1,2.8900949793844064,1.314064502278534,2.1993554915859153,16,spectral,0.9458562199500267
2,2.769273131565999,1.1230150123171638,2.4659270812881138,16,spectral,0.9458562199500267
1,2.8991001546618915,1.326068026358446,2.1862378830015192,17,frobenius,0.720265602853418
2,2.3080875232558355,1.127753209074038,2.046624655717834,17,frobenius,0.720265602853418
1,2.8991001546618915,1.326068026358446,2.1862378830015192,17,spectral,0.526591878476732
2,2.3080875232558355,1.127753209074038,2.046624655717834,17,spectral,0.526591878476732
1,3.0150936156528574,1.3220830601751612,2.280562928666064,18,frobenius,0.7683593203548313
2,2.3048343678215706,1.1267281446864497,2.045599356589223,18,frobenius,0.7683593203548313
1,3.0150936156528574,1.3220830601751612,2.280562928666064,18,spectral,0.5591513974428982
2,2.3048343678215706,1.1267281446864497,2.045599356589223,18,spectral,0.5591513974428982
1,2.1574172553364908,1.3440476881230707,1.6051642173123115,19,frobenius,0.45290027431408386
2,1.86989407794021,1.1574159099597197,1.615576614983015,19,frobenius,0.45290027431408386
1,2.1574172553364908,1.3440476881230707,1.6051642173123115,19,spectral,0.3853773996949775
2,1.86989407794021,1.1574159099597197,1.615576614983015,19,spectral,0.3853773996949775
