seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail
0,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.08719843609093829,0.08548814202469239,0.0017102940662458987,0.01930920844597955,0.0017439687218187658,12.431107949501623,12.43868054223786,0.007572592736236672,0.19,0.19,0.0,-11.462027261065277,-11.47693551283603,0.014908251770753722,0.19,1.0,0.005,0.0,0.8181453361695901,0.0182942858714962,0.8178094778236289,0.17102982702731714,0.36963271071953735,0.40989557809101823,0.0289839942846539,0.8181496976769341,0.00021395055732683754,0.00026150539190362325,0.005786392267012349,0.004832153805145981,0.005786392267012349,0.30139137503016505,3.5889209483632034,1.2303187324386262,2.912632676059121
0,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.08719843609093829,0.08547867329867884,0.0017197627922594522,0.013879795696146176,0.0017439687218187658,12.431107949501623,12.437055070112073,0.00594712061045044,0.19,0.19,0.0,-11.462027261065277,-11.473279097682088,0.011251836616811062,0.19,1.0,0.005,0.0,0.5411414286638543,0.012100290199337312,0.540276886317086,0.13319663249403368,0.2809566313281608,0.31103254051999163,0.021993321857136566,0.5411233542743399,0.0002874455350638921,0.0005312014955432184,0.015891628010970396,0.002452131438444149,0.002452131438444147,0.7112052374016691,3.5889209483632034,1.2303187324386262,2.912632676059121
1,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.16273485107924687,0.15954270123365458,0.003192149845592296,0.019217511054894734,0.0032546970215849374,10.53344960455768,10.530299172325416,-0.0031504322322639666,0.2,0.2,0.0,-9.405020229033603,-9.406148908637357,0.001128679603754179,0.2,1.0,0.01,0.0,0.8816589038143706,0.019714492418968804,0.8816104870806961,0.18980831214156677,0.26247473751209793,0.31311594769469764,0.022140640991257298,0.8815816997641361,0.0004136720362020016,0.00046923845664296115,0.0082225002776146,0.006417381684307497,0.0082225002776146,0.39582814371508246,3.982654516143998,1.2527102728983852,3.1683379277825283
1,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.16273485107924687,0.15952482251926134,0.003210028559985534,0.013724307148458131,0.0032546970215849374,10.53344960455768,10.533306675761674,-0.00014292879600574793,0.2,0.2,0.0,-9.405020229033603,-9.407933282794895,0.002913053761291806,0.2,1.0,0.005,0.0,0.6037472763091815,0.013500199510576781,0.6029308952095085,0.17067435406142686,0.20300973620505583,0.25722746013722125,0.018188728137042143,0.6035303418815972,0.003827128295987016,0.006341235941933532,0.021285711860745595,0.0032844566464408803,0.0032844566464408777,0.9909392547810949,3.982654516143998,1.2527102728983852,3.1683379277825283
2,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.07124342048000178,0.0698486842173335,0.0013947362626682697,0.021147319098908206,0.0014248684096000355,11.725707451088237,11.721798701653425,-0.003908749434812009,0.2,0.2,0.0,-10.66165616108613,-10.65755923469859,-0.004096926387539668,0.2,1.0,0.005,0.0,0.405921966651342,0.009076691109928033,0.4058951221326046,0.03742518817380148,0.16416177009196706,0.16981731393820748,0.012007897424859132,0.40591344108408495,1.1855545357414437e-05,2.9207077562525362e-05,0.003166239389249149,0.0027356137546643115,0.0031662393892491494,0.45001916609278636,2.354244468849263,1.2341678303753287,1.9119016182240869
2,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.07124342048000178,0.06983986496405102,0.0014035555159507551,0.014957797860970843,0.0014248684096000355,11.725707451088237,11.722674729544156,-0.00303272154408063,0.2,0.2,0.0,-10.66165616108613,-10.659874212853854,-0.001781948232276065,0.2,1.0,0.005,0.0,0.348429658605026,0.007791124020178828,0.3481658268900058,0.0679435815134757,0.1384804759901331,0.16058268390707142,0.011354910473182607,0.34845192265233194,0.00012126655135462783,0.00034801515925518827,0.010675276288065432,0.0016472308930193828,0.0016472308930193817,0.8650083091801691,2.354244468849263,1.2341678303753287,1.9119016182240869
3,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.21398248248950416,0.20996238127912759,0.004020101210376575,0.06064712316491586,0.004279649649790084,11.37232270136952,11.356262169597981,-0.016060531771538322,0.195,0.195,0.0,-10.353060375527303,-10.332531405957479,-0.020528969569824085,0.195,1.0,0.005,0.0,1.3078589016871116,0.029244614091505954,1.3074350131043948,0.07747597766143682,0.4856002560760498,0.48085873927573125,0.03400184753346836,1.308097326701291,0.000398014587929914,0.00030426985806446965,0.010982515988797285,0.00876158222264877,0.010982515988797287,0.38967843562946225,3.7679148764872323,1.2432549850449512,3.012005176968392
3,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.21398248248950416,0.20981415408235835,0.004168328407145816,0.026011765390591725,0.004279649649790084,11.37232270136952,11.360646811206378,-0.011675890163141744,0.195,0.195,0.0,-10.353060375527303,-10.34132728406614,-0.011733091461163525,0.195,1.0,0.005,0.0,0.9358717484602671,0.020926728477787412,0.9349555885901343,0.12379260132282574,0.3033301035953698,0.3102876813606322,0.021940652360875373,0.9360303794005693,0.003367122024794326,0.003597235836459303,0.029613771141949578,0.004569504092213549,0.004569504092213544,0.9365676369745737,3.7679148764872323,1.2432549850449512,3.012005176968392
4,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.16333348702222952,0.160122846710537,0.0032106403116925197,0.017151849805436763,0.0032666697404445904,10.934794569161618,10.938493586397556,0.003699017235938129,0.2,0.2,0.0,-9.865803665958131,-9.872984940307894,0.007181274349763456,0.2,1.0,0.005,0.0,0.6903067396961282,0.015435727952867956,0.690167308357102,0.0921158324076572,0.3415092848379648,0.34965812054362266,0.024724562813333885,0.6902817984224411,4.505569529394807e-05,6.527145203150022e-05,0.005116127069051837,0.004659349593043961,0.005116127069051838,0.6385044187438441,2.3880428582092135,1.2426356079578669,1.9136247636413781
4,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.16333348702222952,0.16010914059563733,0.003224346426592195,0.012956104294349397,0.0032666697404445904,10.934794569161618,10.935835026177385,0.00104045701576716,0.2,0.2,0.0,-9.865803665958131,-9.870263383689435,0.00445971773130438,0.2,1.0,0.005,0.0,0.5287619680312641,0.01182347704434477,0.5271309255146983,0.12096970875760353,0.2755201784059948,0.28833698473326524,0.02038850371717739,0.5288144259672102,0.0003732773488855694,0.0007058758811332332,0.017688777020299324,0.002729437550964657,0.0027294375509646553,1.196828899525495,2.3880428582092135,1.2426356079578669,1.9136247636413781
