seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,target_head_gain_fraction
0,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0871984360909382,0.0867645691847919,0.0004338669061463,0.004874569782723,0.0004359921804546,12.431107949501625,12.432967498422002,0.0018595489203789,0.19,0.19,0.0,-11.462027261065275,-11.465726824521736,0.0036995634564576,0.19,1.0,0.0,0.0,0.2045375899784153,0.0045735995514571,0.2044536052162119,0.042755855342816,0.0924071467925125,0.1023552870988298,0.0072376117597878,0.2045374244192335,3.917588980071336e-06,1.915340916800431e-05,0.001446598066753,0.0012080384512864,0.001446598066753,0.301391375030165,3.5889209483632034,1.2303187324386262,2.912632676059121,0.005
0,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0871984360909382,0.086763961783069,0.0004344743078692,0.0034814215792416,0.0004359921804546,12.431107949501625,12.432577165189238,0.0014692156876154,0.19,0.19,0.0,-11.462027261065275,-11.464839354570609,0.0028120935053301,0.19,1.0,0.0,0.0,0.1352819646534008,0.0030249966909472,0.1350659614032185,0.0333006281540907,0.0702323422302462,0.0777528160850456,0.0054979543510086,0.1352808385685849,1.7965345944885766e-05,0.0001328003739108,0.0039729070027425,0.000613032859611,0.000613032859611,0.7112052374016691,3.5889209483632034,1.2303187324386262,2.912632676059121,0.005
1,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1627348510792468,0.161925122425368,0.0008097286538788,0.0048491168194711,0.0008136742553962,10.53344960455768,10.532641830647824,-0.0008077739098553,0.2,0.2,0.0,-9.405020229033603,-9.405263575312247,0.0002433462786441,0.2,1.0,0.0,0.0,0.2203995671499513,0.0049282841435882,0.2203874607708811,0.0474570531438128,0.0656185483870348,0.0786397079703453,0.005560667077636,0.220395424941034,1.0782404152015371e-05,4.892299445371956e-05,0.0020556250694036,0.0016043454210768,0.0020556250694036,0.3958281437150824,3.982654516143998,1.2527102728983852,3.1683379277825283,0.005
1,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1627348510792468,0.1619239845694272,0.0008108665098195,0.0034506997831342,0.0008136742553962,10.53344960455768,10.53340245311869,-4.715143898970098e-05,0.2,0.2,0.0,-9.405020229033603,-9.40573008274611,0.0007098537125074,0.2,1.0,0.0,0.0,0.1508916825321048,0.003374040593811,0.1506882184738449,0.0426742279241825,0.0507559009815733,0.0644201341890644,0.0045551913730034,0.1508825854703993,0.0001484235176649,0.0009837021098372,0.0053214279651863,0.0008211141616102,0.0008211141616102,0.9909392547810948,3.982654516143998,1.2527102728983852,3.1683379277825283,0.005
2,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0712434204800017,0.0708890970898823,0.0003543233901194,0.0053161745121823,0.0003562171024,11.725707451088237,11.724723866623052,-0.0009835844651853,0.2,0.2,0.0,-10.66165616108613,-10.660615500905465,-0.0010406601806653,0.2,1.0,0.005,0.0,0.1014788931150569,0.002269137032867,0.1014721818796485,0.0093560712205361,0.0410397517962413,0.0421827070238166,0.0029827678185346,0.1014783602710212,7.409715874471999e-07,7.30176941633926e-06,0.0007915598473122,0.000683903438666,0.0007915598473122,0.4500191660927863,2.354244468849263,1.2341678303753287,1.9119016182240869,0.005
2,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0712434204800017,0.0708885416081249,0.0003548788718768,0.0037567834732495,0.0003562171024,11.725707451088237,11.724944927553688,-0.0007625235345489,0.2,0.2,0.0,-10.66165616108613,-10.661194148984489,-0.0004620121016429,0.2,1.0,0.005,0.0,0.0871115882043324,0.0019478743285285,0.0870456005907382,0.0169866057711948,0.0346205038367384,0.0399576079140681,0.002825429551603,0.0871129806630829,7.579159460625949e-06,8.700378982483686e-05,0.0026688190720163,0.0004118077232548,0.0004118077232548,0.8650083091801691,2.354244468849263,1.2341678303753287,1.9119016182240869,0.005
3,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2139824824895041,0.2129289425356423,0.0010535399538618,0.0153026157984508,0.0010699124124475,11.37232270136952,11.368252541097473,-0.0040701602720467,0.195,0.195,0.0,-10.353060375527305,-10.347850049339758,-0.0052103261875444,0.195,1.0,0.005,0.0,0.3270094282920152,0.0073121531094428,0.3269034706376448,0.0193716257922517,0.121424396156259,0.1201975471516593,0.0084992500672928,0.3270243316753227,2.487591174456107e-05,7.606746451288049e-05,0.0027456289971993,0.0021903955556621,0.0027456289971993,0.3896784356294622,3.767914876487232,1.2432549850449512,3.012005176968392,0.005
3,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2139824824895041,0.2129196199755949,0.0010628625139091,0.0065892296007697,0.0010699124124475,11.37232270136952,11.36938237039108,-0.0029403309784399,0.195,0.195,0.0,-10.353060375527305,-10.350081598013412,-0.0029787775138903,0.195,1.0,0.0,0.0,0.2339952309189756,0.0052322924274559,0.2337659745405043,0.0309494317510975,0.0758427611618811,0.0779739220182792,0.0055135889014836,0.2340075948501423,9.70826328579836e-05,0.0004148695811354,0.0074034427854873,0.0011423760230533,0.0011423760230533,0.9365676369745736,3.767914876487232,1.2432549850449512,3.012005176968392,0.005
4,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1633334870222295,0.1625203286739375,0.0008131583482919,0.0042968369599348,0.0008166674351111,10.934794569161618,10.93569171841037,0.0008971492487521,0.2,0.2,0.0,-9.865803665958133,-9.867554024683416,0.0017503587252853,0.2,1.0,0.0,0.0,0.1725720083874124,0.0038588274176791,0.1725371496078508,0.0230296784946305,0.0853743853674063,0.0870427354847792,0.0061548508514314,0.1725704496056102,2.8159809585214343e-06,1.631786302322925e-05,0.0012790317672629,0.0011648373982609,0.0012790317672629,0.6385044187438441,2.3880428582092135,1.2426356079578669,1.913624763641378,0.005
4,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1633334870222295,0.1625194701995664,0.0008140168226631,0.0032456448415309,0.0008166674351111,10.934794569161618,10.935036693193169,0.0002421240315513,0.2,0.2,0.0,-9.865803665958133,-9.866895477703942,0.0010918117458107,0.2,1.0,0.0,0.0,0.1322002029320825,0.002956086403954,0.1317920406733625,0.0302483559393175,0.0688826684184213,0.0719815037560128,0.0050898609425881,0.1322036064918025,2.1241923772719657e-05,0.0001606758267524,0.0044221942550748,0.0006823593877411,0.0006823593877411,1.196828899525495,2.3880428582092135,1.2426356079578669,1.913624763641378,0.005
