group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin
All,All,2000,2000,0.9979446769861694,0.9977563365189102,0.998117222437226,0.9971261108546554,1.029783295324881,1.0272389043158028,1.0323339885929375,0.019496078578080972,1.0,1.0372710412061885
family,SmallMLPDigits,2000,2000,0.9979446769861694,0.9977563365189102,0.998117222437226,0.9971261108546554,1.029783295324881,1.0272389043158028,1.0323339885929375,0.019496078578080972,1.0,1.0372710412061885
algo,Adam,500,500,0.998494905979624,0.9982050586183281,0.9987379783130973,0.9977477282081401,1.0427406568962798,1.0372306535127014,1.0482799306617006,0.025390081448702195,1.0,1.0506148816354428
algo,Muon,500,500,0.998565562262249,0.9982893100694539,0.9987972304901009,0.9971031765612106,1.0283763784925428,1.0245674377913045,1.0321994793444262,0.013299358320045404,1.0,1.0190757649315927
algo,AdamFirstMuonSecond,500,500,0.9967196668786673,0.9960886173688706,0.9972490452658445,0.9955007271745324,0.9978900705971352,0.9918554726308827,1.0039613839656,0.013287671075050187,1.0,0.9979006291847423
algo,MuonFirstAdamSecond,500,500,0.9993261733046932,0.9991963450172592,0.9994350341106739,0.9990401227769338,1.0509263216578248,1.048011084116097,1.0538496684744005,0.022174561619202796,1.0,1.04088541041348
SmallMLPDigits:Adam,SmallMLPDigits:Adam,500,500,0.998494905979624,0.9982050586183281,0.9987379783130973,0.9977477282081401,1.0427406568962798,1.0372306535127014,1.0482799306617006,0.025390081448702195,1.0,1.0506148816354428
SmallMLPDigits:Muon,SmallMLPDigits:Muon,500,500,0.998565562262249,0.9982893100694539,0.9987972304901009,0.9971031765612106,1.0283763784925428,1.0245674377913045,1.0321994793444262,0.013299358320045404,1.0,1.0190757649315927
SmallMLPDigits:AdamFirstMuonSecond,SmallMLPDigits:AdamFirstMuonSecond,500,500,0.9967196668786673,0.9960886173688706,0.9972490452658445,0.9955007271745324,0.9978900705971352,0.9918554726308827,1.0039613839656,0.013287671075050187,1.0,0.9979006291847423
SmallMLPDigits:MuonFirstAdamSecond,SmallMLPDigits:MuonFirstAdamSecond,500,500,0.9993261733046932,0.9991963450172592,0.9994350341106739,0.9990401227769338,1.0509263216578248,1.048011084116097,1.0538496684744005,0.022174561619202796,1.0,1.04088541041348
