hidden_dim,num_samples,algo,baseline,metric,n_pairs,higher_than_adam_pairs,win_rate_vs_adam,geomean_ratio_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_vs_adam,delta_ci95_low,delta_ci95_high
8,128,Muon,Adam,delta_loss,50,34,0.68,1.0650110194078621,1.0080581952753485,1.1251815388995046,True,False,2.964529106159297e-05,-4.653789833685187e-05,0.00010582848046003781
8,128,Muon,Adam,update_grad_inner,50,33,0.66,1.081139609206276,1.0263462693151737,1.1388581900089327,True,False,4.661761430601895e-05,-2.3239647878354595e-05,0.00011647487649039248
8,128,Muon,Adam,update_grad_cosine,50,46,0.92,1.2937764594242225,1.2263020524908734,1.364963488041405,True,False,0.15435775573826424,0.1247093978473438,0.18400611362918468
8,128,AdamFirstMuonSecond,Adam,delta_loss,50,1,0.02,0.6805153683378062,0.644538216576574,0.7185007104833505,False,True,-0.000485209198029537,-0.0006032559714072589,-0.00036716242465181505
8,128,AdamFirstMuonSecond,Adam,update_grad_inner,50,1,0.02,0.7031297833319303,0.6645227792703262,0.7439797515312714,False,True,-0.0004303546317603761,-0.0005404320489474734,-0.00032027721457327874
8,128,AdamFirstMuonSecond,Adam,update_grad_cosine,50,1,0.02,0.7332008985149198,0.6973160770716132,0.7709324010435467,False,True,-0.1368971447302309,-0.15628016407589934,-0.11751412538456245
8,128,MuonFirstAdamSecond,Adam,delta_loss,50,13,0.26,0.9109388406382085,0.8633307261812193,0.9611722903154271,False,True,-0.00011623053162492348,-0.00017964645141664592,-5.2814611833201046e-05
8,128,MuonFirstAdamSecond,Adam,update_grad_inner,50,13,0.26,0.9062441136587496,0.8615531332758575,0.953253330318016,False,True,-0.00010856148815956646,-0.00016585539594766673,-5.126758037146619e-05
8,128,MuonFirstAdamSecond,Adam,update_grad_cosine,50,15,0.3,0.9225168987935768,0.8722959723141368,0.9756292079418627,False,True,-0.04580134988019652,-0.07401410190439668,-0.01758859785599635
8,1024,Muon,Adam,delta_loss,50,49,0.98,1.259594446350492,1.2185804575038988,1.301988850639291,True,False,0.00023138117157889938,0.00018709262754076922,0.00027566971561702953
8,1024,Muon,Adam,update_grad_inner,50,49,0.98,1.2365186384863993,1.1962574295720032,1.2781348776001304,True,False,0.0002130235812266528,0.00016904859881482952,0.0002569985636384761
8,1024,Muon,Adam,update_grad_cosine,50,50,1.0,1.2405134524982373,1.2081935518043054,1.2736979298813145,True,False,0.14524818569172426,0.12805821420777744,0.1624381571756711
8,1024,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.6489416726907987,0.6138543294746787,0.6860345758498116,False,True,-0.00037599194769176946,-0.0004539347857425098,-0.0002980491096410291
8,1024,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.6684365012588824,0.6307705233758715,0.7083516741142433,False,True,-0.00033921706940445105,-0.0004125922022512992,-0.0002658419365576029
8,1024,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.712844602578987,0.6806916045288252,0.7465163725322184,False,True,-0.16769634535903435,-0.18781570963577024,-0.14757698108229847
8,1024,MuonFirstAdamSecond,Adam,delta_loss,50,28,0.56,1.0417112882875608,1.000170014268939,1.084977946413355,True,False,3.5336535189021134e-05,-6.863003703054782e-07,7.135937074834775e-05
8,1024,MuonFirstAdamSecond,Adam,update_grad_inner,50,26,0.52,1.014486723666738,0.9734083089209439,1.057298672164569,False,False,2.2969741434114164e-05,-1.0907158022674751e-05,5.684664089090308e-05
8,1024,MuonFirstAdamSecond,Adam,update_grad_cosine,50,6,0.12,0.8860853884086833,0.8635272084276507,0.909232862483857,False,True,-0.0685215547147593,-0.0823755843435651,-0.054667525085953524
16,128,Muon,Adam,delta_loss,50,14,0.28,0.9141545086147812,0.8613586294673439,0.9701864438712454,False,True,-0.00034612542357858266,-0.0005119140697023235,-0.0001803367774548418
16,128,Muon,Adam,update_grad_inner,50,16,0.32,0.9235154413688782,0.87461714294022,0.9751475572267033,False,True,-0.0002847620319720565,-0.000430901184957762,-0.00013862287898635097
16,128,Muon,Adam,update_grad_cosine,50,46,0.92,1.1530537750847198,1.1113145450999518,1.1963606650334497,True,False,0.08047317589595357,0.06088684575614466,0.10005950603576247
16,128,AdamFirstMuonSecond,Adam,delta_loss,50,1,0.02,0.6458136258521802,0.6104237811398826,0.6832552273070178,False,True,-0.0008883313435106555,-0.0010987371507232145,-0.0006779255362980965
16,128,AdamFirstMuonSecond,Adam,update_grad_inner,50,1,0.02,0.6765579594291766,0.6373530006557027,0.7181744998392765,False,True,-0.0007823755756674045,-0.0009787605036573896,-0.0005859906476774193
16,128,AdamFirstMuonSecond,Adam,update_grad_cosine,50,1,0.02,0.7071831479335223,0.6710460686530356,0.7452662761664237,False,True,-0.15262164577325987,-0.17263776219637217,-0.13260552935014758
16,128,MuonFirstAdamSecond,Adam,delta_loss,50,5,0.1,0.7889641073815123,0.755139569415901,0.8243037286706899,False,True,-0.0005507133044836987,-0.0006988716943280817,-0.00040255491463931563
16,128,MuonFirstAdamSecond,Adam,update_grad_inner,50,3,0.06,0.7729647425825388,0.7427037193283776,0.8044587333102128,False,True,-0.0005239545862238665,-0.0006552966018702304,-0.0003926125705775027
16,128,MuonFirstAdamSecond,Adam,update_grad_cosine,50,4,0.08,0.7940427680030936,0.7614941713434711,0.8279825915221964,False,True,-0.11318689484623318,-0.1333236613581349,-0.09305012833433146
16,1024,Muon,Adam,delta_loss,50,33,0.66,1.0323503372530236,1.0064719037079024,1.0588941578002875,True,False,4.811216943423346e-06,-4.3603032961430815e-05,5.322546684827751e-05
16,1024,Muon,Adam,update_grad_inner,50,32,0.64,1.0225575918240755,0.9990694502455093,1.0465979400532195,False,False,5.0363503596673465e-06,-3.753967909389014e-05,4.7612379813224834e-05
16,1024,Muon,Adam,update_grad_cosine,50,45,0.9,1.1052047599569963,1.0830277089261593,1.1278359282632926,True,False,0.06480126778847914,0.05207473789064292,0.07752779768631535
16,1024,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.6325873301990754,0.5971204840718679,0.6701607816224758,False,True,-0.0006976590253640768,-0.0008406648858713098,-0.0005546531648568439
16,1024,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.6535587469333106,0.6158491185822272,0.6935774084996246,False,True,-0.0006297685162983651,-0.000763932250593697,-0.0004956047820030333
16,1024,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.6950969937685277,0.6608211135390125,0.7311507166568773,False,True,-0.18095778160552903,-0.20254562727215977,-0.15936993593889828
16,1024,MuonFirstAdamSecond,Adam,delta_loss,50,0,0.0,0.830974716960314,0.8097282065657219,0.8527787159051222,False,True,-0.00031563870413437556,-0.00038329435685319137,-0.00024798305141555976
16,1024,MuonFirstAdamSecond,Adam,update_grad_inner,50,0,0.0,0.8154108578529167,0.7945904094118741,0.8367768591576126,False,True,-0.00031103554405510655,-0.00037116115984694444,-0.00025090992826326867
16,1024,MuonFirstAdamSecond,Adam,update_grad_cosine,50,0,0.0,0.727866579948763,0.7047706636174296,0.7517193685205583,False,True,-0.16564442647174737,-0.18106047168754982,-0.15022838125594493
32,128,Muon,Adam,delta_loss,50,2,0.04,0.6502832883880267,0.6026782422809676,0.7016486169407871,False,True,-0.0016136963429055394,-0.002049664590361319,-0.0011777280954497601
32,128,Muon,Adam,update_grad_inner,50,1,0.02,0.6734556722887883,0.6259720995303916,0.7245411462878211,False,True,-0.001428613147693711,-0.0018301044794761059,-0.0010271218159113161
32,128,Muon,Adam,update_grad_cosine,50,16,0.32,0.9626727369246368,0.9249699285213656,1.00191235395018,False,False,-0.023626199525285472,-0.04302004429358158,-0.004232354756989361
32,128,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.5736785346742659,0.5378059469484835,0.6119438861049598,False,True,-0.0018520841827714119,-0.0022700941559129738,-0.0014340742096298502
32,128,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.6052818526144164,0.5652561469880908,0.648141772639686,False,True,-0.0016422506808543332,-0.0020345790590348086,-0.0012499223026738579
32,128,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.6399089808937993,0.6028089566212919,0.6792923352096016,False,True,-0.18845345742956204,-0.20953022911980945,-0.16737668573931463
32,128,MuonFirstAdamSecond,Adam,delta_loss,50,2,0.04,0.6712213798628502,0.6365046401860044,0.7078316674224543,False,True,-0.0014649939886354968,-0.0018194814456775233,-0.0011105065315934702
32,128,MuonFirstAdamSecond,Adam,update_grad_inner,50,1,0.02,0.6725703983084248,0.6408535184468891,0.705856997987664,False,True,-0.0013569733880307167,-0.0016831448157353923,-0.0010308019603260412
32,128,MuonFirstAdamSecond,Adam,update_grad_cosine,50,2,0.04,0.713691476062217,0.6809558584259974,0.7480007943264065,False,True,-0.1557082839406239,-0.17551495507265666,-0.13590161280859112
32,1024,Muon,Adam,delta_loss,50,1,0.02,0.7171199619699973,0.681605461782854,0.7544849164070867,False,True,-0.0009901306399593324,-0.0012131924129007961,-0.0007670688670178686
