hidden_dim,num_samples,algo,layer,points,mean_update_grad_inner,mean_update_grad_cosine,mean_nrG,mean_stA
8,128,Adam,1,50,0.0007118002325383697,0.6518143249529347,3.5356982968188913,1.4326331193696915
8,128,Adam,2,50,0.0005287259031260617,0.6459365565592485,3.080864947590373,1.17724703228392
8,128,AdamFirstMuonSecond,1,50,0.0005370062170977817,0.6215237842729942,3.5214769032252144,1.4326331193696915
8,128,AdamFirstMuonSecond,2,50,0.00027316528680627357,0.6081665410487282,2.996254027060195,1.1771181234402932
8,128,Muon,1,50,0.0006994028471955093,0.7022838448740203,3.979399284788247,1.4326331193696915
8,128,Muon,2,50,0.0005877409027749411,0.7216616633756706,4.17837562663956,1.3807634697707147
8,128,MuonFirstAdamSecond,1,50,0.0005595783421748447,0.6758060733017505,3.678029832330753,1.4326331193696915
8,128,MuonFirstAdamSecond,2,50,0.0005723863053300202,0.6703301409319262,4.202325146745412,1.42997369936581
8,1024,Adam,1,50,0.000533843035754451,0.6779078020536357,3.904967236126377,1.4358601595714189
8,1024,Adam,2,50,0.0003691709128622955,0.7369366093497721,3.7320739414058317,1.2393562615855986
8,1024,AdamFirstMuonSecond,1,50,0.00039829577080843114,0.6675868478192153,3.902297189185967,1.4358601595714189
8,1024,AdamFirstMuonSecond,2,50,0.0001655011084038643,0.6627578725231422,3.551772401331524,1.2260076046908897
8,1024,Muon,1,50,0.0005840525832763946,0.7531363274743044,4.5636558960486395,1.4358601595714189
8,1024,Muon,2,50,0.0005319849465670049,0.7541611506420053,4.566754491946253,1.3993701931982148
8,1024,MuonFirstAdamSecond,1,50,0.00041357293308257547,0.7067668037326115,4.0116081976716735,1.4358601595714189
8,1024,MuonFirstAdamSecond,2,50,0.0005124107569682853,0.7382424357453583,4.506161699347086,1.454791028961173
16,128,Adam,1,50,0.0012025144181473677,0.6396779937873598,4.922573962461929,1.4326331193696915
16,128,Adam,2,50,0.0008607410420504242,0.6402783768862815,4.021926556720287,1.2150124141607188
16,128,AdamFirstMuonSecond,1,50,0.00090469956410903,0.61536513080803,5.182333789672859,1.4326331193696915
16,128,AdamFirstMuonSecond,2,50,0.00037618032042135746,0.6328812993900556,4.041262244854593,1.2122948218910592
16,128,Muon,1,50,0.000982388444063875,0.5790693304179357,5.387021251950824,1.4326331193696915
16,128,Muon,2,50,0.0007961049841618604,0.7140842101596785,5.112443532338666,1.428610962575784
16,128,MuonFirstAdamSecond,1,50,0.0007141752111443255,0.549950924374886,4.866607191001287,1.4326331193696915
16,128,MuonFirstAdamSecond,2,50,0.0008251256628296,0.6210432181761532,5.089263072349184,1.4701381660872042
16,1024,Adam,1,50,0.0009714813586703223,0.6836850279708082,5.866546784121633,1.4358601595714189
16,1024,Adam,2,50,0.0006381052343863773,0.7293576246830896,5.104450743232297,1.288409204796479
16,1024,AdamFirstMuonSecond,1,50,0.0007393471506036788,0.6688192065160788,6.2970426750451045,1.4358601595714189
16,1024,AdamFirstMuonSecond,2,50,0.00024047092615465566,0.7170280509705481,5.14905936640032,1.2820597836058414
16,1024,Muon,1,50,0.0008721271377652598,0.6212422821333652,6.198842761686416,1.4358601595714189
