run_id,hidden_dim,target_layer_relative_update_norm,algo,seed,final_loss,final_recovery_error,initial_loss,total_loss_decrease
0,16,0.001,Adam,0,2.3025614781049617,0.8955078125,2.302579040308706,1.7562203744159177e-05
1,16,0.001,Muon,0,2.302567159969153,0.8955078125,2.302579040308706,1.1880339553016483e-05
2,16,0.001,Adam,1,2.3025929429289387,0.9072265625,2.3025328074664575,-6.013546248118118e-05
3,16,0.001,Muon,1,2.30259984964772,0.908203125,2.3025328074664575,-6.704218126252215e-05
4,16,0.001,Adam,2,2.3024471484789566,0.8525390625,2.302489903378648,4.275489969129964e-05
5,16,0.001,Muon,2,2.302455610309206,0.8583984375,2.302489903378648,3.4293069441915236e-05
6,16,0.001,Adam,3,2.3025349292385675,0.912109375,2.3026929964434295,0.0001580672048620002
7,16,0.001,Muon,3,2.302534844820358,0.9140625,2.3026929964434295,0.00015815162307131203
8,16,0.001,Adam,4,2.3026133785072282,0.9697265625,2.3027054241295115,9.204562228326552e-05
9,16,0.001,Muon,4,2.3026228661282593,0.9716796875,2.3027054241295115,8.25580012522309e-05
10,16,0.003,Adam,0,2.302490682950166,0.89453125,2.302579040308706,8.835735853995885e-05
11,16,0.003,Muon,0,2.3025082713875027,0.89453125,2.302579040308706,7.076892120316813e-05
12,16,0.003,Adam,1,2.302499024099814,0.900390625,2.3025328074664575,3.378336664328074e-05
13,16,0.003,Muon,1,2.302518138333663,0.90234375,2.3025328074664575,1.4669132794686846e-05
14,16,0.003,Adam,2,2.3023537896268524,0.8212890625,2.302489903378648,0.0001361137517954525
15,16,0.003,Muon,2,2.3023793045446017,0.8427734375,2.302489903378648,0.00011059883404618276
16,16,0.003,Adam,3,2.302476593174128,0.904296875,2.3026929964434295,0.00021640326930150167
17,16,0.003,Muon,3,2.3024766286848113,0.9072265625,2.3026929964434295,0.00021636775861821889
18,16,0.003,Adam,4,2.3025116793839557,0.9599609375,2.3027054241295115,0.00019374474555577947
19,16,0.003,Muon,4,2.3025372399212425,0.962890625,2.3027054241295115,0.0001681842082690288
20,16,0.01,Adam,0,2.302238388673166,0.8798828125,2.302579040308706,0.0003406516355397571
21,16,0.01,Muon,0,2.3022920172848886,0.8818359375,2.302579040308706,0.00028702302381722333
22,16,0.01,Adam,1,2.3021673649003254,0.857421875,2.3025328074664575,0.00036544256613213477
23,16,0.01,Muon,1,2.302236612093239,0.8681640625,2.3025328074664575,0.00029619537321856626
