group_type,hidden_dim,target_layer_relative_update_norm,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_hidden,16,0.001,update_grad_inner,50,0.3,0.9559066013738826,0.936593521557112,0.97561792764808,False,True,-2.38930182328063e-07,-3.375957539277838e-07,-1.4026461072834225e-07
target_hidden,16,0.001,delta_loss,50,0.32,0.9561735487978379,0.9366002566344128,0.9761558882185116,False,True,-2.3776361507188426e-07,-3.374998272840984e-07,-1.3802740285967012e-07
target_hidden,16,0.001,update_grad_cosine,50,0.3,0.9541447339229754,0.9348685608383681,0.9738183648581863,False,True,-0.03143761043412054,-0.04416005497678136,-0.018715165891459724
target_hidden,16,0.003,update_grad_inner,50,0.32,0.9573721334955307,0.937424479691213,0.9777442576448387,False,True,-6.800838515764229e-07,-9.771714835878944e-07,-3.8299621956495136e-07
target_hidden,16,0.003,delta_loss,50,0.32,0.9589993837657539,0.9387495263304425,0.9796860528474619,False,True,-6.533062950531132e-07,-9.531347318899959e-07,-3.5347785821623065e-07
target_hidden,16,0.003,update_grad_cosine,50,0.3,0.9556370392388546,0.936212918797563,0.9754641625092488,False,True,-0.03049923724946414,-0.04321334692213025,-0.01778512757679803
target_hidden,16,0.01,update_grad_inner,50,0.3,0.9603977967817895,0.9422392664525246,0.9789062724332868,False,True,-2.0738417926552252e-06,-2.964531700573766e-06,-1.1831518847366844e-06
target_hidden,16,0.01,delta_loss,50,0.28,0.9630758888585116,0.9454845997592533,0.9809944740895656,False,True,-1.9317933663298704e-06,-2.792942881534858e-06,-1.0706438511248826e-06
target_hidden,16,0.01,update_grad_cosine,50,0.34,0.9593538293542878,0.9401901084894406,0.9789081607925388,False,True,-0.02758089767291806,-0.03988301608439784,-0.015278779261438277
target_hidden,16,0.03,update_grad_inner,50,0.2,0.9391032230413973,0.9174460675806227,0.9612716155102382,False,True,-1.1359383515328913e-05,-1.5521404513246524e-05,-7.1973625174113025e-06
target_hidden,16,0.03,delta_loss,50,0.28,0.9396202803890626,0.9170778140614085,0.9627168575896895,False,True,-1.158511840922749e-05,-1.605187909631912e-05,-7.118357722135862e-06
target_hidden,16,0.03,update_grad_cosine,50,0.32,0.9708652062850344,0.9540040817848496,0.9880243352957226,False,True,-0.019058806840882153,-0.029618872721882787,-0.00849874095988152
target_hidden,16,0.1,update_grad_inner,50,0.14,0.8927902633452952,0.8673553494471825,0.9189710478319928,False,True,-0.00014794720211481715,-0.00019511330255362084,-0.00010078110167601346
target_hidden,16,0.1,delta_loss,50,0.16,0.8893259033660882,0.8615875390926732,0.9179572899009147,False,True,-0.00016477118859864248,-0.00021771691473969362,-0.00011182546245759134
target_hidden,16,0.1,update_grad_cosine,50,0.46,1.0040795286565327,0.9868025097711084,1.02165903499878,False,False,0.0019410673895088547,-0.008343054394935207,0.012225189173952917
target_hidden,64,0.001,update_grad_inner,50,0.0,0.7380645269473075,0.7276076264394109,0.7486717100584352,False,True,-4.915005978419462e-06,-5.198781266544418e-06,-4.6312306902945065e-06
target_hidden,64,0.001,delta_loss,50,0.0,0.7379713997373526,0.7274615144682177,0.7486331249130302,False,True,-4.916957709042436e-06,-5.2016773220491705e-06,-4.632238096035701e-06
target_hidden,64,0.001,update_grad_cosine,50,0.0,0.738265986512872,0.728044067044254,0.7486314242688474,False,True,-0.15899933694466983,-0.16713408308014754,-0.15086459080919212
target_hidden,64,0.003,update_grad_inner,50,0.0,0.735794348133128,0.7253493375731693,0.7463897665585749,False,True,-1.4930875772464769e-05,-1.5793249775497346e-05,-1.406850176943219e-05
target_hidden,64,0.003,delta_loss,50,0.0,0.7358031823763789,0.7254011062075152,0.7463544217980923,False,True,-1.4922845344278458e-05,-1.577954801668733e-05,-1.4066142671869585e-05
target_hidden,64,0.003,update_grad_cosine,50,0.0,0.7368649610533835,0.7266177146952121,0.7472567208961582,False,True,-0.16016848739896333,-0.16831999944758394,-0.15201697535034273
target_hidden,64,0.01,update_grad_inner,50,0.0,0.7259074537771971,0.7149049286513178,0.7370793098928262,False,True,-5.266196299722289e-05,-5.581105178783096e-05,-4.9512874206614816e-05
target_hidden,64,0.01,delta_loss,50,0.0,0.7252966116456192,0.7141994688132522,0.7365661805079949,False,True,-5.278235414536425e-05,-5.596057095204331e-05,-4.960413733868519e-05
