metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
delta_loss,All,1500,387,1113,0.7151441726033658,0.6990594756983884,0.7315989631606272,-0.006868516370139893,-0.0077705096456016105,-0.005966523094678176,False,False
delta_loss,SmallMLPDigits,1500,387,1113,0.7151441726033658,0.6990594756983884,0.7315989631606272,-0.006868516370139893,-0.0077705096456016105,-0.005966523094678176,False,False
update_grad_inner,All,1500,396,1104,0.7247454777321959,0.7089328573635482,0.7409107957651229,-0.006397910688383113,-0.0072666083557105035,-0.005529213021055723,False,False
update_grad_inner,SmallMLPDigits,1500,396,1104,0.7247454777321959,0.7089328573635482,0.7409107957651229,-0.006397910688383113,-0.0072666083557105035,-0.005529213021055723,False,False
update_grad_cosine,All,1500,634,866,0.9563936316791806,0.9443039816999262,0.9686380619404769,-0.01619723124382281,-0.0231002891083212,-0.009294173379324418,False,False
update_grad_cosine,SmallMLPDigits,1500,634,866,0.9563936316791806,0.9443039816999262,0.9686380619404769,-0.01619723124382281,-0.0231002891083212,-0.009294173379324418,False,False
update_grad_per_update_norm,All,1500,444,1056,0.7880138138430157,0.7740317825121381,0.8022484151646283,-0.01820055906094159,-0.01993431588619022,-0.01646680223569296,False,False
update_grad_per_update_norm,SmallMLPDigits,1500,444,1056,0.7880138138430157,0.7740317825121381,0.8022484151646283,-0.01820055906094159,-0.01993431588619022,-0.01646680223569296,False,False
relative_update_fro_norm,All,1500,580,649,1.0,1.0,1.0,-3.300600533625205e-18,-6.538685929192459e-18,-6.251513805795138e-20,False,False
relative_update_fro_norm,SmallMLPDigits,1500,580,649,1.0,1.0,1.0,-3.300600533625205e-18,-6.538685929192459e-18,-6.251513805795138e-20,False,False
