problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
SmallMLPDigits,MLP width sweep hidden=128 samples=1024 lr=1e-02,1.0,0.01,Adam,5,2.2497304978978896,0.4921875,6.531055243165789,1.35963368285376,4.785266130300487,0.08488461224182714,0.08697884662000371,0.005504424270420971
SmallMLPDigits,MLP width sweep hidden=128 samples=1024 lr=1e-02,1.0,0.01,Muon,5,2.2772080240103727,0.24609375,7.77657890081341,1.4307981423072813,5.438119199859125,0.0848846122418272,0.08296589388480688,0.0031529800331115965
SmallMLPDigits,MLP width sweep hidden=128 samples=1024 lr=3e-02,1.0,0.03,Adam,5,1.8676795562630444,0.4228515625,6.04288622571514,1.3957120584114235,4.332735781844251,0.20665456008274907,0.20410890883771807,0.04030139487662754
SmallMLPDigits,MLP width sweep hidden=128 samples=1024 lr=3e-02,1.0,0.03,Muon,5,2.172395341196221,0.2177734375,7.630327198263825,1.4489687902207757,5.253041796502276,0.20665456008274904,0.19027029344293758,0.01581035615940074
SmallMLPDigits,MLP width sweep hidden=128 samples=1024 lr=3e-03,1.0,0.003,Adam,5,2.2927122329669825,0.5146484375,7.4701292856927655,1.3740948453851058,5.454260554772754,0.026343462583270243,0.027644363317984533,0.0011080812821202546
SmallMLPDigits,MLP width sweep hidden=128 samples=1024 lr=3e-03,1.0,0.003,Muon,5,2.2965294620752883,0.431640625,7.946623363011147,1.391122479822663,5.71487265681403,0.026343462583270236,0.026299663977220496,0.0007752541724084239
SmallMLPDigits,MLP width sweep hidden=128 samples=128 lr=1e-02,1.0,0.01,Adam,5,2.2532058209387724,0.6171875,4.939922022232996,1.3096157648160358,3.918180461260355,0.08521642213893685,0.08923104846242912,0.006760905949511953
SmallMLPDigits,MLP width sweep hidden=128 samples=128 lr=1e-02,1.0,0.01,Muon,5,2.2820758604171454,0.3671875,6.221536219357194,1.418016681792039,4.451124868787733,0.08521642213893688,0.08376646974693887,0.0036693152484899016
SmallMLPDigits,MLP width sweep hidden=128 samples=128 lr=3e-02,1.0,0.03,Adam,5,1.9668373821090295,0.5078125,4.939521453565073,1.3284406842193008,3.5798663008498823,0.21025068978517952,0.21011449053786227,0.04325817824268019
SmallMLPDigits,MLP width sweep hidden=128 samples=128 lr=3e-02,1.0,0.03,Muon,5,2.2019856053816875,0.28125,6.28219701362636,1.4380816354404633,4.303858837598614,0.21025068978517986,0.19698938788458953,0.017327267665196766
SmallMLPDigits,MLP width sweep hidden=128 samples=128 lr=3e-03,1.0,0.003,Adam,5,2.2921790785767504,0.609375,5.894553917235907,1.3483858895489729,4.56159254485344,0.02636382848772409,0.02808516745607261,0.0013595378293627114
SmallMLPDigits,MLP width sweep hidden=128 samples=128 lr=3e-03,1.0,0.003,Muon,5,2.296890970842431,0.546875,6.247739392501577,1.375769943944599,4.705341105587426,0.026363828487724072,0.02634345214970699,0.0009518131822672249
SmallMLPDigits,MLP width sweep hidden=16 samples=1024 lr=1e-02,1.0,0.01,Adam,5,2.287129403982444,0.6748046875,5.306774235821031,1.3401173684887402,3.8686879551722466,0.12438377880427393,0.12313357042950111,0.0016040956004588214
