metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,150,150,0,1.9840830725830856,1.904424099528937,2.067074051354664,12.604343901197902,11.207376832490791,14.001310969905013,True,True
nrUpdate,SmallMLPDigits,150,150,0,1.9840830725830856,1.904424099528937,2.067074051354664,12.604343901197902,11.207376832490791,14.001310969905013,True,True
stUpdate,All,150,150,0,6.729522961669705,6.217773889231514,7.283391145836115,20.214615056047023,18.343570653462955,22.085659458631092,True,True
stUpdate,SmallMLPDigits,150,150,0,6.729522961669705,6.217773889231514,7.283391145836115,20.214615056047023,18.343570653462955,22.085659458631092,True,True
nrUpdateFrac,All,150,150,0,1.6319298723798552,1.6056706544542168,1.6586185348644717,0.384119661199758,0.3740740084142992,0.39416531398521676,True,True
nrUpdateFrac,SmallMLPDigits,150,150,0,1.6319298723798552,1.6056706544542168,1.6586185348644717,0.384119661199758,0.3740740084142992,0.39416531398521676,True,True
stUpdateFrac,All,150,150,0,4.575190596580785,4.417194008950476,4.738838491727185,0.7761440303906357,0.7680865970128804,0.7842014637683911,True,True
stUpdateFrac,SmallMLPDigits,150,150,0,4.575190596580785,4.417194008950476,4.738838491727185,0.7761440303906357,0.7680865970128804,0.7842014637683911,True,True
update_flatness,All,150,150,0,3.0659891104797468,2.9787774798933855,3.1557540934265553,0.6684822846079267,0.6585651290909442,0.6783994401249092,True,True
update_flatness,SmallMLPDigits,150,150,0,3.0659891104797468,2.9787774798933855,3.1557540934265553,0.6684822846079267,0.6585651290909442,0.6783994401249092,True,True
