metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
norm_rank_plane_mean_speed,All,150,69,81,1.0087526767496873,0.9839540490411262,1.0341763051245165,0.0042074782435343955,-0.016497016182089812,0.0249119726691586,False,False
norm_rank_plane_mean_speed,SmallMLPDigits,150,69,81,1.0087526767496873,0.9839540490411262,1.0341763051245165,0.0042074782435343955,-0.016497016182089812,0.0249119726691586,False,False
norm_condition_mean_speed,All,150,58,92,1.023437359287018,0.9966234363483572,1.0509727046176656,0.012609291391254314,-0.009111430609814482,0.03433001339232311,False,False
norm_condition_mean_speed,SmallMLPDigits,150,58,92,1.023437359287018,0.9966234363483572,1.0509727046176656,0.012609291391254314,-0.009111430609814482,0.03433001339232311,False,False
condition_score_mean_abs_speed,All,150,58,92,1.023437359287018,0.9966234363483572,1.0509727046176656,0.010117788055094107,-8.375193298559153e-06,0.020243951303486774,False,False
condition_score_mean_abs_speed,SmallMLPDigits,150,58,92,1.023437359287018,0.9966234363483572,1.0509727046176656,0.010117788055094107,-8.375193298559153e-06,0.020243951303486774,False,False
condition_score_std_speed,All,150,67,83,1.0107219426171974,0.9791630256193247,1.0432980193893056,0.007868967178566078,-0.005855717375595907,0.021593651732728064,False,False
condition_score_std_speed,SmallMLPDigits,150,67,83,1.0107219426171974,0.9791630256193247,1.0432980193893056,0.007868967178566078,-0.005855717375595907,0.021593651732728064,False,False
delta_gd_pred_mean_rel_speed,All,150,115,35,0.8525373345617794,0.8220723901547848,0.8841312705865882,-0.05036729318924334,-0.06138404895939416,-0.039350537419092516,True,True
delta_gd_pred_mean_rel_speed,SmallMLPDigits,150,115,35,0.8525373345617794,0.8220723901547848,0.8841312705865882,-0.05036729318924334,-0.06138404895939416,-0.039350537419092516,True,True
delta_spec_pred_mean_rel_speed,All,150,105,45,0.8749874125430774,0.8424659997193693,0.9087642378017116,-0.03115712144746321,-0.039518891699516875,-0.022795351195409545,True,True
delta_spec_pred_mean_rel_speed,SmallMLPDigits,150,105,45,0.8749874125430774,0.8424659997193693,0.9087642378017116,-0.03115712144746321,-0.039518891699516875,-0.022795351195409545,True,True
loss_mean_rel_speed,All,150,139,11,0.5000392411656402,0.4604385247207212,0.5430458775298408,-0.0036048266141105443,-0.0046126823770805455,-0.002596970851140543,True,True
loss_mean_rel_speed,SmallMLPDigits,150,139,11,0.5000392411656402,0.4604385247207212,0.5430458775298408,-0.0036048266141105443,-0.0046126823770805455,-0.002596970851140543,True,True
median_relative_update_fro_norm,All,150,58,47,1.0,0.9999999999999999,1.0,-1.4340380734741605e-18,-9.411658340996675e-18,6.543582194048353e-18,False,False
median_relative_update_fro_norm,SmallMLPDigits,150,58,47,1.0,0.9999999999999999,1.0,-1.4340380734741605e-18,-9.411658340996675e-18,6.543582194048353e-18,False,False
median_mean_relative_layer_update_norm,All,150,69,81,1.0247217529328565,1.0105075798442535,1.039135867833498,0.0013989297260424568,-0.00011176584344287348,0.002909625295527787,False,False
median_mean_relative_layer_update_norm,SmallMLPDigits,150,69,81,1.0247217529328565,1.0105075798442535,1.039135867833498,0.0013989297260424568,-0.00011176584344287348,0.002909625295527787,False,False
relative_update_fro_norm_mean_abs_speed,All,150,68,59,0.9999999999999973,0.9999999999999917,1.0000000000000029,-1.4939402435039847e-19,-1.738237352013513e-18,1.439449303312716e-18,False,False
relative_update_fro_norm_mean_abs_speed,SmallMLPDigits,150,68,59,0.9999999999999973,0.9999999999999917,1.0000000000000029,-1.4939402435039847e-19,-1.738237352013513e-18,1.439449303312716e-18,False,False
mean_relative_layer_update_norm_mean_abs_speed,All,150,34,116,1.1537107204166819,1.0933524373566268,1.2174010693408472,0.0027029673433642664,0.001984838034322976,0.003421096652405557,False,False
mean_relative_layer_update_norm_mean_abs_speed,SmallMLPDigits,150,34,116,1.1537107204166819,1.0933524373566268,1.2174010693408472,0.0027029673433642664,0.001984838034322976,0.003421096652405557,False,False
update_normalized_rank_plane_mean_speed,All,150,69,81,1.0087526767496873,0.9839540490411262,1.0341763051245165,-0.12621929801101958,-0.4667050367875024,0.21426644076546322,False,False
update_normalized_rank_plane_mean_speed,SmallMLPDigits,150,69,81,1.0087526767496873,0.9839540490411262,1.0341763051245165,-0.12621929801101958,-0.4667050367875024,0.21426644076546322,False,False
update_normalized_condition_mean_speed,All,150,58,92,1.023437359287018,0.9966234363483572,1.0509727046176656,-0.1114133599098614,-0.4725433502827699,0.2497166304630471,False,False
update_normalized_condition_mean_speed,SmallMLPDigits,150,58,92,1.023437359287018,0.9966234363483572,1.0509727046176656,-0.1114133599098614,-0.4725433502827699,0.2497166304630471,False,False
per_update_rank_plane_mean_speed,All,150,62,88,1.0214912289090738,0.9964540935049393,1.0471574531526553,-0.07056308879591856,-0.4113427725786416,0.2702165949868045,False,False
per_update_rank_plane_mean_speed,SmallMLPDigits,150,62,88,1.0214912289090738,0.9964540935049393,1.0471574531526553,-0.07056308879591856,-0.4113427725786416,0.2702165949868045,False,False
per_update_condition_mean_speed,All,150,57,93,1.0243996942817253,0.9966507161467686,1.0529212658388905,-0.10379232443536339,-0.4666882489859872,0.2591036001152604,False,False
per_update_condition_mean_speed,SmallMLPDigits,150,57,93,1.0243996942817253,0.9966507161467686,1.0529212658388905,-0.10379232443536339,-0.4666882489859872,0.2591036001152604,False,False
