hidden_dim,num_samples,algo,layer,points,mean_nrG,mean_stA,mean_condition_score,mean_grad_rank_fraction,mean_update_grad_cosine,mean_update_grad_inner
8,128,Adam,1,150,3.4391141025178276,1.4326331193696915,2.40082771511168,0.42988926281472845,0.6440511322783942,0.001884197038262081
8,128,Adam,2,150,3.0850965371864048,1.193931782486769,2.56450394128615,0.3856370671483006,0.634918564519881,0.0018292748245926597
8,128,Muon,1,150,3.9710707643653147,1.4326331193696915,2.7714575686437852,0.49638384554566434,0.7015553786828397,0.0019417480573896502
8,128,Muon,2,150,4.137888775101012,1.3811513049797564,3.0094925092085942,0.5172360968876265,0.7179091238947419,0.0016423674609626537
8,1024,Adam,1,150,3.891427579802482,1.4358601595714187,2.7100487269440525,0.4864284474753103,0.6726649312902111,0.0014701674711881491
8,1024,Adam,2,150,3.77255537495197,1.268887038787782,2.986401195252714,0.47156942186899625,0.7293537030324699,0.001226208837541908
8,1024,Muon,1,150,4.478420792261678,1.4358601595714187,3.1189112631746507,0.5598025990327098,0.7457000347998798,0.0016725421253966496
8,1024,Muon,2,150,4.540322747900067,1.4089327957617528,3.239647871321908,0.5675403434875084,0.7515269857049731,0.001496759842927562
16,128,Adam,1,150,4.910947905406879,1.4326331193696915,3.4265214182306325,0.30693424408792996,0.6340909105109622,0.003383434212805475
16,128,Adam,2,150,4.019342068399518,1.2335349857763567,3.244978088531527,0.40193420683995174,0.6279910931225583,0.0031430185045372362
16,128,Muon,1,150,5.378911797585492,1.4326331193696915,3.754012668782856,0.33618198734909327,0.5785863875184313,0.0026023331252680543
16,128,Muon,2,150,5.0595907577828205,1.4330961170245797,3.5610458395469036,0.505959075778282,0.7101105947102732,0.0020991620625639856
16,1024,Adam,1,150,5.7713949043918005,1.4358601595714187,4.019566015775026,0.36071218152448753,0.6798974174786404,0.0025646062080065383
16,1024,Adam,2,150,5.074920890490949,1.3063955720114755,3.909209968627406,0.5074920890490949,0.7204736218109086,0.0021023918284814825
16,1024,Muon,1,150,6.197636258466329,1.4358601595714187,4.3164053705314345,0.3873522661541456,0.6212046894604075,0.00230320828999281
16,1024,Muon,2,150,5.9478601153833575,1.4671188735168457,4.085730076394334,0.5947860115383357,0.770064740437652,0.0020054247492708563
32,128,Adam,1,150,5.6560959666698105,1.4326331193696915,3.9463508238952736,0.17675299895843158,0.625048609694395,0.005976412317933697
32,128,Adam,2,150,4.337758517025251,1.2062050815333698,3.5753836561818413,0.43377585170252514,0.6232805774417607,0.005359343993879451
32,128,Muon,1,150,6.220336005929893,1.4326331193696915,4.340132950111901,0.19438550018530915,0.43972787565567834,0.0030159630582131097
32,128,Muon,2,150,5.403478795587294,1.3862121343609064,3.9065178757913426,0.5403478795587294,0.7337855878431018,0.0024627867405627806
32,1024,Adam,1,150,6.8943276304934775,1.4358601595714187,4.801437933594014,0.21544773845292117,0.6752070414056464,0.004918906293253122
32,1024,Adam,2,150,5.713816514742353,1.2952345874360924,4.411470514978349,0.5713816514742354,0.7235877991036239,0.004052800782555665
32,1024,Muon,1,150,7.327818722542929,1.4358601595714187,5.10340664550657,0.22899433507946654,0.4781017779210302,0.002582408251443789
32,1024,Muon,2,150,6.524966003825165,1.4238137717264079,4.589634174031837,0.6524966003825164,0.8072972912580126,0.0022429172173139655
64,128,Adam,1,150,6.357196297857231,1.4326331193696915,4.435690527375044,0.09933119215401924,0.6218315716780729,0.01156543716537247
64,128,Adam,2,150,4.550529688601237,1.1988166504832387,3.779553893207432,0.4550529688601238,0.613717614402732,0.010036633866263583
64,128,Muon,1,150,6.869587045609892,1.4326331193696915,4.794192540284888,0.10733729758765456,0.3268601554566373,0.0035338122793909296
64,128,Muon,2,150,5.417302060090009,1.3336439061140433,4.065221469256633,0.5417302060090009,0.7341471476236441,0.0028506523059390033
64,1024,Adam,1,150,7.606897192189316,1.4358601595714187,5.297767489213445,0.11885776862795806,0.663374990926644,0.010245921978107406
64,1024,Adam,2,150,5.990032477545391,1.2886726115588965,4.653610387456714,0.5990032477545392,0.7107606654843514,0.008335809609290784
64,1024,Muon,1,150,8.130735386160968,1.4358601595714187,5.66262601685622,0.12704274040876512,0.35618204424635297,0.0030389569508994605
64,1024,Muon,2,150,6.6722130467827885,1.3622511275142053,4.907890752659822,0.6672213046782789,0.8164112676030524,0.002542681235341143
128,128,Adam,1,150,6.743907551406517,1.4326331193696915,4.70478123390714,0.10537355549072683,0.6201674020293197,0.011329402650558111
128,128,Adam,2,150,4.750608068419307,1.2182254751523023,3.8802383183209175,0.4750608068419308,0.6086010713645081,0.009062321909884636
128,128,Muon,1,150,7.186751718385352,1.4326331193696915,5.014324547743302,0.11229299559977113,0.33425748290227425,0.0041699860839305245
128,128,Muon,2,150,5.507314266905607,1.3394063868262465,4.10987630112892,0.5507314266905606,0.7399598082295957,0.0033663435594775124
128,1024,Adam,1,150,8.231912470510952,1.4358601595714187,5.733024687884076,0.12862363235173363,0.6693490656275848,0.010005186825670611
128,1024,Adam,2,150,6.220611907335573,1.2892389619594402,4.8261713442468155,0.6220611907335574,0.7055789380077909,0.007525780517213635
128,1024,Muon,1,150,8.719149234461653,1.4358601595714187,6.072348861724817,0.13623670678846334,0.368818782989274,0.0035306751542974408
128,1024,Muon,2,150,6.793158924868277,1.3588983511747723,5.006737355712373,0.6793158924868277,0.8237745584726849,0.002937421400985692
