group_type,hidden_dim,num_samples,metric,n_pairs,muon_higher_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
hidden_samples,8,128,update_grad_inner,150,101,0.6733333333333333,1.076976466405149,1.0433213948789013,1.1117171706472564,True,False,-0.00012935634450243657,-0.00039738809442920934,0.0001386754054243362
hidden_samples,8,128,update_grad_cosine,150,137,0.9133333333333333,1.3124971501739275,1.2660578531196625,1.3606398514648794,True,False,0.15840486445835072,0.13934536265043646,0.177464366266265
hidden_samples,8,128,delta_loss,150,97,0.6466666666666666,1.0635767406896346,1.0276831242708484,1.1007240039468202,True,False,-0.00019952851982880956,-0.0004842583161903903,8.520127653277118e-05
hidden_samples,8,1024,update_grad_inner,150,142,0.9466666666666667,1.2078870664674966,1.1800189622209794,1.2364133222006923,True,False,0.00047292565959415427,0.00027978142499226035,0.0006660698941960482
hidden_samples,8,1024,update_grad_cosine,150,149,0.9933333333333333,1.234440310571939,1.211331884740979,1.2579895729325996,True,False,0.1407013894221358,0.12828569015758556,0.15311708868668605
hidden_samples,8,1024,delta_loss,150,141,0.94,1.2240919205153606,1.1959459474907719,1.2529002945449137,True,False,0.0004663464807614807,0.00026707258895053996,0.0006656203725724215
hidden_samples,16,128,update_grad_inner,150,53,0.35333333333333333,0.9114166031645741,0.8784976960210548,0.9455690416564758,False,True,-0.0018249575295106713,-0.002550662510729363,-0.0010992525482919797
hidden_samples,16,128,update_grad_cosine,150,129,0.86,1.1740902724736781,1.143822893767098,1.205158574311592,True,False,0.08789111533892277,0.07441378234383474,0.1013684483340108
hidden_samples,16,128,delta_loss,150,46,0.30666666666666664,0.8998223757250108,0.8660007843063225,0.9349648666934713,False,True,-0.0020705752327116133,-0.0028395932830247795,-0.001301557182398447
hidden_samples,16,1024,update_grad_inner,150,91,0.6066666666666667,1.0048946028028345,0.9867269408621505,1.0233967685730203,False,False,-0.00035836499722435476,-0.0006013092089988592,-0.00011542078544985032
hidden_samples,16,1024,update_grad_cosine,150,124,0.8266666666666667,1.1074829336951364,1.0907111455905487,1.1245126203985993,True,False,0.06521980591734323,0.05558057889149673,0.07485903294318974
hidden_samples,16,1024,delta_loss,150,89,0.5933333333333334,1.0083481619029198,0.9884637841203067,1.0286325426863039,False,False,-0.0004526791854037023,-0.000724087111924351,-0.00018127125888305366
hidden_samples,32,128,update_grad_inner,150,6,0.04,0.6775776899360446,0.6450351430894764,0.7117620347010779,False,True,-0.005857006513037257,-0.007723545642658076,-0.0039904673834164385
hidden_samples,32,128,update_grad_cosine,150,57,0.38,0.9859332086588072,0.9602757351037422,1.0122762206745077,False,False,-0.012344578635837558,-0.024921256096235044,0.00023209882455992557
hidden_samples,32,128,delta_loss,150,8,0.05333333333333334,0.6583677305169013,0.6261658784021241,0.6922256282825021,False,True,-0.006374854286362455,-0.008310556890267766,-0.004439151682457144
hidden_samples,32,1024,update_grad_inner,150,0,0.0,0.7196349623099735,0.6925223238524131,0.7478090758114591,False,True,-0.004146381607051032,-0.005467672992737808,-0.0028250902213642565
hidden_samples,32,1024,update_grad_cosine,150,24,0.16,0.9407466682846829,0.9313840214589365,0.950203432202374,False,True,-0.03675605261164184,-0.0426781391966651,-0.03083396602661858
hidden_samples,32,1024,delta_loss,150,3,0.02,0.7087091162146634,0.6806673755275553,0.7379061043089996,False,True,-0.004616327592020456,-0.006053228881471534,-0.003179426302569378
hidden_samples,64,128,update_grad_inner,150,1,0.006666666666666667,0.4787983441717671,0.4479248407749368,0.5117998233476254,False,True,-0.015217606446306119,-0.019859520991449484,-0.010575691901162754
hidden_samples,64,128,update_grad_cosine,150,8,0.05333333333333334,0.7677848866303624,0.7484105140964016,0.7876608105241915,False,True,-0.12704643892765569,-0.1385624493116944,-0.11553042854361698
hidden_samples,64,128,delta_loss,150,1,0.006666666666666667,0.4668888190941806,0.43619921982246634,0.49973764163053463,False,True,-0.015984710994144655,-0.020683289649009867,-0.011286132339279442
hidden_samples,64,1024,update_grad_inner,150,0,0.0,0.49424074326705175,0.46386660148070724,0.5266037941197356,False,True,-0.013000093401157585,-0.01701750199987626,-0.008982684802438912
hidden_samples,64,1024,update_grad_cosine,150,0,0.0,0.7418128362270808,0.7359824365523239,0.7476894239067128,False,True,-0.15606969640592014,-0.1607306481227223,-0.15140874468911797
hidden_samples,64,1024,delta_loss,150,0,0.0,0.48487590994265484,0.4540115175150558,0.5178385106384907,False,True,-0.014019317510589354,-0.01825282338670337,-0.009785811634475339
hidden_samples,128,128,update_grad_inner,150,2,0.013333333333333334,0.5331612212114175,0.5045040644045277,0.5634461798423105,False,True,-0.012855394917034711,-0.016499223696597926,-0.009211566137471497
hidden_samples,128,128,update_grad_cosine,150,6,0.04,0.7685415895100978,0.750229695061829,0.7873004477089242,False,True,-0.1278996856098991,-0.13894293710972408,-0.1168564341100741
hidden_samples,128,128,delta_loss,150,2,0.013333333333333334,0.5228977487445137,0.4939588824821521,0.5535320151914871,False,True,-0.013520945081833673,-0.017260032860095843,-0.009781857303571504
hidden_samples,128,1024,update_grad_inner,150,0,0.0,0.5454614426656594,0.5170883192487103,0.5753914261052893,False,True,-0.011062870787601113,-0.014290357095058014,-0.007835384480144213
hidden_samples,128,1024,update_grad_cosine,150,0,0.0,0.7485801356163083,0.7433740932557951,0.7538226372472014,False,True,-0.1540730353840263,-0.15822431993461097,-0.14992175083344164
hidden_samples,128,1024,delta_loss,150,0,0.0,0.5362761346728704,0.5072561914334724,0.5669562983685983,False,True,-0.011912571779265704,-0.015331563479042552,-0.008493580079488857
hidden_all_samples,8,All,update_grad_inner,300,243,0.81,1.1405551037370556,1.1172459549563638,1.1643505522572724,True,False,0.0001717846575458588,3.379441874816979e-06,0.0003401898732169006
hidden_all_samples,8,All,update_grad_cosine,300,286,0.9533333333333334,1.272870531391739,1.2470158016549726,1.2992613145200296,True,False,0.14955312694024325,0.13815454702836114,0.16095170685212537
hidden_all_samples,8,All,delta_loss,300,238,0.7933333333333333,1.1410152037226509,1.1160613186013477,1.166527029856933,True,False,0.00013340898046633557,-4.4125474130534017e-05,0.00031094343506320513
hidden_all_samples,16,All,update_grad_inner,300,144,0.48,0.9570149556955593,0.9369813147070254,0.9774769368921186,False,True,-0.001091661263367513,-0.0014826043140624672,-0.0007007182126725588
hidden_all_samples,16,All,update_grad_cosine,300,253,0.8433333333333334,1.1403003724379253,1.1228740426627597,1.1579971483699125,True,False,0.076555460628133,0.0681852938436685,0.08492562741259749
hidden_all_samples,16,All,delta_loss,300,135,0.45,0.9525409380186413,0.9314206693981716,0.9741401156447369,False,True,-0.0012616272090576579,-0.001678897492963515,-0.0008443569251518009
hidden_all_samples,32,All,update_grad_inner,300,6,0.02,0.6982897646100825,0.6768236333968624,0.720436715414295,False,True,-0.005001694060044145,-0.006147325449044322,-0.003856062671043968
hidden_all_samples,32,All,update_grad_cosine,300,81,0.27,0.9630749613591871,0.9494280786380788,0.9769180015483481,False,True,-0.024550315623739695,-0.031625873929056934,-0.017474757318422456
hidden_all_samples,32,All,delta_loss,300,11,0.03666666666666667,0.6830748219916225,0.6613786848506413,0.7054826880976014,False,True,-0.005495590939191455,-0.006703059867992524,-0.004288122010390387
hidden_all_samples,64,All,update_grad_inner,300,1,0.0033333333333333335,0.48645827107624334,0.46469256499596334,0.5092434597066202,False,True,-0.014108849923731853,-0.017175773394042807,-0.011041926453420899
hidden_all_samples,64,All,update_grad_cosine,300,8,0.02666666666666667,0.7546871433670755,0.7446115790771799,0.7648990431621021,False,True,-0.14155806766678788,-0.14797385698178406,-0.1351422783517917
hidden_all_samples,64,All,delta_loss,300,1,0.0033333333333333335,0.47579737388970783,0.4539179785156661,0.4987313825740639,False,True,-0.015002014252367003,-0.018160932827393724,-0.011843095677340282
hidden_all_samples,128,All,update_grad_inner,300,2,0.006666666666666667,0.5392762639829094,0.5190511161565178,0.5602894972056458,False,True,-0.011959132852317911,-0.014391014548890522,-0.0095272511557453
hidden_all_samples,128,All,update_grad_cosine,300,6,0.02,0.7584951992611701,0.7490208545368051,0.768089384718156,False,True,-0.14098636049696273,-0.14705930497521028,-0.13491341601871518
hidden_all_samples,128,All,delta_loss,300,2,0.006666666666666667,0.5295446945498119,0.5089855557195481,0.5509342659624789,False,True,-0.012716758430549691,-0.015247453212846842,-0.01018606364825254
