condition,condition_label,problem_family,bin,bin_min,bin_max,n_pairs,muon_first_order_win_rate,muon_delta_loss_win_rate,geomean_first_order_ratio_muon_over_adam,first_order_ratio_ci95_low,first_order_ratio_ci95_high,geomean_delta_loss_ratio_muon_over_adam,delta_loss_ratio_ci95_low,delta_loss_ratio_ci95_high
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,middle,0.3901431986818906,0.4490757505699502,500,0.158,0.15,0.6673761449991238,0.6429302773538541,0.6927515075927253,0.6579153672319854,0.6330685401785671,0.6837373885581255
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,low,0.2175536151918282,0.3900472158882974,500,0.028,0.026,0.5687970548824716,0.5502436747448188,0.5879760267903376,0.5563621857485999,0.5377703020517488,0.5755968311191217
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,high,0.44960173323209546,0.7628102869789977,500,0.606,0.598,1.0028327866594726,0.9788735033275804,1.027378506600208,0.9992017297066561,0.9743440502991839,1.024693583690691
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,middle,0.3901431986818906,0.4490757505699502,500,0.158,0.15,0.6673761449991238,0.6429302773538541,0.6927515075927253,0.6579153672319854,0.6330685401785671,0.6837373885581255
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,low,0.2175536151918282,0.3900472158882974,500,0.028,0.026,0.5687970548824716,0.5502436747448188,0.5879760267903376,0.5563621857485999,0.5377703020517488,0.5755968311191217
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,high,0.44960173323209546,0.7628102869789977,500,0.606,0.598,1.0028327866594726,0.9788735033275804,1.027378506600208,0.9992017297066561,0.9743440502991839,1.024693583690691
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,high,0.40384896729052366,0.6339734754908232,500,0.566,0.576,1.008683511406073,0.9898120265237952,1.0279147948481977,1.0165046652489693,0.996679771459143,1.036723894737214
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,middle,0.33221487633333646,0.40372699329406064,500,0.166,0.144,0.7208884976245817,0.7002928805668354,0.7420898318811749,0.7110067668665675,0.6901175834877624,0.7325282453682241
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,low,0.15320394612844263,0.3322116466591071,500,0.06,0.054,0.523520297795159,0.5033804645189001,0.5444659090325931,0.5060549789241902,0.48670774718300114,0.526171286929757
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,SmallMLPDigits,high,0.40384896729052366,0.6339734754908232,500,0.566,0.576,1.008683511406073,0.9898120265237952,1.0279147948481977,1.0165046652489693,0.996679771459143,1.036723894737214
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,SmallMLPDigits,middle,0.33221487633333646,0.40372699329406064,500,0.166,0.144,0.7208884976245817,0.7002928805668354,0.7420898318811749,0.7110067668665675,0.6901175834877624,0.7325282453682241
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,SmallMLPDigits,low,0.15320394612844263,0.3322116466591071,500,0.06,0.054,0.523520297795159,0.5033804645189001,0.5444659090325931,0.5060549789241902,0.48670774718300114,0.526171286929757
pair_mean_grad_rank_fraction,pair mean nr(G_i)/r_i,All,middle,0.36486503536383963,0.42446126964268166,500,0.162,0.146,0.6925638025912136,0.6699316108476525,0.7159605740244377,0.6828718588282462,0.6598916962646666,0.7066522858510359
pair_mean_grad_rank_fraction,pair mean nr(G_i)/r_i,All,low,0.20287067425954144,0.36485185818362215,500,0.024,0.018,0.5351567277792656,0.5164972913404694,0.5544902714671237,0.519684858753459,0.5014855587065974,0.5385446255205389
pair_mean_grad_rank_fraction,pair mean nr(G_i)/r_i,All,high,0.42454372756233116,0.6707174505021052,500,0.606,0.61,1.0271071766293751,1.0075794001536758,1.047013418617596,1.0306270406595324,1.0102668719475008,1.0513975331003658
pair_mean_grad_rank_fraction,pair mean nr(G_i)/r_i,SmallMLPDigits,middle,0.36486503536383963,0.42446126964268166,500,0.162,0.146,0.6925638025912136,0.6699316108476525,0.7159605740244377,0.6828718588282462,0.6598916962646666,0.7066522858510359
pair_mean_grad_rank_fraction,pair mean nr(G_i)/r_i,SmallMLPDigits,low,0.20287067425954144,0.36485185818362215,500,0.024,0.018,0.5351567277792656,0.5164972913404694,0.5544902714671237,0.519684858753459,0.5014855587065974,0.5385446255205389
pair_mean_grad_rank_fraction,pair mean nr(G_i)/r_i,SmallMLPDigits,high,0.42454372756233116,0.6707174505021052,500,0.606,0.61,1.0271071766293751,1.0075794001536758,1.047013418617596,1.0306270406595324,1.0102668719475008,1.0513975331003658
delta_mean_grad_rank_fraction,Muon - Adam mean nr(G_i)/r_i,All,low,-0.05480934613099164,0.016812171198785975,500,0.276,0.288,0.8362231346827365,0.819530933956754,0.8532553220444048,0.8465393327437775,0.8284348745130107,0.8650394423623764
delta_mean_grad_rank_fraction,Muon - Adam mean nr(G_i)/r_i,All,middle,0.01694422799794193,0.07906141433825337,500,0.216,0.214,0.6679263678589339,0.6427036690645516,0.694138923355703,0.6547781502415434,0.629169756390733,0.6814288539442771
delta_mean_grad_rank_fraction,Muon - Adam mean nr(G_i)/r_i,All,high,0.07908993654531943,0.3436285529957467,500,0.3,0.272,0.6815626383382739,0.649835732547158,0.7148385456703373,0.6598412957615993,0.6290129221304032,0.6921805900548478
delta_mean_grad_rank_fraction,Muon - Adam mean nr(G_i)/r_i,SmallMLPDigits,low,-0.05480934613099164,0.016812171198785975,500,0.276,0.288,0.8362231346827365,0.819530933956754,0.8532553220444048,0.8465393327437775,0.8284348745130107,0.8650394423623764
delta_mean_grad_rank_fraction,Muon - Adam mean nr(G_i)/r_i,SmallMLPDigits,middle,0.01694422799794193,0.07906141433825337,500,0.216,0.214,0.6679263678589339,0.6427036690645516,0.694138923355703,0.6547781502415434,0.629169756390733,0.6814288539442771
delta_mean_grad_rank_fraction,Muon - Adam mean nr(G_i)/r_i,SmallMLPDigits,high,0.07908993654531943,0.3436285529957467,500,0.3,0.272,0.6815626383382739,0.649835732547158,0.7148385456703373,0.6598412957615993,0.6290129221304032,0.6921805900548478
condition_score_Muon,Muon condition score,All,high,4.830694192931247,6.511221583989727,498,0.020080321285140562,0.028112449799196786,0.5852278523005693,0.5664163565691382,0.604664104657669,0.5768364192052965,0.5576631770334156,0.596668864334305
condition_score_Muon,Muon condition score,All,middle,3.829310969887042,4.830501448827475,502,0.2051792828685259,0.1952191235059761,0.697267376985112,0.6726423137931666,0.7227939501248746,0.6835580986807135,0.6587324643500421,0.7093193360874049
condition_score_Muon,Muon condition score,All,low,2.1558409526995908,3.8292298443529864,500,0.566,0.55,0.9322403823762476,0.9007151556364331,0.9648689989222373,0.9269532168631672,0.8944599110726805,0.9606269164400315
condition_score_Muon,Muon condition score,SmallMLPDigits,high,4.830694192931247,6.511221583989727,498,0.020080321285140562,0.028112449799196786,0.5852278523005693,0.5664163565691382,0.604664104657669,0.5768364192052965,0.5576631770334156,0.596668864334305
condition_score_Muon,Muon condition score,SmallMLPDigits,middle,3.829310969887042,4.830501448827475,502,0.2051792828685259,0.1952191235059761,0.697267376985112,0.6726423137931666,0.7227939501248746,0.6835580986807135,0.6587324643500421,0.7093193360874049
condition_score_Muon,Muon condition score,SmallMLPDigits,low,2.1558409526995908,3.8292298443529864,500,0.566,0.55,0.9322403823762476,0.9007151556364331,0.9648689989222373,0.9269532168631672,0.8944599110726805,0.9606269164400315
delta_condition_score,Muon - Adam condition score,All,low,-0.861941931669723,0.05328878545421478,500,0.364,0.374,0.8876980671875786,0.8696381083281235,0.9061330810393136,0.8987168281788774,0.8794059131711335,0.9184517924599445
delta_condition_score,Muon - Adam condition score,All,middle,0.0537505330448127,0.42242554362832285,500,0.204,0.2,0.7149091001437607,0.6914301532563248,0.7391853234362636,0.7023361280838176,0.6786076930876183,0.7268942598740618
delta_condition_score,Muon - Adam condition score,All,high,0.42249191940624087,2.000438638168947,500,0.224,0.2,0.599846933218979,0.5719630374416065,0.6290902029293265,0.5794459470270265,0.552446236795405,0.6077652143558598
delta_condition_score,Muon - Adam condition score,SmallMLPDigits,low,-0.861941931669723,0.05328878545421478,500,0.364,0.374,0.8876980671875786,0.8696381083281235,0.9061330810393136,0.8987168281788774,0.8794059131711335,0.9184517924599445
delta_condition_score,Muon - Adam condition score,SmallMLPDigits,middle,0.0537505330448127,0.42242554362832285,500,0.204,0.2,0.7149091001437607,0.6914301532563248,0.7391853234362636,0.7023361280838176,0.6786076930876183,0.7268942598740618
delta_condition_score,Muon - Adam condition score,SmallMLPDigits,high,0.42249191940624087,2.000438638168947,500,0.224,0.2,0.599846933218979,0.5719630374416065,0.6290902029293265,0.5794459470270265,0.552446236795405,0.6077652143558598
