metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,24,24,0,3.71844723777269,3.451243718930566,4.006338290239283,11.779166709532356,10.638055698118832,12.920277720945881,True,True
nrUpdate,MNISTConvNet,24,24,0,3.71844723777269,3.451243718930566,4.006338290239283,11.779166709532356,10.638055698118832,12.920277720945881,True,True
stUpdate,All,24,24,0,12.0286722448618,11.02721881800507,13.121074167682494,14.808912112594607,13.443852961976924,16.17397126321229,True,True
stUpdate,MNISTConvNet,24,24,0,12.0286722448618,11.02721881800507,13.121074167682494,14.808912112594607,13.443852961976924,16.17397126321229,True,True
nrUpdateFrac,All,24,24,0,3.3552097482120566,3.13504742737274,3.5908332219175594,0.698336787220761,0.679598177561859,0.7170753968796629,True,True
nrUpdateFrac,MNISTConvNet,24,24,0,3.3552097482120566,3.13504742737274,3.5908332219175594,0.698336787220761,0.679598177561859,0.7170753968796629,True,True
stUpdateFrac,All,24,24,0,10.177079264331336,9.716657357031936,10.659318173602902,0.9011676833856285,0.8967728259094864,0.9055625408617706,True,True
stUpdateFrac,MNISTConvNet,24,24,0,10.177079264331336,9.716657357031936,10.659318173602902,0.9011676833856285,0.8967728259094864,0.9055625408617706,True,True
update_flatness,All,24,24,0,3.096470956343473,2.8937104459157825,3.3134387709770574,0.6729364264534791,0.65098592890495,0.6948869240020081,True,True
update_flatness,MNISTConvNet,24,24,0,3.096470956343473,2.8937104459157825,3.3134387709770574,0.6729364264534791,0.65098592890495,0.6948869240020081,True,True
