metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,18,18,0,1.9573862694980437,1.835388192644975,2.0874935468000912,26.737633626105264,21.427034653752994,32.04823259845753,True,True
nrUpdate,MNISTMLP,18,18,0,1.9573862694980437,1.835388192644975,2.0874935468000912,26.737633626105264,21.427034653752994,32.04823259845753,True,True
stUpdate,All,18,18,0,11.55282804176259,9.959783708837753,13.40067612553716,48.6231673526413,41.066141244770904,56.1801934605117,True,True
stUpdate,MNISTMLP,18,18,0,11.55282804176259,9.959783708837753,13.40067612553716,48.6231673526413,41.066141244770904,56.1801934605117,True,True
nrUpdateFrac,All,18,18,0,1.4691205116221453,1.4416819654444293,1.4970812768706359,0.3188588601201623,0.30694488886290716,0.3307728313774174,True,True
nrUpdateFrac,MNISTMLP,18,18,0,1.4691205116221453,1.4416819654444293,1.4970812768706359,0.3188588601201623,0.30694488886290716,0.3307728313774174,True,True
stUpdateFrac,All,18,18,0,4.321197144692056,4.216000537118284,4.429018592122369,0.768313713687526,0.7629957492998889,0.7736316780751631,True,True
stUpdateFrac,MNISTMLP,18,18,0,4.321197144692056,4.216000537118284,4.429018592122369,0.768313713687526,0.7629957492998889,0.7736316780751631,True,True
update_flatness,All,18,18,0,3.49402136917871,3.4112559465442756,3.578794883639498,0.7134853773564459,0.7071881256901698,0.719782629022722,True,True
update_flatness,MNISTMLP,18,18,0,3.49402136917871,3.4112559465442756,3.578794883639498,0.7134853773564459,0.7071881256901698,0.719782629022722,True,True
