run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,filters,kernel_size,stride
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,0,512,64,2.302608185233685,0.921875,full_patch_and_classifier_activation,"[[0.012396666707427485,0.003035222420287944,0.0016813853062933527,0.001184005776964553,5.283938833710709e-07,3.267358847654854e-07,3.006962250795889e-07,1.5382828702954957e-07,1.2804961563914784e-07,1.0247822697898248e-07,4.912151177687254e-08,2.5819819507747346e-08,1.5842492022863224e-08,1.322446875848426e-08,7.804233339318067e-09,5.50736529697778e-09]]",16.0,2.0036706016400383,1.0874657345196568,0.1252294126025024,0.06796660840747855,0.5427367819987715,3.0197912922277253e-05,0.8266943982765416,0.002335953603851087,1,2.5271779121983564,1.7960290538201074,1.4070918879753722,5.109281426330307e-11,7.189228448372615e-11,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,0,512,64,2.302608185233685,0.921875,full_patch_and_classifier_activation,"[[0.0077056688947321145,0.002230920766582331,0.001589594823368436,4.889325512945395e-07,3.4115838320116405e-07,6.323784481199059e-08,3.8196841827821294e-08,1.595384320640571e-08,7.422194636587634e-09,1.0964787956429588e-09]]",10.0,1.9867326212898309,1.1263751525501695,0.1986732621289831,0.11263751525501695,0.566948536748192,2.4697761030029716e-05,0.7494271562678719,0.003019991423210734,2,1.3966957367632409,1.0061508276459015,1.3881574197291078,3.7880063855036964e-05,5.2583491700181955e-05,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,0,512,64,2.302608185233685,0.921875,full_patch_and_classifier_activation,"[[0.0030000000000000027,0.0030000000000000022,0.0030000000000000022,0.003000000000000002,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.002999999999999999]]",16.0,16.0,15.999999999999982,1.0,0.9999999999999989,0.9999999999999989,1.3475918665823799e-05,0.3974275022093932,0.0011229932221519827,1,2.5271779121983564,1.7960290538201074,1.4070918879753722,5.109281426330307e-11,7.189228448372615e-11,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,0,512,64,2.302608185233685,0.921875,full_patch_and_classifier_activation,"[[0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.002999999999999999,0.002999999999999999]]",10.0,9.999999999999998,9.999999999999995,0.9999999999999998,0.9999999999999994,0.9999999999999997,1.4287243346599082e-05,0.3737239270856553,0.0015060076820113196,2,1.3966957367632409,1.0061508276459015,1.3881574197291078,3.7880063855036964e-05,5.2583491700181955e-05,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,1,512,64,2.3025546894036375,0.921875,full_patch_and_classifier_activation,"[[0.012903532079416937,0.0019660686937672534,0.0012694940414708835,0.0007265689611410409,0.0004630666147058392,0.0003227742219738782,0.00021389427981515714,0.0001755058647855628,0.00015076392703906391,0.00012500753250768433,7.753996114945566e-05,5.164963764520964e-05,3.963059949700558e-05,3.329897025960709e-05,8.983542265534527e-06,6.954288369255296e-06]]",16.0,1.9863206611179216,1.038738208564023,0.1241450413198701,0.06492113803525144,0.5229458812452822,3.719302108254645e-05,0.7457530737936466,0.0028281327892013225,1,2.076423964302908,1.7960290538201074,1.1561193622599857,9.20303087589119e-11,1.0639802187094279e-10,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,1,512,64,2.3025546894036375,0.921875,full_patch_and_classifier_activation,"[[0.0076945060096084575,0.001157111342232936,0.0011089768948791096,0.0007356685167071769,0.00037306747570708905,0.0002402330031376307,9.976635071274898e-05,4.3414380844991714e-05,2.2478188858187255e-05,1.2181359802944765e-05]]",10.0,2.1105312533279097,1.0560645874978631,0.21105312533279097,0.10560645874978632,0.5003785591104839,2.014580794180588e-05,0.6570545098597835,0.002547761122419032,2,1.4220903235194537,1.0056335111130048,1.4141238411451973,3.404517558354317e-05,4.814409446866275e-05,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,1,512,64,2.3025709338958693,0.921875,full_patch_and_classifier_activation,"[[0.003000000000000003,0.0030000000000000014,0.0030000000000000014,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003,0.003,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999983,0.0029999999999999983,0.0029999999999999983,0.0029999999999999983]]",16.0,16.0,15.999999999999966,1.0,0.9999999999999979,0.9999999999999979,1.656199476538117e-05,0.36086143153131767,0.0013801662304484305,1,2.083535564269311,1.7960290538201074,1.1600789863825893,9.360590531681612e-11,1.0859024375935668e-10,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,1,512,64,2.3025709338958693,0.921875,full_patch_and_classifier_activation,"[[0.0030000000000000022,0.0030000000000000014,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.0029999999999999996]]",10.0,9.999999999999998,9.99999999999999,0.9999999999999998,0.9999999999999989,0.9999999999999991,1.3702016493893486e-05,0.38140444908575744,0.0014443193552632673,2,1.454693537824102,1.0061117476800288,1.4458568257238307,3.401092974515739e-05,4.917493492124947e-05,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,2,512,64,2.302584327825583,0.884765625,full_patch_and_classifier_activation,"[[0.012779701649738151,0.0015879566092779818,0.0012450179756101948,0.0007869870439375887,0.0005695318717362189,0.00043194714879359866,0.00031019995176472567,0.00022479257014253184,0.0001738923712856324,0.0001464332256201026,8.359588320291375e-05,6.873900148111787e-05,5.090014806428356e-05,4.151820718488386e-05,3.206792787221682e-05,1.6539915986084697e-05]]",16.0,2.039225525564118,1.0331723643992465,0.12745159534775738,0.06457327277495291,0.5066493879402753,2.977854148419227e-05,0.7235986152423266,0.0022924312347844017,1,2.3201288517252046,1.7960290538201074,1.291810311637415,6.422713790700901e-11,8.296927903523255e-11,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,2,512,64,2.302584327825583,0.884765625,full_patch_and_classifier_activation,"[[0.00806268089922642,0.0011908631684985813,0.0007350295139206668,0.0005990232127177675,0.0004765992657726335,0.0004016891336043003,0.00019063266066167967,0.00013585441127019542,5.5158077293595186e-05,3.329614094902138e-05]]",10.0,2.0827927101386736,1.0425294060106052,0.20827927101386737,0.10425294060106052,0.500544005620796,2.057744552558673e-05,0.5791909564098062,0.002499584551959026,2,1.3349426105782154,1.0046573436768864,1.328754145858863,3.298023976057259e-05,4.382263031328014e-05,16,5,2
