group_type,filters,kernel_size,lr,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
setting,16,5,0.003,delta_loss,15,0.0,0.5659356681456411,0.5128016766323906,0.6245751429339669,False,True
setting,16,5,0.003,update_grad_inner,15,0.0,0.5834435088589272,0.5288918234381714,0.6436218389929624,False,True
setting,16,5,0.003,update_grad_cosine,15,0.06666666666666667,0.6607112937241422,0.5977100223684012,0.7303531768211957,False,True
setting,16,5,0.01,delta_loss,15,0.0,0.38648875788840054,0.3140313227876957,0.4756645249528319,False,True
setting,16,5,0.01,update_grad_inner,15,0.0,0.4414106923773957,0.3569838856747256,0.5458044667109374,False,True
setting,16,5,0.01,update_grad_cosine,15,0.06666666666666667,0.7189264785901137,0.6493830693382181,0.7959173960982767,False,True
setting,16,7,0.003,delta_loss,15,0.0,0.6574815903549882,0.6071387196445004,0.711998803022874,False,True
setting,16,7,0.003,update_grad_inner,15,0.0,0.6860797470105013,0.6373638369244308,0.7385191816488371,False,True
setting,16,7,0.003,update_grad_cosine,15,0.0,0.7760794294221309,0.7196642147800483,0.8369170905020776,False,True
setting,16,7,0.01,delta_loss,15,0.0,0.47473881572564675,0.4009011864279956,0.5621757949001946,False,True
setting,16,7,0.01,update_grad_inner,15,0.0,0.5353160203698833,0.45396250863225307,0.6312486961269947,False,True
setting,16,7,0.01,update_grad_cosine,15,0.13333333333333333,0.8472109517643369,0.7744009317163866,0.9268666492931151,False,True
setting,32,5,0.003,delta_loss,15,0.0,0.5463244855358848,0.49070210144460896,0.6082518143235236,False,True
setting,32,5,0.003,update_grad_inner,15,0.0,0.5613804538346595,0.505880566988024,0.622969203628391,False,True
setting,32,5,0.003,update_grad_cosine,15,0.0,0.598487929934215,0.5510012043520441,0.650067185784388,False,True
setting,32,5,0.01,delta_loss,15,0.0,0.3780440019569914,0.30460920768712424,0.46918236156030285,False,True
setting,32,5,0.01,update_grad_inner,15,0.0,0.4243167817188033,0.34471672317922997,0.5222976407634021,False,True
setting,32,5,0.01,update_grad_cosine,15,0.0,0.6217662757270628,0.5749879241512191,0.6723502970991607,False,True
setting,32,7,0.003,delta_loss,15,0.0,0.5422697718290169,0.5005148469181562,0.5875080574534445,False,True
setting,32,7,0.003,update_grad_inner,15,0.0,0.5516226241368046,0.5119225515389213,0.594401474490306,False,True
setting,32,7,0.003,update_grad_cosine,15,0.0,0.6079829780741208,0.5719358198388369,0.6463020653821558,False,True
setting,32,7,0.01,delta_loss,15,0.0,0.4023679059964731,0.3382048830413667,0.47870370859247535,False,True
setting,32,7,0.01,update_grad_inner,15,0.0,0.44498756353210916,0.3745515714488364,0.5286693389972642,False,True
setting,32,7,0.01,update_grad_cosine,15,0.06666666666666667,0.7011165393120449,0.6321040370831255,0.7776637592211021,False,True
arch_all_lr,16,5,All,delta_loss,30,0.0,0.46768341153642684,0.410767332500969,0.5324858042985559,False,True
arch_all_lr,16,5,All,update_grad_inner,30,0.0,0.5074822195983976,0.4493283931015914,0.5731625402766121,False,True
arch_all_lr,16,5,All,update_grad_cosine,30,0.06666666666666667,0.6892045006830817,0.6433831859417795,0.7382891784256227,False,True
arch_all_lr,16,7,All,delta_loss,30,0.0,0.558687776460647,0.5019003696023813,0.6219003819698741,False,True
arch_all_lr,16,7,All,update_grad_inner,30,0.0,0.6060276229892809,0.5500998927292449,0.667641431456896,False,True
arch_all_lr,16,7,All,update_grad_cosine,30,0.06666666666666667,0.8108655819835043,0.7655987453473413,0.858808868276224,False,True
arch_all_lr,32,5,All,delta_loss,30,0.0,0.45446088377227833,0.3979108040884461,0.5190477181242169,False,True
arch_all_lr,32,5,All,update_grad_inner,30,0.0,0.48806059817502573,0.43237245044018485,0.5509211959468203,False,True
arch_all_lr,32,5,All,update_grad_cosine,30,0.0,0.6100160745937734,0.5780597272247333,0.6437390354961131,False,True
arch_all_lr,32,7,All,delta_loss,30,0.0,0.4671102145918314,0.4201155111124829,0.5193618107511566,False,True
arch_all_lr,32,7,All,update_grad_inner,30,0.0,0.49544445450910557,0.44965081492959363,0.5459018406143891,False,True
arch_all_lr,32,7,All,update_grad_cosine,30,0.03333333333333333,0.6528912019226163,0.6133202116009138,0.6950152848139456,False,True
filters_all,16,All,All,delta_loss,60,0.0,0.5111643622933978,0.46957846412313314,0.5564331102081818,False,True
filters_all,16,All,All,update_grad_inner,60,0.0,0.5545703230903554,0.5124987880361032,0.600095552286215,False,True
filters_all,16,All,All,update_grad_cosine,60,0.06666666666666667,0.7475641835668945,0.7122766679030884,0.784599908624375,False,True
filters_all,32,All,All,delta_loss,60,0.0,0.4607421414874728,0.42424231357600195,0.5003822441780843,False,True
filters_all,32,All,All,update_grad_inner,60,0.0,0.49173866721075876,0.4560724368241648,0.5301941036253417,False,True
filters_all,32,All,All,update_grad_cosine,60,0.016666666666666666,0.6310896355777403,0.6057529085036693,0.6574861177595693,False,True
all,All,All,All,delta_loss,120,0.0,0.48529883879434377,0.4574584171051168,0.5148335982656557,False,True
all,All,All,All,update_grad_inner,120,0.0,0.5222103709723613,0.49434837248583197,0.5516427012388048,False,True
all,All,All,All,update_grad_cosine,120,0.041666666666666664,0.6868624375944592,0.6633669488062,0.7111901022913806,False,True
