protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,dataset,dataset_name,architecture,model_arch,partition_id,head_classes,tail_classes,head_class_count,tail_class_count,head_train_per_class,tail_train_per_class,tail_eval_per_class,warmup_steps,target_head_gain_fraction,seeds,seed_count,freshness_rule,planned_artifact_prefix,entrypoint,runner
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_mod5_01_vs_34,"0,1,5,6,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,51,55,56,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96","3,4,8,9,13,14,18,19,23,24,28,29,33,34,38,39,43,44,48,49,53,54,58,59,63,64,68,69,73,74,78,79,83,84,88,89,93,94,98,99",40,40,300,30,40,500,0.002,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w500_rho0p005_tail30,1,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_mod5_01_vs_34,"0,1,5,6,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,51,55,56,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96","3,4,8,9,13,14,18,19,23,24,28,29,33,34,38,39,43,44,48,49,53,54,58,59,63,64,68,69,73,74,78,79,83,84,88,89,93,94,98,99",40,40,300,30,40,500,0.005,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w2000_rho0p002_tail30,2,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_mod5_01_vs_34,"0,1,5,6,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,51,55,56,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96","3,4,8,9,13,14,18,19,23,24,28,29,33,34,38,39,43,44,48,49,53,54,58,59,63,64,68,69,73,74,78,79,83,84,88,89,93,94,98,99",40,40,300,30,40,2000,0.002,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w2000_rho0p005_tail30,3,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_mod5_01_vs_34,"0,1,5,6,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,51,55,56,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96","3,4,8,9,13,14,18,19,23,24,28,29,33,34,38,39,43,44,48,49,53,54,58,59,63,64,68,69,73,74,78,79,83,84,88,89,93,94,98,99",40,40,300,30,40,2000,0.005,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,4,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_mod5_01_vs_34,"0,1,5,6,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,51,55,56,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96","3,4,8,9,13,14,18,19,23,24,28,29,33,34,38,39,43,44,48,49,53,54,58,59,63,64,68,69,73,74,78,79,83,84,88,89,93,94,98,99",40,40,300,30,40,5000,0.002,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_mod5_01_vs_34,"0,1,5,6,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,51,55,56,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96","3,4,8,9,13,14,18,19,23,24,28,29,33,34,38,39,43,44,48,49,53,54,58,59,63,64,68,69,73,74,78,79,83,84,88,89,93,94,98,99",40,40,300,30,40,5000,0.005,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,6,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_decade_even_vs_odd,"0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,40,41,42,43,44,45,46,47,48,49,60,61,62,63,64,65,66,67,68,69,80,81,82,83,84,85,86,87,88,89","10,11,12,13,14,15,16,17,18,19,30,31,32,33,34,35,36,37,38,39,50,51,52,53,54,55,56,57,58,59,70,71,72,73,74,75,76,77,78,79,90,91,92,93,94,95,96,97,98,99",50,50,300,30,40,500,0.002,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,7,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_decade_even_vs_odd,"0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,40,41,42,43,44,45,46,47,48,49,60,61,62,63,64,65,66,67,68,69,80,81,82,83,84,85,86,87,88,89","10,11,12,13,14,15,16,17,18,19,30,31,32,33,34,35,36,37,38,39,50,51,52,53,54,55,56,57,58,59,70,71,72,73,74,75,76,77,78,79,90,91,92,93,94,95,96,97,98,99",50,50,300,30,40,500,0.005,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,8,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_decade_even_vs_odd,"0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,40,41,42,43,44,45,46,47,48,49,60,61,62,63,64,65,66,67,68,69,80,81,82,83,84,85,86,87,88,89","10,11,12,13,14,15,16,17,18,19,30,31,32,33,34,35,36,37,38,39,50,51,52,53,54,55,56,57,58,59,70,71,72,73,74,75,76,77,78,79,90,91,92,93,94,95,96,97,98,99",50,50,300,30,40,2000,0.002,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,9,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR-100-LT,CIFAR100,ResNet18 CIFAR stem,resnet18,cifar100_decade_even_vs_odd,"0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,40,41,42,43,44,45,46,47,48,49,60,61,62,63,64,65,66,67,68,69,80,81,82,83,84,85,86,87,88,89","10,11,12,13,14,15,16,17,18,19,30,31,32,33,34,35,36,37,38,39,50,51,52,53,54,55,56,57,58,59,70,71,72,73,74,75,76,77,78,79,90,91,92,93,94,95,96,97,98,99",50,50,300,30,40,2000,0.005,"0,1,2,3,4",5,exclude every source_id and exact setting_id in results/e11_natural_head_tail_boundary/primary_drift_scan.csv,results/e11_natural_negative_search_protocol/phase1_cifar100lt_resnet18,scripts/slurm/e11_natural_negative_search_phase1.sbatch,scripts/e11_run_natural_negative_search_phase1.py
