seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype,protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,partition_id,head_train_per_class,tail_train_per_class,tail_eval_per_class,target_head_gain_fraction_registered,fresh_protocol_id,protocol_status
0,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,9.584272629581392e-05,9.566811786498874e-05,1.7460843082517385e-07,0.08908877296408793,1.9168545259162783e-07,5.058846473693848,5.060433387756348,0.0015869140625,0.005,0.005,0.0,-4.676709175109863,-4.678460597991943,0.0017514228820800781,0.005,1.0,0.0,0.0,0.0981641411781311,0.002195016946643591,0.0980147197842598,0.01976235955953598,0.050331734120845795,0.05867031216621399,0.004148617386817932,,,,3.403548574926312e-05,1.1341448953317013e-05,3.403548371707185e-05,0.005631929729133844,13.050942554139713,,,13.050919776766921,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,9.584272629581392e-05,9.566066728439182e-05,1.8205901142209768e-07,0.050219988211826334,1.9168545259162783e-07,5.058846473693848,5.059699058532715,0.0008525848388671875,0.005,0.005,0.0,-4.676709175109863,-4.677638053894043,0.0009288787841796875,0.005,1.0,0.0,0.0,0.081040158867836,0.001812112983316183,0.08090915530920029,0.018333952873945236,0.04032990708947182,0.04729677736759186,0.0033443872816860676,,,,0.0001393600251902435,2.1193534394114977e-06,2.1189640694973625e-06,0.09046187018975616,13.050942554139713,,,205.95238081607044,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
1,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.0001239701232407242,0.00012369960313662887,2.705201040953398e-07,0.09106975545247288,2.479402464814484e-07,4.998539924621582,5.000040531158447,0.0015006065368652344,0.0,0.0,0.0,-4.642138957977295,-4.6441192626953125,0.001980304718017578,0.0,,0.0,,0.10562413930892944,0.002361827529966831,0.10545193403959274,0.02201378345489502,0.05662011355161667,0.0646052435040474,0.004568280652165413,,,,3.302200175182681e-05,1.0281257345923223e-05,3.302200247927573e-05,0.007508334681915585,11.851062306589277,,,11.851077487961286,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
1,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.0001239701232407242,0.00012371729826554656,2.528249751776457e-07,0.019701233525081425,2.479402464814484e-07,4.998539924621582,4.99904727935791,0.000507354736328125,0.0,0.0,0.0,-4.642138957977295,-4.64268684387207,0.0005478858947753906,0.0,,0.0,,0.08175244927406311,0.0018280403455719352,0.08158829063177109,0.018358085304498672,0.038435257971286774,0.045078862458467484,0.0031875567510724068,,,,0.00014336993512805208,2.180311184929451e-06,2.179935004279562e-06,0.11373744904994965,11.851062306589277,,,205.95238081767934,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
2,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.00011353644367773086,0.00011333064321661368,2.058004611171782e-07,0.09368104878581777,2.2707288735546172e-07,4.731964588165283,4.732362270355225,0.00039768218994140625,0.015,0.015,0.0,-4.361384868621826,-4.361915588378906,0.0005307197570800781,0.015,1.0,0.0,0.0,0.0979665145277977,0.0021905978210270405,0.09781327843666077,0.020507629960775375,0.05134724825620651,0.05666212737560272,0.004006617236882448,,,,2.9117833572868275e-05,9.329826752946246e-06,2.9117832409300684e-05,0.007798413156706374,10.644681018747656,,,10.644689856476784,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
2,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.00011353644367773086,0.00011333063594065607,2.0580773707479239e-07,0.09364900639758324,2.2707288735546172e-07,4.731964588165283,4.7324395179748535,0.0004749298095703125,0.015,0.015,0.0,-4.361384868621826,-4.361848831176758,0.0004639625549316406,0.015,1.0,0.0,0.0,0.08063910156488419,0.0018031451618298888,0.08048750460147858,0.018305018544197083,0.039452340453863144,0.046162303537130356,0.0032641678117215633,,,,0.00013443783780497898,2.044474967988208e-06,2.0441229097849535e-06,0.11108573083765805,10.644681018747656,,,205.9523808190818,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
3,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.00011301453923806548,0.00011280594480922446,2.0859442884102464e-07,0.07713454283249425,2.2602907847613097e-07,4.850562572479248,4.851374626159668,0.0008120536804199219,0.005,0.005,0.0,-4.50373649597168,-4.504702091217041,0.0009655952453613281,0.005,1.0,0.0,0.0,0.09548639506101608,0.0021351408213377,0.09534332901239395,0.02170855551958084,0.050617147237062454,0.060381028801202774,0.0042695836164057255,,,,3.469275539428633e-05,1.0736548574641347e-05,3.4692755583426493e-05,0.006515166485769441,13.46526865825692,,,13.465298840964957,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
3,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.00011301453923806548,0.00011281479964964092,1.997395884245634e-07,0.11631021207009776,2.2602907847613097e-07,4.850562572479248,4.850925445556641,0.0003628730773925781,0.005,0.005,0.0,-4.50373649597168,-4.504065036773682,0.0003285408020019531,0.005,1.0,0.0,0.0,0.07957115769386292,0.0017792651196941733,0.07945053279399872,0.0188385471701622,0.03778255730867386,0.04643607884645462,0.0032835265155881643,,,,0.0001413596323930165,2.149756028302363e-06,2.14936952919407e-06,0.10516064148396254,13.46526865825692,,,205.95238081865807,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
4,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.00012505892664194107,0.00012480563600547612,2.532906364649534e-07,0.012685152776639987,2.5011785328388215e-07,4.1996588706970215,4.200336933135986,0.0006780624389648438,0.045,0.045,0.0,-3.7563560009002686,-3.757175922393799,0.0008199214935302734,0.045,1.0,0.0,0.0,0.09755390882492065,0.0021813716739416122,0.09741730988025665,0.019131772220134735,0.05608527362346649,0.06065632402896881,0.004289050120860338,,,,3.5451529147943226e-05,1.1366469152562786e-05,3.545152984975127e-05,0.007055206202494446,12.621524772664449,,,12.62153324617819,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
4,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"0,2,5,8,9","1,3,4,6,7",1500,150,200,500,0.00012505892664194107,0.0001247800246346742,2.789020072668791e-07,0.11508236459365058,2.5011785328388215e-07,4.1996588706970215,4.200068473815918,0.0004096031188964844,0.045,0.045,0.0,-3.7563560009002686,-3.757019281387329,0.0006632804870605469,0.045,1.0,0.0,0.0,0.0792679488658905,0.0017724852077662945,0.07912243902683258,0.019677814096212387,0.04048478975892067,0.04834377020597458,0.003418420674279332,,,,0.0001476365541021229,2.2452020402852213e-06,2.2448098470906557e-06,0.11142050789203495,12.621524772664449,,,205.95238082300915,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_a,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
