alpha_scope,seed_count,family_size,one_sided_alpha,log_ratio_sd,true_tail_drift_ratio,true_log_ratio,power
raw_single_setting,5,1,0.05,0.05,1.05,0.04879016416943205,0.562650770069716
raw_single_setting,5,1,0.05,0.05,1.1,0.09531017980432493,0.9637217458046992
raw_single_setting,5,1,0.05,0.05,1.25,0.22314355131420976,0.9999999992511776
raw_single_setting,5,1,0.05,0.05,1.5,0.4054651081081644,1.0
raw_single_setting,5,1,0.05,0.05,2.0,0.6931471805599453,1.0
raw_single_setting,5,1,0.05,0.05,3.0,1.0986122886681098,1.0
raw_single_setting,5,1,0.05,0.1,1.05,0.04879016416943205,0.2321218455259054
raw_single_setting,5,1,0.05,0.1,1.1,0.09531017980432493,0.5464929688062602
raw_single_setting,5,1,0.05,0.1,1.25,0.22314355131420976,0.9906895025993867
raw_single_setting,5,1,0.05,0.1,1.5,0.4054651081081644,0.9999999631432637
raw_single_setting,5,1,0.05,0.1,2.0,0.6931471805599453,1.0
raw_single_setting,5,1,0.05,0.1,3.0,1.0986122886681098,1.0
raw_single_setting,5,1,0.05,0.2,1.05,0.04879016416943205,0.11792817419842774
raw_single_setting,5,1,0.05,0.2,1.1,0.09531017980432493,0.2257706062257589
raw_single_setting,5,1,0.05,0.2,1.25,0.22314355131420976,0.6586021360693511
raw_single_setting,5,1,0.05,0.2,1.5,0.4054651081081644,0.9774650560297007
raw_single_setting,5,1,0.05,0.2,2.0,0.6931471805599453,0.9999950099199013
raw_single_setting,5,1,0.05,0.2,3.0,1.0986122886681098,0.9999999999999932
raw_single_setting,5,1,0.05,0.35,1.05,0.04879016416943205,0.08354876111469714
raw_single_setting,5,1,0.05,0.35,1.1,0.09531017980432493,0.12873909719561336
raw_single_setting,5,1,0.05,0.35,1.25,0.22314355131420976,0.32398826104741196
raw_single_setting,5,1,0.05,0.35,1.5,0.4054651081081644,0.6861564009844046
raw_single_setting,5,1,0.05,0.35,2.0,0.6931471805599453,0.9727861740994018
raw_single_setting,5,1,0.05,0.35,3.0,1.0986122886681098,0.9999472149541955
raw_single_setting,5,1,0.05,0.5,1.05,0.04879016416943205,0.07209455496646595
raw_single_setting,5,1,0.05,0.5,1.1,0.09531017980432493,0.0993361699688189
raw_single_setting,5,1,0.05,0.5,1.25,0.22314355131420976,0.20930803706427048
raw_single_setting,5,1,0.05,0.5,1.5,0.4054651081081644,0.4441891129371847
raw_single_setting,5,1,0.05,0.5,2.0,0.6931471805599453,0.813014804786931
raw_single_setting,5,1,0.05,0.5,3.0,1.0986122886681098,0.9891251686141689
raw_single_setting,5,1,0.05,0.75,1.05,0.04879016416943205,0.06403482123233253
raw_single_setting,5,1,0.05,0.75,1.1,0.09531017980432493,0.0800433411250574
raw_single_setting,5,1,0.05,0.75,1.25,0.22314355131420976,0.1388942631110496
raw_single_setting,5,1,0.05,0.75,1.5,0.4054651081081644,0.2628305193110837
raw_single_setting,5,1,0.05,0.75,2.0,0.6931471805599453,0.5257834294813436
raw_single_setting,5,1,0.05,0.75,3.0,1.0986122886681098,0.8478649270516856
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.05,1.05,0.04879016416943205,0.05424637802468388
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.05,1.1,0.09531017980432493,0.2838915195452447
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.05,1.25,0.22314355131420976,0.9631792021328109
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.05,1.5,0.4054651081081644,0.9999988290551207
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.05,2.0,0.6931471805599453,1.0
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.05,3.0,1.0986122886681098,1.0
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.1,1.05,0.04879016416943205,0.013293257474066275
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.1,1.1,0.09531017980432493,0.05131062947297694
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.1,1.25,0.22314355131420976,0.40479456022245297
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.1,1.5,0.4054651081081644,0.9248912428090802
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.1,2.0,0.6931471805599453,0.9999280051026304
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.1,3.0,1.0986122886681098,0.9999999999975899
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.2,1.05,0.04879016416943205,0.005446526303456415
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.2,1.1,0.09531017980432493,0.01279162253423299
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.2,1.25,0.22314355131420976,0.07502413283444838
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.2,1.5,0.4054651081081644,0.3275240354742134
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.2,2.0,0.6931471805599453,0.8212894996718098
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.2,3.0,1.0986122886681098,0.9959357303752336
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.35,1.05,0.04879016416943205,0.003553881466499886
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.35,1.1,0.09531017980432493,0.006086264747471306
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.35,1.25,0.22314355131420976,0.021508117798921145
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.35,1.5,0.4054651081081644,0.08233179278285019
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.35,2.0,0.6931471805599453,0.3103807908405407
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.35,3.0,1.0986122886681098,0.7337330794566805
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.5,1.05,0.04879016416943205,0.0029722172863390324
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.5,1.1,0.09531017980432493,0.004396022447017636
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.5,1.25,0.22314355131420976,0.011528530494475065
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.5,1.5,0.4054651081081644,0.03548332783306787
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.5,2.0,0.6931471805599453,0.1292027808329005
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.5,3.0,1.0986122886681098,0.39161525396176006
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.75,1.05,0.04879016416943205,0.002578131548654341
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.75,1.1,0.09531017980432493,0.003373216400224437
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.75,1.25,0.22314355131420976,0.006706489329359216
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.75,1.5,0.4054651081081644,0.015834787258966945
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.75,2.0,0.6931471805599453,0.04774075128705368
holm_bonferroni_worst_case,5,26,0.0019230769230769232,0.75,3.0,1.0986122886681098,0.14847982070438465
