seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype,protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,partition_id,head_train_per_class,tail_train_per_class,tail_eval_per_class,target_head_gain_fraction_registered,fresh_protocol_id,protocol_status
0,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0005092074861750007,0.0005078939720988274,1.3135140761733055e-06,0.28976312390847947,1.0184149723500014e-06,3.233978271484375,3.2344110012054443,0.00043272972106933594,0.32875,0.32875,0.0,-1.4807205200195312,-1.4812289476394653,0.000508427619934082,0.32875,0.9923954372623575,0.001875,0.0019011406844106464,0.9093583226203918,0.0022733958903700113,0.9042885899543762,0.14031696319580078,0.1584044247865677,0.20473384857177734,0.005118345841765404,,,,4.177101492266233e-05,1.3279157428769395e-05,4.177101292344755e-05,0.024380901995755266,27.972509116212564,,,27.972533068430558,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0005092074861750007,0.0005080987466499209,1.1087395250797272e-06,0.08869130480407324,1.0184149723500014e-06,3.233978271484375,3.2342288494110107,0.0002505779266357422,0.32875,0.3275,0.0012499999999999734,-1.4807205200195312,-1.481020212173462,0.00029969215393066406,0.32875,0.9923954372623575,0.001875,0.0038022813688212928,0.8164079189300537,0.002041019732132554,0.8134942054748535,0.1290082037448883,0.14009252190589905,0.1873449981212616,0.00468362495303154,,,,0.0001239935622878883,1.8663354239834007e-06,1.866006942653522e-06,0.5457723382860422,27.972509116212564,,,210.23809510805594,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
1,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0007151095196604729,0.0007138317450881004,1.2777745723724365e-06,0.10658819576397775,1.4302190393209457e-06,3.2313287258148193,3.231367588043213,3.886222839355469e-05,0.32375,0.323125,0.0006249999999999867,-1.4494150876998901,-1.44949209690094,7.700920104980469e-05,0.32375,0.9922779922779923,0.00125,0.0019305019305019305,0.8652228116989136,0.002163056982681155,0.8623665571212769,0.1354103833436966,0.1443348079919815,0.18821899592876434,0.004705475177615881,,,,3.075963535747713e-05,1.0552252206252888e-05,3.075963447863509e-05,0.04649662011797773,19.705254314002183,,,19.705225308136605,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
1,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0007151095196604729,0.000713855552021414,1.2539676390588284e-06,0.12323385119093352,1.4302190393209457e-06,3.2313287258148193,3.231400489807129,7.176399230957031e-05,0.32375,0.32375,0.0,-1.4494150876998901,-1.4495446681976318,0.00012958049774169922,0.32375,0.9903474903474904,0.000625,0.0,0.7832690477371216,0.0019581725355237722,0.7805548310279846,0.1235356330871582,0.12952779233455658,0.1798093169927597,0.0044952332973480225,,,,0.0001073109473974405,1.6152300759131322e-06,1.6149458855114788e-06,0.885614219121635,19.705254314002183,,,210.23809510789357,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
2,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0006012030644342303,0.0005998251726850867,1.3778917491436005e-06,0.1459453807344468,1.2024061288684607e-06,3.065915822982788,3.0663018226623535,0.0003859996795654297,0.34500000000000003,0.34500000000000003,0.0,-1.1935276985168457,-1.1940197944641113,0.000492095947265625,0.34500000000000003,0.9963768115942029,0.0,0.0,0.8517364859580994,0.0021293412428349257,0.8474615812301636,0.1325206160545349,0.14799925684928894,0.19473235309123993,0.004868308547884226,,,,4.473911292988413e-05,1.4855480003461707e-05,4.47391104993934e-05,0.02687595071620308,27.48389571635925,,,27.483885661821702,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
2,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0006012030644342303,0.0006000121938996017,1.1908705346286297e-06,0.009593758683421468,1.2024061288684607e-06,3.065915822982788,3.0660529136657715,0.00013709068298339844,0.34500000000000003,0.34500000000000003,0.0,-1.1935276985168457,-1.193673014640808,0.00014531612396240234,0.34500000000000003,0.9963768115942029,0.0,0.0,0.7762380242347717,0.0019405951024964452,0.7736465930938721,0.12266343832015991,0.1330706924200058,0.18029288947582245,0.004507322330027819,,,,0.0001313092465575153,1.9764563603530405e-06,1.9761017931652448e-06,0.6084737805649638,27.48389571635925,,,210.2380951060363,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
3,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.2456163465976715,0.245221346616745,0.00039499998092651367,0.19590046347049941,0.000491232693195343,3.668487310409546,3.6680562496185303,-0.000431060791015625,0.306875,0.3075,-0.0006249999999999867,-2.0774214267730713,-2.0768840312957764,-0.0005373954772949219,0.306875,0.9979633401221994,0.00125,0.0,0.8486804366111755,0.0021217011380940676,0.8450130820274353,0.12228730320930481,0.1400313675403595,0.1822502613067627,0.0045562563464045525,,,,4.332989571674343e-05,1.4315189218905289e-05,4.332989703977734e-05,11.337038090452552,23.711465087661203,,,23.711548571403252,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
3,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.2456163465976715,0.24509185552597046,0.0005244910717010498,0.06770391907218054,0.000491232693195343,3.668487310409546,3.668377161026001,-0.00011014938354492188,0.306875,0.3075,-0.0006249999999999867,-2.0774214267730713,-2.077230215072632,-0.00019121170043945312,0.306875,0.9979633401221994,0.000625,0.0,0.7237164378166199,0.0018092910759150982,0.7203644514083862,0.1087486669421196,0.11530936509370804,0.15564587712287903,0.003891146741807461,,,,0.0001407464516066428,2.1184926026762696e-06,2.1181278560967027e-06,231.9183385372162,23.711465087661203,,,210.23809510775058,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
4,frobenius,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0005198072176426649,0.0005189018556848168,9.05361957848072e-07,0.1291367961819529,1.0396144352853297e-06,3.1836845874786377,3.183846950531006,0.00016236305236816406,0.335,0.335,0.0,-1.292105793952942,-1.2923978567123413,0.00029206275939941406,0.335,1.0,0.00125,0.0,0.887733519077301,0.002219333779066801,0.8830080032348633,0.13807599246501923,0.14956864714622498,0.20056454837322235,0.005014113616198301,,,,3.911840958689355e-05,1.277359842788428e-05,3.9118408578747835e-05,0.026576092255709227,27.327853058195178,,,27.327926461313094,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
4,spectral,CIFAR100,resnet18_cifar_stem,conv_and_linear_weights_only,"1,2,6,7,11,12,16,17,21,22,26,27,31,32,36,37,41,42,46,47,51,52,56,57,61,62,66,67,71,72,76,77,81,82,86,87,91,92,96,97","0,4,5,9,10,14,15,19,20,24,25,29,30,34,35,39,40,44,45,49,50,54,55,59,60,64,65,69,70,74,75,79,80,84,85,89,90,94,95,99",12000,12000,1600,2000,0.0005198072176426649,0.0005190820666030049,7.25151039659977e-07,0.30248078994694416,1.0396144352853297e-06,3.1836845874786377,3.1837880611419678,0.00010347366333007812,0.335,0.335,0.0,-1.292105793952942,-1.2922351360321045,0.00012934207916259766,0.335,1.0,0.00125,0.0,0.7922852635383606,0.001980713102966547,0.7891749143600464,0.12641100585460663,0.13469772040843964,0.1852419227361679,0.004631048068404198,,,,0.00011641389277301412,1.7522532971270266e-06,1.751938445256583e-06,0.5934080835431814,27.327853058195178,,,210.23809510566133,cuda,float32,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
