problem_family,base_setting,eval_algo,target_layer_relative_norm,budget,step,update_source,points,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,0,other_update,5,8.34153519033761e-10,8.341684839063132e-10,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,0,own_update,5,1.0377374462132091e-09,1.0377271037132758e-09,0.06281417743759085
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,1,other_update,5,2.751230698008712e-09,2.7508904098078974e-09,0.0680959571339361
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,1,own_update,5,9.69386271708274e-09,9.691104412539657e-09,0.24246248614731902
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,3,other_update,5,2.7506593437641425e-08,2.75009084008943e-08,0.23362835724371514
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,3,own_update,5,5.175797342293268e-08,5.1736364666377884e-08,0.4379511695505597
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,10,other_update,5,1.561990766677651e-08,1.5690232555768454e-08,0.17432696503141443
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,fro,10,own_update,5,-1.1313227863663273e-08,-1.1238190533807155e-08,-0.13029407878562135
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,0,other_update,5,9.030998931590807e-10,9.031167778583676e-10,0.05457257114830157
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,0,own_update,5,5.723208922026827e-10,5.723106049266027e-10,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,1,other_update,5,3.1694176976751908e-09,3.168852356160748e-09,0.07683867358091616
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,1,own_update,5,5.022088179546706e-09,5.021290550049022e-09,0.2646291378141842
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,3,other_update,5,3.24466178807097e-08,3.24382648108485e-08,0.25850493299768745
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,3,own_update,5,2.875246666304192e-08,2.8745616261352653e-08,0.4834915958723357
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,10,other_update,5,1.932096117150393e-08,1.9418226190508537e-08,0.19378900464320434
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,op,10,own_update,5,-5.671111074267901e-09,-5.65044274418733e-09,-0.11597192062942156
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,0,other_update,5,2.5023714234474833e-09,2.5025054517189393e-09,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,0,own_update,5,3.1132753057787255e-09,3.1131813111398272e-09,0.06281417743759088
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,1,other_update,5,8.255734418186402e-09,8.252671229423692e-09,0.0680959571339361
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,1,own_update,5,2.9098150799208162e-08,2.9073313237618966e-08,0.24246248614731902
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,3,other_update,5,8.255387342014347e-08,8.250272520268288e-08,0.23362835724371514
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,3,own_update,5,1.5540341351762858e-07,1.552090939991336e-07,0.4379511695505597
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,10,other_update,5,4.643672396068284e-08,4.707069766730535e-08,0.1743269650314144
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,fro,10,own_update,5,-3.438875900276907e-08,-3.3714571601421464e-08,-0.13029407878562138
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,0,other_update,5,2.709199147394583e-09,2.709350333575102e-09,0.05457257114830157
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,0,own_update,5,1.7170245149788435e-09,1.7169318147798075e-09,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,1,other_update,5,9.511646503502234e-09,9.506557068482241e-09,0.07683867358091616
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,1,own_update,5,1.5071052252669604e-08,1.5063871650147067e-08,0.26462913781418423
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,3,other_update,5,9.738995020142744e-08,9.731479443254552e-08,0.25850493299768745
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,3,own_update,5,8.629847953763698e-08,8.623684878405794e-08,0.4834915958723357
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,10,other_update,5,5.737757316612113e-08,5.8254678571525606e-08,0.1937890046432043
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,op,10,own_update,5,-1.7137181801219282e-08,-1.6951328232561987e-08,-0.11597192062942159
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,0,other_update,5,8.340221092646272e-09,8.341684839063131e-09,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,0,own_update,5,1.0378350785120475e-08,1.0377271037132756e-08,0.06281417743759085
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,1,other_update,5,2.7542962545505082e-08,2.7508904098078975e-08,0.0680959571339361
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,1,own_update,5,9.718751611384924e-08,9.691104412539655e-08,0.24246248614731902
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,3,other_update,5,2.7557672654346006e-07,2.75009084008943e-07,0.23362835724371517
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,3,own_update,5,5.195164477441859e-07,5.173636466637788e-07,0.4379511695505596
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,10,other_update,5,1.498171943979452e-07,1.5690232555768453e-07,0.17432696503141445
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,fro,10,own_update,5,-1.1982846079661832e-07,-1.1238190533807154e-07,-0.13029407878562135
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,0,other_update,5,9.029518068404823e-09,9.031167778583674e-09,0.05457257114830157
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,0,own_update,5,5.724140503542315e-09,5.723106049266027e-09,0.07112458460804319
