group_type,problem_family,base_setting,target_layer_relative_norm,budget,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,fro,Adam,update_grad_inner,20,20,5,0.8847081609185699,0.49585561518654725,1.2735607066505925,0.6571256633727711,0.4671813699589483,0.9242965692340182,20,False,True,-1.1127014496116721e-09,-9.731948214036897e-09,7.506545314813554e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,fro,Adam,delta_loss,20,20,5,0.8787704683540462,0.49406245287096084,1.2634784838371313,0.654765868238951,0.46636176561684994,0.9192827839212929,20,False,True,-1.1161151002762382e-09,-9.738506984557885e-09,7.506276784005407e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,fro,Adam,update_grad_cosine,20,20,5,0.8847081609185699,0.49585561518654725,1.2735607066505925,0.6571256633727711,0.4671813699589483,0.9242965692340182,20,False,True,-0.021618659581716503,-0.11586824662698024,0.07263092746354723
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,fro,Muon,update_grad_inner,20,15,11,0.7189444142746192,0.4340851569859571,1.0038036715632812,1.0395107152065235,0.9106198306522088,1.1866450637861001,15,False,False,-4.131686235762222e-09,-7.476645869298655e-09,-7.867266022257879e-10
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,fro,Muon,delta_loss,20,15,11,0.719178867805922,0.4343340086502028,1.0040237269616412,1.039706537321639,0.9107627235896748,1.1869059369148818,15,False,False,-4.132064762121563e-09,-7.477608374767484e-09,-7.865211494756405e-10
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,fro,Muon,update_grad_cosine,20,15,11,0.7189444142746192,0.4340851569859572,1.0038036715632812,1.0395107152065235,0.9106198306522088,1.1866450637861001,15,False,False,-0.04883375895824945,-0.09117130994363597,-0.006496207972862933
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,op,Adam,update_grad_inner,20,20,15,2.096218165127917,1.0463850355752922,3.146051294680542,1.4532832765530779,1.00573849112853,2.099981556377501,20,True,False,6.809921365808803e-09,1.684700205466516e-09,1.193514252615109e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,op,Adam,delta_loss,20,20,15,2.0835052948534525,1.0432921560548016,3.1237184336521033,1.4492847927895929,1.0046957182554717,2.090609497429033,20,True,False,6.7910829956311226e-09,1.678267877638626e-09,1.190389811362362e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,op,Adam,update_grad_cosine,20,20,5,1.0400617599152204,0.49478062379269383,1.585342896037747,0.7010335725537234,0.4784770298666018,1.0271090129121792,20,False,False,-0.029892053823758,-0.1282389475159154,0.06845483986839943
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0001,op,Muon,update_grad_inner,20,15,0,0.3606128768979315,0.22132582032735998,0.499899933468503,0.5161400460787111,0.451842692565863,0.5895869326852111,15,False,True,-4.36726085273222e-09,-7.320118896112213e-09,-1.414402809352226e-09
