problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,checkpoint_recovery,continuation_variant,continuation_algo,horizon,loss_before,loss_after,total_decrease,recovery_before,recovery_after,finite
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,own_fresh,Adam,1,0.00011891317213957395,8.479380815680493e-05,3.411936398276902e-05,0.892549414264497,0.7665358533766939,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,switched_fresh,Muon,1,0.00011891317213957395,0.00011400994387541074,4.903228264163204e-06,0.892549414264497,0.8760496323756213,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,own_fresh,Adam,3,0.00011891317213957395,4.591456398341867e-05,7.299860815615527e-05,0.892549414264497,0.564048544101318,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,switched_fresh,Muon,3,0.00011891317213957395,0.0001028537296267723,1.6059442512801646e-05,0.892549414264497,0.8370430207979127,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,own_fresh,Adam,10,0.00011891317213957395,1.158524605484157e-05,0.00010732792608473238,0.892549414264497,0.2901109646311444,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,switched_fresh,Muon,10,0.00011891317213957395,5.28758809945332e-05,6.603729114504074e-05,0.892549414264497,0.6247049507981789,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,own_fresh,Adam,30,0.00011891317213957395,2.1120673886469734e-06,0.00011680110475092698,0.892549414264497,0.11873504762709065,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Adam,3,0.00011891317213957395,0.892549414264497,switched_fresh,Muon,30,0.00011891317213957395,6.810130079210311e-07,0.00011823215913165291,0.892549414264497,0.06511873239933456,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,own_fresh,Muon,1,0.0001513786363547434,0.00015040371347449066,9.749228802527357e-07,0.99388634445941,0.9910591995342614,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,switched_fresh,Adam,1,0.0001513786363547434,0.00013761838801895507,1.3760248335788325e-05,0.99388634445941,0.9518417784216255,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,own_fresh,Muon,3,0.0001513786363547434,0.00014770075585187622,3.677880502867177e-06,0.99388634445941,0.9831378525921799,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,switched_fresh,Adam,3,0.0001513786363547434,7.257694036560374e-05,7.880169598913966e-05,0.99388634445941,0.7161827449094982,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,own_fresh,Muon,10,0.0001513786363547434,0.0001263791450906125,2.4999491264130906e-05,0.99388634445941,0.9172386348008617,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,switched_fresh,Adam,10,0.0001513786363547434,1.716866019605153e-05,0.00013420997615869187,0.99388634445941,0.3370952625277797,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,own_fresh,Muon,30,0.0001513786363547434,2.079026123022618e-06,0.00014929961023172077,0.99388634445941,0.13866164102738324,True
MatrixFactorizationInput,MF input kappa=1e+02,0,Muon,3,0.0001513786363547434,0.99388634445941,switched_fresh,Adam,30,0.0001513786363547434,2.099957487546832e-06,0.00014927867886719656,0.99388634445941,0.12145974059880527,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,0.8306758076762196,own_fresh,Adam,1,0.00010820946606687405,6.205985087621643e-05,4.614961519065762e-05,0.8306758076762196,0.6413731090308329,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,0.8306758076762196,switched_fresh,Muon,1,0.00010820946606687405,0.00010178306497513107,6.426401091742985e-06,0.8306758076762196,0.8071801447027238,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,0.8306758076762196,own_fresh,Adam,3,0.00010820946606687405,2.379280759182445e-05,8.44166584750496e-05,0.8306758076762196,0.40205867362069514,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,0.8306758076762196,switched_fresh,Muon,3,0.00010820946606687405,8.776157040068915e-05,2.04478956661849e-05,0.8306758076762196,0.7530350522418714,True
MatrixFactorizationInput,MF input kappa=1e+02,1,Adam,3,0.00010820946606687405,0.8306758076762196,own_fresh,Adam,10,0.00010820946606687405,1.2792016632436599e-05,9.541744943443746e-05,0.8306758076762196,0.29183187084050083,True
